station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GX,2017-07-15 13:30:00,26.2,1019.1,,42,12.3,,3.8,,9.7,23,6.9,26.3,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@11.2,weatherlink
000GX,2017-07-15 14:00:00,26.6,1019,,41,12.3,,3.3,,11.2,242,6.9,26.8,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@11.2,weatherlink
000GX,2017-07-15 14:30:00,27,1018.8,,39,11.9,,4.2,,9.7,270,6.9,27.1,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@11.2,weatherlink
000GX,2017-07-15 15:00:00,27.8,1018.8,,36,11.4,,4.2,,11.2,227,6.9,27.5,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@14.4,weatherlink
000GX,2017-07-15 15:30:00,27.6,1018.5,,36,11.2,,4.4,,13,5,6.9,27.8,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@14.4,weatherlink
000GX,2017-07-15 16:00:00,27.8,1018.3,-0.8,34,10.5,,4.1,,9.7,286,6.9,27.9,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@14.4,weatherlink
000GX,2017-07-15 16:30:00,28.1,1018.2,-0.9,32,9.9,,3.7,,7.9,279,6.9,28.2,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@14.4,weatherlink
000GX,2017-07-15 17:00:00,27.6,1018.1,-0.9,35,10.8,,3.2,,7.9,261,6.9,28.2,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@14.4,weatherlink
000GX,2017-07-15 17:30:00,27.8,1018.2,-0.8,34,10.5,,3.2,,7.9,255,6.9,28.2,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@14.4,weatherlink
000GX,2017-07-15 18:00:00,27.4,1018.2,-0.6,35,10.6,,3.2,,6.5,309,6.9,28.2,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@[day1_sol0_radiationmax_wqm]@32.9@362.40@[month1_sol0_evapo_mm]@6.9@14.4,weatherlink
