station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000H8,2012-01-02 15:00:00,12.8,1020.6,,60,5.3,,11.3,,,295,8.8,13.2,0,0,0,0,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 15:30:00,13,1020.8,,57,4.7,,16.1,,30.6,285,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 16:00:00,12.6,1021.4,,57,4.3,,14.5,,29,304,8.8,13.2,0,0,0,0,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 16:30:00,11.9,1021.9,,57,3.6,,14.5,,27.4,251,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 17:00:00,11.5,1022.2,,58,3.5,,11.3,,20.9,282,8.8,13.2,0,0,0,0,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 17:30:00,11.3,1022.9,,60,3.8,,14.5,,27.4,244,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 18:00:00,10.8,1023.4,,62,3.8,,12.9,,24.1,250,8.8,13.2,0,0,0,0,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 18:30:00,10.7,1023.5,,62,3.7,,9.7,,19.3,286,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 19:00:00,10.6,1023.9,,61,3.4,,16.1,,29,233,8.8,13.2,0,0,0,0,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 19:30:00,10.5,1024.5,,61,3.3,,19.3,,43.5,250,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 20:00:00,10.2,1024.6,,62,3.2,,9.7,,20.9,274,8.8,13.2,0,0,0,0,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 20:30:00,10.4,1025.2,2.8,58,2.5,,14.5,,29,293,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 21:30:00,9.9,1025.5,,59,2.2,,24.1,,38.6,309,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 22:00:00,10.1,1025.7,,55,1.5,,24.1,,41.8,305,8.8,13.2,0,0,0,0,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 22:30:00,10.1,1025.9,2.9,54,1.2,,22.5,,48.3,273,8.8,13.2,,,,,,0.8,0,0,,,,,,,weatherlink
000H8,2012-01-02 23:30:00,9.8,1026.5,,56,1.5,,17.7,,46.7,291,9.8,9.8,,,,,,0,0,0,,,,,,,weatherlink
000H8,2012-01-03 00:00:00,9.6,1026.8,,56,1.3,,11.3,,29,350,9.6,9.8,0,0,0,0,,0,0,0,,,,,,,weatherlink
000H8,2012-01-03 00:30:00,9.7,1026.9,,52,0.3,,19.3,,38.6,301,9.5,9.8,,,,,,0,0,0,,,,,,,weatherlink
000H8,2012-01-03 01:00:00,9.6,1027.4,,52,0.2,,14.5,,30.6,279,9.5,9.8,0,0,0,0,,0,0,0,,,,,,,weatherlink
