station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000HB,2017-07-21 12:50:00,20.4,1012.9,,63,13.3,,3.2,,6.4,235,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 13:00:00,20.4,1013,,62,12.8,,4.8,,8,239,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 13:10:00,20.3,1012.9,,62,12.8,,4.8,,11.3,256,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 13:20:00,20.3,1012.8,,61,12.2,,4.8,,11.3,250,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 13:30:00,20.5,1012.7,,63,13.3,,3.2,,8,238,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 13:40:00,20.6,1012.6,,61,12.8,,4.8,,12.9,261,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 13:50:00,20.6,1012.6,,63,13.3,,,,3.2,254,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 14:00:00,20.6,1012.5,,61,12.8,,4.8,,14.5,252,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 14:10:00,20.6,1012.4,,61,12.8,,4.8,,9.7,306,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 14:20:00,20.6,1012.4,,62,12.8,,4.8,,11.3,213,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 14:30:00,20.4,1012.4,,63,13.3,,6.4,,12.9,237,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 14:40:00,20.5,1012.4,,62,12.8,,4.8,,8,252,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 14:50:00,20.4,1012.3,,63,13.3,,6.4,,12.9,281,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 15:00:00,20.5,1012.3,-0.6,63,13.3,,6.4,,12.9,227,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 15:10:00,20.6,1012.2,-0.7,63,13.3,,6.4,,11.3,211,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 15:20:00,20.2,1012.2,-0.7,62,12.8,,8,,12.9,243,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 15:30:00,20.2,1012.2,-0.7,63,12.8,,4.8,,11.3,224,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 15:40:00,20.2,1012.2,-0.7,65,13.3,,3.2,,6.4,242,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 15:50:00,20.2,1012.2,-0.7,63,12.8,,6.4,,11.3,243,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 16:00:00,20.1,1012.2,-0.8,64,12.8,,6.4,,11.3,256,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 16:10:00,20,1012.2,-0.8,65,13.3,,6.4,,11.3,265,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 16:20:00,20,1012.2,-0.8,64,12.8,,6.4,,12.9,253,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 16:30:00,20.1,1012.1,-0.9,66,13.3,,6.4,,11.3,213,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 16:40:00,20.1,1012.2,-0.8,65,13.3,,6.4,,9.7,229,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 16:50:00,20,1012.2,-0.8,66,13.3,,4.8,,11.3,233,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 17:00:00,19.9,1012.1,-0.4,66,13.3,,4.8,,11.3,211,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 17:10:00,19.9,1012.1,-0.4,65,13.3,,4.8,,9.7,221,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 17:20:00,19.9,1012,-0.5,66,13.3,,6.4,,12.9,210,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 17:30:00,20.1,1012.2,-0.3,66,13.3,,6.4,,9.7,220,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 17:40:00,20.2,1012.1,-0.4,65,13.3,,6.4,,12.9,221,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 17:50:00,20.1,1012.2,-0.3,66,13.3,,8,,14.5,211,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 18:00:00,20.1,1012.2,-0.1,67,13.9,,8,,16.1,188,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 18:10:00,20.1,1012.3,,67,13.9,,6.4,,11.3,211,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 18:20:00,19.8,1012.3,,68,13.9,,6.4,,9.7,227,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 18:30:00,19.8,1012.2,-0.1,68,13.9,,4.8,,11.3,219,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 18:40:00,19.7,1012.2,-0.1,69,13.9,,6.4,,11.3,224,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 18:50:00,19.7,1012.2,-0.1,69,13.9,,4.8,,12.9,228,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 19:00:00,19.7,1012.2,,70,13.9,,4.8,,6.4,222,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 19:10:00,19.7,1012.3,0.1,70,13.9,,4.8,,8,202,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 19:20:00,19.4,1012.4,0.2,71,13.9,,4.8,,9.7,227,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 19:30:00,19.2,1012.4,0.2,72,13.9,,4.8,,8,235,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 19:40:00,18.9,1012.3,0.1,73,13.9,,3.2,,6.4,230,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 19:50:00,18.7,1012.4,0.2,73,13.9,,4.8,,8,202,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 20:00:00,18.4,1012.4,0.3,74,13.9,,3.2,,8,202,10.2,20.8,0,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 20:10:00,18.2,1012.5,0.4,75,13.9,,1.6,,4.8,202,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 20:20:00,17.8,1012.6,0.5,76,13.3,,3.2,,4.8,201,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
000HB,2017-07-21 20:30:00,17.6,1012.7,0.6,77,13.3,,3.2,,6.4,216,10.2,20.8,,,,,,0,0,0,,,,,,@@@@142.4@@@,wlkIP
