station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000HC,2021-01-01 00:00:00,1.6,1006.9,,96,1,,0,,2,0,1.3,1.6,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000HC,2021-01-01 00:30:00,1.6,1006.9,,96,1,,0,,3,0,1.3,1.7,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000HC,2021-01-01 01:00:00,1.8,1007.1,,96,1.2,,0,,2,0,1.3,1.8,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000HC,2021-01-01 01:30:00,1.9,1007.3,,96,1.3,,0,,3,0,1.3,1.9,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000HC,2021-01-01 02:00:00,1.9,1007.5,,96,1.4,,0,,3,0,1.3,2,0,0.2,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 02:30:00,2.1,1007.8,,96,1.5,,0,,3,0,1.3,2.1,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 03:00:00,2.1,1007.9,1,96,1.5,,2,,6,248,1.3,2.1,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 03:30:00,2.1,1007.9,1,96,1.5,,2,,3,248,1.3,2.1,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 04:00:00,2.1,1008,0.9,96,1.5,,0,,5,0,1.3,2.1,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 04:30:00,2.2,1008,0.9,96,1.6,,2,,6,248,1.3,2.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 05:00:00,2.1,1008.2,0.7,96,1.5,,2,,6,248,1.3,2.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 05:30:00,2,1008.2,0.7,96,1.4,,2,,8,248,1.3,2.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 06:00:00,1.8,1008.4,0.5,96,1.3,,0,,6,0,1.3,2.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 06:30:00,1.6,1008.6,0.7,96,1,,2,,8,248,1.3,2.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 07:00:00,1.1,1009,1,96,0.5,,0,,2,0,1.1,2.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 07:30:00,0.9,1009.3,1.3,96,0.4,,0,,0,0,0.9,2.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 08:00:00,1,1009.6,1.4,96,0.4,,0,,0,0,0.9,2.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 08:30:00,1.2,1009.7,1.5,97,0.8,,0,,2,0,0.9,2.2,,,,,,0.2,0,,7,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 09:00:00,1.2,1009.9,1.5,97,0.8,,0,,3,0,0.9,2.2,0,0,0,0,,0.2,0,,26,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 09:30:00,1.7,1010.2,1.8,97,1.2,,2,,5,248,0.9,2.2,,,,,,0.2,0,,49,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 10:00:00,2.1,1010.4,1.4,97,1.7,,3,,10,248,0.9,2.2,0,0,0,0,,0.2,0,,62,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 10:30:00,2.3,1010.7,1.7,96,1.8,,2,,8,248,0.9,2.3,,,,,,0.2,0,,54,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 11:00:00,2.5,1010.8,1.2,96,1.9,,2,,6,248,0.9,2.6,0,0,0,0,,0.2,0,,57,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 11:30:00,2.6,1010.7,1.1,95,1.8,,3,,10,248,0.9,2.6,,,,,,0.2,0,,91,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 12:00:00,2.6,1010.6,0.7,94,1.7,,3,,8,248,0.9,2.7,0,0,0,0,,0.2,0,,72,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 12:30:00,2.8,1010.4,0.5,93,1.8,,3,,8,248,0.9,2.9,,,,,,0.2,0,,109,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 13:00:00,3.1,1010.4,,92,1.9,,2,,10,270,0.9,3.1,0,0,0,0,,0.2,0,,102,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 13:30:00,3.1,1010.5,0.1,91,1.7,,3,,10,270,0.9,3.1,,,,,,0.2,0,,76,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 14:00:00,3.2,1010.6,-0.2,91,1.8,,3,,10,270,0.9,3.2,0,0,0,0,,0.2,0,,89,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 14:30:00,3.1,1010.9,0.1,92,1.9,,3,,10,270,0.9,3.2,,,,,,0.2,0,,44,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 15:00:00,3.1,1010.9,0.3,92,1.9,,3,,8,315,0.9,3.2,0,0,0,0,,0.2,0,,18,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 15:30:00,3.1,1011,0.4,92,1.9,,3,,10,292,0.9,3.2,,,,,,0.2,0,,20,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 16:00:00,2.8,1011.3,0.9,92,1.7,,0,,5,0,0.9,3.2,0,0,0,0,,0.2,0,,5,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 16:30:00,2,1011.4,1,92,0.8,,0,,3,0,0.9,3.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 17:00:00,1.3,1011.5,0.9,93,0.3,,0,,0,0,0.9,3.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 17:30:00,0.9,1011.8,1.2,94,0.1,,0,,0,0,0.9,3.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 18:00:00,0.8,1011.9,1,95,0.1,,0,,0,0,0.7,3.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 18:30:00,1.2,1012.2,1.3,95,0.5,,0,,2,0,0.7,3.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 19:00:00,1.2,1012.3,1,96,0.6,,0,,3,0,0.7,3.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 19:30:00,0.8,1012.6,1.3,96,0.2,,0,,0,0,0.7,3.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 20:00:00,0.9,1013,1.5,96,0.3,,0,,3,0,0.7,3.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 20:30:00,1.1,1013.2,1.7,96,0.5,,0,,3,0,0.7,3.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 21:00:00,1.3,1013.4,1.5,96,0.7,,0,,3,0,0.7,3.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 21:30:00,1.3,1013.5,1.6,96,0.8,,0,,3,0,0.7,3.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 22:00:00,1.6,1013.6,1.3,97,1.2,,0,,8,0,0.7,3.2,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 22:30:00,1.7,1013.7,1.4,97,1.2,,0,,3,0,0.7,3.2,,,,,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 23:00:00,1.8,1013.8,0.8,96,1.2,,2,,6,315,0.7,3.2,0.2,0,0,0,0.2,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-01 23:30:00,1.3,1013.8,0.8,96,0.8,,2,,3,315,1.3,1.8,,,,,,0,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000HC,2021-01-02 00:00:00,0.8,1013.9,,96,0.2,,2,,6,315,0.8,1.8,0,0,0,0,0.2,0,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
