station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000HF,2023-12-08 15:00:00,11.8,1016,,80,,,8,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 15:30:00,11.6,1016.5,,81,,,6.4,,,270,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 16:00:00,11.1,1017.1,,83,,,6.4,19.3,,270,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 16:30:00,10.6,1017.5,,84,,,4.8,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 17:00:00,10.2,1018,,82,,,4.8,16.1,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 17:30:00,9.9,1018.6,,82,,,3.2,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 18:00:00,9.8,1019.1,,85,,,4.8,14.5,,248,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 18:30:00,9.6,1019.2,,85,,,4.8,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 19:00:00,9.5,1019.3,,86,,,3.2,14.5,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 19:30:00,9.2,1019.7,,86,,,3.2,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 20:00:00,9.1,1019.8,,87,,,3.2,14.5,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 20:30:00,8.8,1020.2,,88,,,3.2,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 21:00:00,8.7,1020.2,,87,,,3.2,12.9,,248,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 21:30:00,8.7,1020.4,,87,,,3.2,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 22:00:00,8.9,1020.8,,85,,,3.2,12.9,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 22:30:00,8.7,1020.6,,85,,,1.6,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 23:00:00,8.3,1020.5,,86,,,1.6,9.7,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-08 23:30:00,7.8,1020.5,,87,,,0,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 00:00:00,7.2,1020.4,,88,,,0,4.8,,248,,,0,0,0,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 00:30:00,6.4,1019.8,,90,,,0,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 01:00:00,5.8,1019.6,,90,,,0,1.6,,,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 01:30:00,4.9,1019.6,,91,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 02:00:00,4.2,1019.7,,92,,,0,0,,,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 02:30:00,3.9,1019.2,,94,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 03:00:00,3.8,1019.2,,94,,,0,0,,,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 03:30:00,4.1,1018.9,,94,,,0,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 04:00:00,3.6,1018.9,,93,,,0,3.2,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 04:30:00,3.3,1018.7,,94,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 05:00:00,4.2,1018.9,,95,,,0,1.6,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 05:30:00,4.4,1018.6,,94,,,0,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 06:00:00,4.6,1018.3,,94,,,1.6,4.8,,203,3.3,9.9,0,0,0,0,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 06:30:00,4.9,1017.8,,94,,,0,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 07:00:00,5.1,1018.4,,93,,,0,3.2,,203,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 07:30:00,5.4,1018,,92,,,0,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 08:00:00,5.7,1017.8,,92,,,0,3.2,,203,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 08:30:00,6.2,1017.6,,92,,,0,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 09:00:00,6.9,1017.9,,89,,,1.6,4.8,,203,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 09:30:00,7.5,1018.2,,88,,,1.6,,,203,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 10:00:00,8.3,1017.5,,86,,,1.6,8,,180,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 10:30:00,9.3,1017.2,,81,,,1.6,,,158,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 11:00:00,9.7,1017.3,,80,,,1.6,9.7,,158,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 11:30:00,10.4,1016.7,,79,,,1.6,,,158,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 12:00:00,11.4,1016.4,,78,,,1.6,8,,158,,,0,0,0,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 12:30:00,12.5,1015.5,,76,,,1.6,,,158,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 13:00:00,12.7,1015.2,,76,,,1.6,8,,180,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 13:30:00,12.6,1015.1,,85,,,0,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 14:00:00,12.5,1015.3,,86,,,0,6.4,,,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 14:30:00,12.7,1014.7,,89,,,0,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 15:00:00,12.8,1015,,88,,,0,6.4,,180,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 15:30:00,12.6,1015.4,,90,,,0,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 16:00:00,12.3,1015.5,,93,,,0,1.6,,,,,0.6,,,,,,1.2,,,,,,,,wlk2webdl
000HF,2023-12-09 16:30:00,12.1,1015.5,,94,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 17:00:00,12,1016,,95,,,0,0,,,,,0.2,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 17:30:00,12,1016.4,,95,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 18:00:00,13.4,1017.3,,91,,,0,11.3,,270,4.6,13.4,0,0.8,0.8,0.8,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 18:30:00,14.1,1018.3,,86,,,1.6,,,270,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 19:00:00,14.4,1018.5,,87,,,4.8,22.5,,270,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 19:30:00,14.7,1019.1,,87,,,6.4,,,270,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 20:00:00,14.9,1019.6,,86,,,6.4,22.5,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 20:30:00,14.9,1020.1,,86,,,4.8,,,270,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 21:00:00,14.9,1021.3,,85,,,6.4,22.5,,270,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 21:30:00,14.8,1021.7,,83,,,8,,,270,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 22:00:00,14.3,1022,,81,,,8,24.1,,270,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 22:30:00,13.6,1022.1,,82,,,4.8,,,270,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 23:00:00,13.3,1022,,83,,,4.8,19.3,,270,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-09 23:30:00,12.9,1022.5,,82,,,3.2,,,270,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 00:00:00,12.8,1022.7,,82,,,3.2,17.7,,270,,,0,0,0,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 00:30:00,12.1,1022.7,,84,,,0,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 01:00:00,10.7,1022.8,,87,,,0,6.4,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 01:30:00,9.4,1023,,90,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 02:00:00,8.5,1023.1,,91,,,0,0,,,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 02:30:00,7.7,1023.6,,93,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 03:00:00,7.2,1023.3,,93,,,0,0,,,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 03:30:00,6.6,1023.1,,94,,,0,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 04:00:00,6.5,1022.2,,95,,,0,1.6,,,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 04:30:00,6.1,1022.4,,94,,,0,,,248,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 05:00:00,6.3,1022.2,,95,,,0,1.6,,,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 05:30:00,6.2,1021.9,,95,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 06:00:00,5.7,1021.8,,95,,,0,0,,,5.7,15.1,0,0,0,0,0.8,,0,,,,,,,,wlk2webdlRR
000HF,2023-12-10 06:30:00,5.7,1021.7,,95,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 07:00:00,5.3,1021.7,,95,,,0,1.6,,248,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 07:30:00,5.3,1021.7,,95,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 08:00:00,5.8,1021.8,,96,,,0,6.4,,203,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 08:30:00,6.3,1022,,96,,,0,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 09:00:00,7.1,1021.9,,96,,,0,3.2,,180,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 09:30:00,8.2,1022,,96,,,1.6,,,180,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 10:00:00,9.5,1021.9,,96,,,1.6,12.9,,135,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 10:30:00,9.8,1021.5,,96,,,1.6,,,135,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 11:00:00,10.6,1020.9,,95,,,1.6,11.3,,113,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 11:30:00,12.6,1020.1,,90,,,1.6,,,135,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 12:00:00,13.7,1019.7,,86,,,1.6,8,,113,,,0,0,0,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 12:30:00,14.2,1019.6,,84,,,0,,,90,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 13:00:00,14.8,1019.3,,83,,,0,6.4,,113,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 13:30:00,15.2,1019.1,,80,,,0,,,113,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 14:00:00,15.1,1018.8,,79,,,0,4.8,,113,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 14:30:00,15,1018.7,,80,,,0,,,113,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 15:00:00,14.9,1018.8,,81,,,0,3.2,,113,,,0,0,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 15:30:00,14.8,1018.9,,84,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 16:00:00,14.1,1019.2,,89,,,0,0,,,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 16:30:00,13.6,1018.8,,91,,,0,,,113,,,,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 17:00:00,13.4,1019.2,,91,,,0,4.8,,113,,,0,,,,,,0,,,,,,,,wlk2webdl
000HF,2023-12-10 17:30:00,13.2,1019,,92,,,0,,,,,,,,,,,,0,,,,,,,,wlk2webdl
