station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000HN,2018-01-01 00:00:00,1.4,1017.5,,94,0.6,,3.2,,4.8,311,1.3,1.5,0,0,0,0,,0,0,0,0,,,,,@@0@1.5@0.0@0.00@1.3@4.8,weatherlink
000HN,2018-01-01 00:30:00,2,1017,,94,1.1,,4.8,,6.4,343,1.3,2,,,,,,0,0,0,0,,,,,@@0@2.0@0.0@0.00@1.3@6.4,weatherlink
000HN,2018-01-01 01:00:00,2.1,1016.4,,94,1.2,,1.6,,4.8,225,1.3,2.1,0,0,0,0,,0,0,0,0,,,,,@@0@2.1@0.0@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 01:30:00,2.3,1016,,94,1.4,,3.2,,6.4,320,1.3,2.4,,,,,,0,0,0,0,,,,,@@0@2.4@0.0@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 02:00:00,1.8,1016.2,,94,1,,1.6,,6.4,134,1.3,2.4,0,0,0,0,,0,0,0,0,,,,,@@0@2.4@0.0@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 02:30:00,1.6,1015.4,,94,0.7,,0,,1.6,116,1.3,2.4,,,,,,0.2,0,0,0,,,,,@@0@2.4@0.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 03:00:00,1.4,1014.8,-2.7,94,0.6,,1.6,,3.2,116,1.3,2.4,0.2,0.2,0,0,,0.2,0,0,0,,,,,@@0@2.4@0.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 03:30:00,1.6,1014.5,-3,94,0.7,,3.2,,6.4,120,1.3,2.4,,,,,,0.2,0,0,0,,,,,@@0@2.4@0.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 04:00:00,1.5,1014.4,-2,94,0.6,,1.6,,4.8,8,1.3,2.4,0,0,0,0,,0.2,0,0,0,,,,,@@0@2.4@0.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 04:30:00,1.4,1014.3,-2.1,94,0.5,,1.6,,3.2,108,1.3,2.4,,,,,,0.2,0,0,0,,,,,@@0@2.4@0.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 05:00:00,1.7,1014.7,-1.5,94,0.8,,3.2,,6.4,346,1.3,2.4,0,0,0,0,,0.2,0,0,0,,,,,@@0@2.4@0.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 05:30:00,1.9,1014.4,-1.8,95,1.2,,3.2,,8,320,1.3,2.4,,,,,,0.8,1.8,1.8,0,,,,51,@@0@2.4@0.8@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 06:00:00,1.4,1014.3,-0.5,94,0.5,,1.6,,3.2,113,1.3,2.4,1,1,0,0,,1.2,0,2.8,0,,,,51,@@0@2.4@1.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 06:30:00,1.9,1014.7,-0.1,94,1,,1.6,,3.2,114,1.3,2.4,,,,,,1.2,0,0,0,,,,,@@0@2.4@1.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 07:00:00,1.7,1014.3,-0.1,94,0.9,,1.6,,3.2,305,1.3,2.4,0,0,0,0,,1.2,0,0,0,,,,45,@@0@2.4@1.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 07:30:00,2.2,1013.5,-0.9,95,1.5,,3.2,,6.4,343,1.3,2.4,,,,,,1.2,0,0,9,,,,,@@9@2.4@1.2@0.00@1.3@11.3,weatherlink
000HN,2018-01-01 08:00:00,1.9,1013.3,-1.4,94,1,,1.6,,6.4,305,1.3,2.4,0,0,0,0,,1.2,0,0,23,,,,,@@23@2.4@1.2@0.00@1.3@11.3,weatherlink
