station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000HO,2021-01-01 00:00:00,-0.9,1006.1,,96,-1.4,,5,8,,246,,,0,0,0,0,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 00:30:00,-1.1,1006.2,,96,-1.7,,5,8,,253,,,,,,,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 01:00:00,-1.1,1006.2,,96,-1.7,,2,8,,251,,,0,0,0,0,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 01:30:00,-1.2,1006.5,,96,-1.7,,2,8,,251,,,,,,,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 02:00:00,-1.4,1006.8,,95,-2.1,,0,5,,251,,,0,3,0,0,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 02:30:00,-1.4,1006.9,,96,-1.9,,3,5,,251,,,,,,,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 03:00:00,-1.2,1007.1,1,96,-1.7,,1,6,,232,,,0,0,0,0,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 03:30:00,-1.2,1007.3,1.2,96,-1.7,,3,6,,260,,,,,,,,3,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 04:00:00,-1,1007.3,1.1,96,-1.6,,3,6,,250,,,0,0,0,0,,2.8,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 04:30:00,-1.1,1007.4,1.2,96,-1.6,,2,6,,250,,,,,,,,2.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 05:00:00,-1.2,1007.2,0.4,96,-1.8,,3,5,,249,,,0,-0.5,0,0,,2.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 05:30:00,-1.2,1007.3,0.5,96,-1.8,,0,5,,249,,,,,,,,2.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 06:00:00,-1.2,1007.7,0.6,97,-1.6,,0,5,,0,,,0,0,0,0,,2,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 06:30:00,-0.9,1007.9,0.8,96,-1.4,,0,3,,0,,,,,,,,1.8,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 07:00:00,-1.2,1008.2,0.9,97,-1.6,,0,5,,249,,,0,0,0,0,,1.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 07:30:00,-1.6,1008.6,1.3,96,-2.2,,0,5,,250,,,,,,,,1.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 08:00:00,-2.2,1008.7,1.5,97,-2.6,,3,5,,252,,,0,-0.5,0,0,,1.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 08:30:00,-1.7,1009.1,1.9,97,-2.1,,0,5,,0,,,,,,,,1.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 09:00:00,-1.6,1009.3,1.6,97,-2,,4,6,,248,,,0,0,0,0,,1.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 09:30:00,-0.2,1009.5,1.8,98,-0.5,,2,6,,242,,,,,,,,1.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 10:00:00,0.7,1009.8,1.6,98,0.4,,0,6,,0,,,0,0,0,0,,1.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 10:30:00,1.8,1009.8,1.6,98,1.5,,0,3,,0,,,,,,,,2.3,7.6,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 11:00:00,1.3,1010,1.3,96,0.8,,0,0,,0,,,1,1,0.5,0,,2.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 11:30:00,1.1,1009.9,1.2,97,0.6,,3,6,,355,,,,,,,,2.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 12:00:00,1.4,1009.9,0.6,97,1,,1,6,,355,,,0,0,0,0,,2.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 12:30:00,1.7,1009.7,0.4,97,1.3,,0,6,,0,,,,,,,,2.8,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 13:00:00,2.1,1009.6,-0.2,96,1.5,,0,3,,0,,,0.3,0,0,0,,2.5,0,,,,,,,@@@@@@@,weatherlink
000HO,2021-01-01 13:30:00,2.6,1009.6,-0.2,96,2,,2,5,,355,,,,,,,,2.3,0,,,,,,,@@@@@@@,weatherlink
