station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000HQ,2017-09-16 10:50:00,11.6,1011.6,,74,7.2,,8,,14.5,296,4.6,11.6,,,,,,0,0,0,596,,,,,3.4 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 11:00:00,10.9,1011.4,,74,6.7,,9.7,,16.1,272,4.6,11.6,0,,,,,0,0,0,466,,,,,2.8 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 11:10:00,10.7,1011.6,,76,6.7,,8,,16.1,275,4.6,11.6,,,,,,0,0,0,538,,,,,2.4 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 11:20:00,10.9,1011.7,,75,6.7,,11.3,,22.5,284,4.6,11.6,,,,,,0,0,0,323,,,,,2.4 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 11:30:00,10.9,1011.6,,76,6.7,,11.3,,20.9,317,4.6,11.6,,,,,,0,0,0,898,,,,,4.2 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 11:40:00,11.2,1011.6,,77,7.2,,9.7,,16.1,281,4.6,11.6,,,,,,0,0,0,452,,,,,2.6 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 11:50:00,10.7,1011.6,,75,6.7,,8,,17.7,283,4.6,11.6,,,,,,0,0,0,404,,,,,2.4 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 12:00:00,10.7,1011.4,,76,6.7,,8,,16.1,298,4.6,11.6,0,,,,,0,0,0,932,,,,,4.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 12:10:00,11.7,1011.3,,68,6.1,,8,,16.1,281,4.6,11.8,,,,,,0,0,0,788,,,,,3.9 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 12:20:00,11.8,1011.3,,69,6.1,,8,,17.7,244,4.6,12.1,,,,,,0,0,0,791,,,,,3.9 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 12:30:00,12.3,1011.2,,66,6.1,,6.4,,16.1,254,4.6,12.6,,,,,,0,0,0,918,,,,,4.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 12:40:00,12.3,1011.3,,66,6.1,,8,,17.7,289,4.6,12.7,,,,,,0,0,0,722,,,,,2.5 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 12:50:00,11.9,1011.2,,71,6.7,,8,,16.1,287,4.6,12.8,,,,,,0,0,0,292,,,,,1.9 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 13:00:00,12.7,1011.2,-0.4,67,6.7,,3.2,,12.9,227,4.6,12.8,0,,,,,0,0,0,926,,,,,2.7 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 13:10:00,11.8,1011.1,-0.5,68,6.1,,6.4,,14.5,271,4.6,12.8,,,,,,0,0,0,253,,,,,3.2 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 13:20:00,12.4,1011.1,-0.5,68,6.7,,4.8,,14.5,281,4.6,12.8,,,,,,0,0,0,833,,,,,3.2 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 13:30:00,12.6,1011.1,-0.5,65,6.1,,9.7,,19.3,277,4.6,12.9,,,,,,0,0,0,322,,,,,3.2 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 13:40:00,12.6,1011.1,-0.5,70,7.2,,9.7,,17.7,302,4.6,12.9,,,,,,0,0,0,761,,,,,2.9 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 13:50:00,13.1,1011.1,-0.5,66,6.7,,9.7,,17.7,266,4.6,13.1,,,,,,0,0,0,733,,,,,2.7 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 14:00:00,12.3,1011.1,-0.3,67,6.1,,8,,16.1,280,4.6,13.2,0,,,,,0,0,0,197,,,,,1.3 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 14:10:00,12.1,1011.1,-0.3,69,6.7,,8,,16.1,200,4.6,13.2,,,,,,0,0,0,227,,,,,1.2 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 14:20:00,12.3,1011.1,-0.3,69,6.7,,8,,14.5,281,4.6,13.2,,,,,,0,0,0,169,,,,,1.3 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 14:30:00,12.9,1011.1,-0.3,70,7.8,,8,,16.1,277,4.6,13.2,,,,,,0,0,0,606,,,,,1.8 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 14:40:00,12.1,1010.9,-0.5,71,7.2,,9.7,,16.1,279,4.6,13.2,,,,,,0,0,0,519,,,,,1.8 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 14:50:00,12.9,1010.8,-0.6,66,6.7,,4.8,,11.3,257,4.6,13.2,,,,,,0,0,0,485,,,,,1.6 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 15:00:00,12.9,1010.7,-0.7,66,6.7,,8,,14.5,312,4.6,13.2,0,,,,,0,0,0,478,,,,,1.4 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 15:10:00,12.7,1010.8,-0.6,65,6.1,,9.7,,16.1,289,4.6,13.2,,,,,,0,0,0,446,,,,,1.3 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 15:20:00,12.6,1010.7,-0.7,66,6.1,,8,,14.5,311,4.6,13.2,,,,,,0,0,0,406,,,,,1.2 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 15:30:00,12.4,1010.8,-0.6,65,6.1,,6.4,,12.9,302,4.6,13.2,,,,,,0,0,0,367,,,,,1.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 15:40:00,12.4,1010.8,-0.6,66,6.1,,6.4,,12.9,311,4.6,13.2,,,,,,0,0,0,60,,,,,0.5 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 15:50:00,12,1010.8,-0.6,69,6.7,,3.2,,8,281,4.6,13.2,,,,,,0,0,0,123,,,,,0.5 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 16:00:00,12.1,1010.8,-0.4,68,6.1,,1.6,,4.8,251,4.6,13.2,0,,,,,0,0,0,304,,,,,0.6 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 16:10:00,12.4,1010.8,-0.4,68,6.7,,3.2,,6.4,300,4.6,13.2,,,,,,0,0,0,202,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 16:20:00,12.6,1010.8,-0.4,67,6.7,,3.2,,6.4,293,4.6,13.2,,,,,,0,0,0,70,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 16:30:00,12.1,1010.9,-0.3,67,6.1,,4.8,,11.3,263,4.6,13.2,,,,,,0,0,0,44,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 16:40:00,11.4,1011,-0.2,69,6.1,,4.8,,11.3,276,4.6,13.2,,,,,,0,0,0,35,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 16:50:00,11.2,1010.9,-0.3,71,6.1,,4.8,,9.7,287,4.6,13.2,,,,,,0,0,0,69,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 17:00:00,11.3,1011,-0.1,70,6.1,,1.6,,6.4,236,4.6,13.2,0,,,,,0,0,0,40,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 17:10:00,11.2,1011.1,,71,6.1,,1.6,,4.8,233,4.6,13.2,,,,,,0,0,0,21,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 17:20:00,10.8,1011.1,,72,6.1,,,,3.2,254,4.6,13.2,,,,,,0,0,0,18,,,,,0.0 @@@@45.2@@@,wlkIP
000HQ,2017-09-16 17:30:00,10.7,1011.3,0.2,74,6.1,,,,3.2,258,4.6,13.2,,,,,,0,0,0,9,,,,,0.0 @@@@45.2@@@,wlkIP
