station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000HT,2017-09-17 15:40:00,10.3,1016.5,,72,5.6,,12.9,,32.2,171,5.7,12.7,,,,,,0.2,0,0,111,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 15:50:00,10.4,1016.5,,68,5,,12.9,,35.4,235,5.7,12.7,,,,,,0.2,0,0,100,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 16:00:00,10.4,1016.7,,67,4.4,,11.3,,22.5,223,5.7,12.7,0,,,,,0.2,0,0,83,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 16:10:00,10.4,1016.7,,71,5.6,,8,,16.1,94,5.7,12.7,,,,,,0.2,0,0,74,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 16:20:00,10.4,1016.8,,67,4.4,,6.4,,16.1,225,5.7,12.7,,,,,,0.2,0,0,62,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 16:30:00,10.5,1016.9,,65,3.9,,8,,20.9,191,5.7,12.7,,,,,,0.2,0,0,58,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 16:40:00,10.5,1017,,65,3.9,,8,,20.9,258,5.7,12.7,,,,,,0.2,0,0,46,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 16:50:00,10.4,1017,,68,5,,9.7,,24.1,209,5.7,12.7,,,,,,0.2,0,0,39,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 17:00:00,10.4,1017.2,,65,3.9,,12.9,,29,185,5.7,12.7,0,,,,,0.2,0,0,23,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 17:10:00,10.4,1017.3,,66,4.4,,12.9,,25.7,198,5.7,12.7,,,,,,0.2,0,0,23,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 17:20:00,10.3,1017.3,,67,4.4,,9.7,,17.7,188,5.7,12.7,,,,,,0.2,0,0,12,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 17:30:00,10.3,1017.4,,66,3.9,,9.7,,19.3,228,5.7,12.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 17:40:00,10.2,1017.3,,66,3.9,,8,,17.7,176,5.7,12.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@42.6@@@,wlkIP
000HT,2017-09-17 17:50:00,10.1,1017.4,,67,4.4,,9.7,,16.1,178,5.7,12.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@42.6@@@,wlkIP
