station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000IA,2017-11-02 20:30:00,0.2,1022.5,,90,-1.2,,1.6,,35.4,292,-3.9,14.4,,,,,,0,0,,,,,,,@@0@@@@@35.4,weatherlink
000IA,2017-11-02 21:00:00,-0.3,1022.6,,90,-1.7,,,,,,-3.9,14.4,0,0,0,0,,0,0,,,,,,,@@0@@@@@35.4,weatherlink
000IA,2017-11-02 21:30:00,-0.7,1022.5,,90,-2.1,,0,,35.4,254,-3.9,14.4,,,,,,0,0,,,,,,,@@0@@@@@35.4,weatherlink
000IA,2017-11-02 22:00:00,-1.1,1022.4,,91,-2.4,,,,,,-3.9,14.4,0,0,0,0,,0,0,,,,,,44,@@0@@@@@35.4,weatherlink
000IA,2017-11-02 22:30:00,-1.4,1022.4,,92,-2.5,,1.6,,35.4,311,-3.9,14.4,,,,,,0,0,,,,,,,@@0@@@@@35.4,weatherlink
000IA,2017-11-02 23:00:00,-1.7,1022.2,-0.3,90,-3.1,,,,,,-1.7,-1.7,0,0,0,0,,0,0,,,,,,,@@0@@@@@1.6,weatherlink
000IA,2017-11-02 23:30:00,-1.9,1021.9,-0.6,91,-3.2,,0,,3.2,302,-1.9,-1.7,,,,,,0,0,,,,,,,@@0@@@@@3.2,weatherlink
000IA,2017-11-03 00:00:00,-1.8,1021.7,,94,-2.6,,,,,,-2,-1.7,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 00:30:00,-1.4,1021.5,,95,-2.1,,,,,,-2,-1.4,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 01:00:00,-1.1,1021.4,,95,-1.8,,,,,,-2,-1,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 01:30:00,-0.7,1021.3,,95,-1.4,,,,,,-2,-0.7,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 02:00:00,-1,1021.1,,95,-1.7,,,,,,-2,-0.7,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 02:30:00,-0.7,1020.9,,95,-1.4,,,,,,-2,-0.7,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 03:00:00,-0.7,1020.7,-1,95,-1.4,,,,,,-2,-0.6,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 03:30:00,-0.7,1020.4,-1.3,95,-1.4,,,,,,-2,-0.6,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 04:00:00,-0.6,1020.3,-1.1,95,-1.3,,,,,,-2,-0.6,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 04:30:00,-0.6,1020,-1.4,96,-1.2,,,,,,-2,-0.6,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 05:00:00,-0.7,1019.8,-1.3,96,-1.3,,,,,,-2,-0.6,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 05:30:00,-0.8,1019.6,-1.5,95,-1.5,,,,,,-2,-0.6,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 06:00:00,-0.8,1019.5,-1.2,96,-1.4,,,,,304,-2,-0.6,0,0,0,0,,0,0,,,,,,49,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 06:30:00,-0.8,1019.4,-1.3,96,-1.4,,,,,,-2,-0.6,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 07:00:00,-0.8,1019.4,-0.9,96,-1.4,,,,,,-2,-0.6,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 07:30:00,-0.5,1019.3,-1,96,-1.1,,,,,,-2,-0.5,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 08:00:00,-0.3,1019.3,-0.5,96,-0.9,,,,,,-2,-0.3,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 08:30:00,0.1,1019.1,-0.7,96,-0.5,,,,,,-2,0.1,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 09:00:00,1.1,1018.8,-0.7,96,0.5,,,,,,-2,1.1,0,0,0,0,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 09:30:00,2.3,1018.6,-0.9,96,1.7,,,,,,-2,2.3,,,,,,0,0,,,,,,,@@0@@@@@4.8,weatherlink
000IA,2017-11-03 10:00:00,4.2,1018.3,-1.1,96,3.6,,,,,,-2,4.2,0,0,0,0,,0,0,,,,,,,@@0@@@@@6.4,weatherlink
000IA,2017-11-03 10:30:00,6.8,1018,-1.4,94,5.9,,,,,,-2,6.8,,,,,,0,0,,,,,,,@@0@@@@@6.4,weatherlink
000IA,2017-11-03 11:00:00,9.1,1017.3,-2,84,6.5,,,,,,-2,9.1,0,0,0,0,,0,0,,,,,,,@@0@@@@@6.4,weatherlink
000IA,2017-11-03 11:30:00,11.2,1017,-2.3,73,6.5,,,,,,-2,11.2,,,,,,0,0,,,,,,,@@0@@@@@6.4,weatherlink
000IA,2017-11-03 12:00:00,12.9,1016.7,-2.1,63,6,,,,,,-2,13,0,0,0,0,,0,0,,,,,,,@@0@@@@@6.4,weatherlink
000IA,2017-11-03 12:30:00,15.5,1016.4,-2.4,57,7,,,,,,-2,15.5,,,,,,0,0,,,,,,,@@0@@@@@6.4,weatherlink
000IA,2017-11-03 13:00:00,16.4,1015.9,-2.4,50,5.9,,,,,,-2,16.6,0,0,0,0,,0,0,,,,,,,@@0@@@@@6.4,weatherlink
000IA,2017-11-03 13:30:00,16.4,1015.9,-2.4,47,5.1,,,,,,-2,16.6,,,,,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-03 14:00:00,15.1,1015.9,-1.4,55,6.1,,,,,,-2,16.6,0,0,0,0,,0,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 14:30:00,12.8,1015.9,-1.4,64,6.2,,,,,,-2,16.6,,,,,,0,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 15:00:00,11.7,1016.1,-0.6,69,6.2,,,,,,-2,16.6,0.2,0.2,0,0,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 15:30:00,11.1,1015.8,-0.9,70,5.8,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 16:00:00,10.2,1016.2,0.3,74,5.8,,,,,,-2,16.6,0,0,0,0,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 16:30:00,9.2,1016.3,0.4,77,5.4,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 17:00:00,7.4,1016.7,0.8,80,4.2,,,,,,-2,16.6,0,0,0,0,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 17:30:00,5.7,1017.1,1.2,84,3.2,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 18:00:00,5.1,1017.2,1.1,86,3,,,,,,-2,16.6,0,0,0,0.2,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 18:30:00,4.1,1017.3,1.2,87,2.1,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 19:00:00,2.9,1017.4,1.2,88,1.1,,,,,,-2,16.6,0,0,0,0,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 19:30:00,2.1,1017.4,1.2,89,0.5,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 20:00:00,1.6,1017.7,1,89,-0,,,,,,-2,16.6,0,0,0,0,0.2,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 20:30:00,1.3,1018,1.3,90,-0.2,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 21:00:00,1.1,1018.2,1,91,-0.2,,,,,,-2,16.6,0,0,0,0,0.2,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 21:30:00,0.7,1018.3,1.1,91,-0.6,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 22:00:00,0.3,1018.2,0.8,91,-1,,,,,,-2,16.6,0,0,0,0,0.2,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 22:30:00,0.3,1018.4,1,90,-1.1,,,,,,-2,16.6,,,,,,0.2,0,,,,,,,@@0@@@@@9.7,weatherlink
000IA,2017-11-03 23:00:00,0.2,1018.4,0.7,92,-0.9,,,,,,0.2,0.2,,0,0,0,0.2,0,0,,,,,,,@@0@@@@@3.2,weatherlink
000IA,2017-11-03 23:30:00,-0.1,1017.9,0.2,92,-1.2,,,,,,-0.1,0.3,,,,,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 00:00:00,0.3,1017.8,,93,-0.7,,,,,222,-0.1,0.3,0,0,0,0,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 00:30:00,0.4,1017.9,,94,-0.5,,,,,192,-0.1,0.4,,,,,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 01:00:00,0.8,1017.6,,93,-0.2,,,,,172,-0.1,0.8,0,0,0,0,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 01:30:00,1.5,1017.3,,93,0.5,,,,,175,-0.1,1.6,,,,,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 02:00:00,2.4,1017.4,,92,1.2,,,,,225,-0.1,2.4,0,0,0,0,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 02:30:00,2.7,1017,,92,1.5,,,,,168,-0.1,2.7,,,,,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 03:00:00,2.8,1017,-0.8,92,1.6,,,,,219,-0.1,2.8,0,0,0,0,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
000IA,2017-11-04 03:30:00,2.9,1016.9,-0.9,91,1.6,,,,,144,-0.1,3.1,,,,,,0,0,,,,,,,@@0@@@@@8.0,weatherlink
