station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000IB,2017-11-04 14:30:00,14.4,1004.4,,82,11.1,,4.8,,17.7,81,11.4,14.8,,,,,,5.6,0,0,,,,,,@@@@5.6@@@,wlkIP
000IB,2017-11-04 14:40:00,14.4,1004.5,,83,11.7,,3.2,,11.3,69,11.4,14.8,,,,,,5.6,0,0,,,,,,@@@@5.6@@@,wlkIP
000IB,2017-11-04 14:50:00,14.3,1004.6,,82,11.1,,4.8,,16.1,80,11.4,14.8,,,,,,5.8,0,0,,,,,,@@@@5.8@@@,wlkIP
000IB,2017-11-04 15:00:00,14.1,1004.7,,82,11.1,,6.4,,20.9,266,11.4,14.8,0.2,,,,,5.8,0,0,,,,,,@@@@5.8@@@,wlkIP
000IB,2017-11-04 15:10:00,13.9,1004.9,,82,11.1,,6.4,,20.9,255,11.4,14.8,,,,,,5.8,0,0,,,,,,@@@@5.8@@@,wlkIP
000IB,2017-11-04 15:20:00,13.8,1005,,83,11.1,,6.4,,17.7,256,11.4,14.8,,,,,,5.8,0,0,,,,,,@@@@5.8@@@,wlkIP
000IB,2017-11-04 15:30:00,13.7,1005.1,,83,11.1,,3.2,,17.7,274,11.4,14.8,,,,,,5.8,0,0,,,,,,@@@@5.8@@@,wlkIP
000IB,2017-11-04 15:40:00,13.8,1005.2,,83,11.1,,6.4,,20.9,256,11.4,14.8,,,,,,5.8,0,0,,,,,,@@@@5.8@@@,wlkIP
000IB,2017-11-04 15:50:00,13.6,1005.4,,83,10.6,,4.8,,29,267,11.4,14.8,,,,,,6,0,0,,,,,,@@@@6.0@@@,wlkIP
000IB,2017-11-04 16:00:00,13.6,1005.6,,83,10.6,,4.8,,19.3,244,11.4,14.8,0.2,,,,,6,0,0,,,,,,@@@@6.0@@@,wlkIP
000IB,2017-11-04 16:10:00,13.4,1005.5,,84,10.6,,4.8,,22.5,251,11.4,14.8,,,,,,6,0,0,,,,,,@@@@6.0@@@,wlkIP
