station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000IC,2024-01-01 00:00:00,5.7,1008.9,,88,3.8,,8,,12.9,207,5.7,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@5.7@22.5,weatherlink
000IC,2024-01-01 00:30:00,5.6,1009,,89,3.9,,8,,16.1,201,5.4,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@5.4@22.5,weatherlink
000IC,2024-01-01 01:00:00,5.7,1008.9,,90,4.2,,9.7,,19.3,209,5.3,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@5.3@22.5,weatherlink
000IC,2024-01-01 01:30:00,5.7,1009.1,,90,4.2,,9.7,,22.5,236,5.3,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@5.3@22.5,weatherlink
000IC,2024-01-01 02:00:00,5.7,1009.3,,91,4.3,,8,,14.5,216,5.3,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@5.3@22.5,weatherlink
000IC,2024-01-01 02:30:00,5.3,1009.5,,91,4,,8,,16.1,206,5.3,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@5.3@22.5,weatherlink
000IC,2024-01-01 03:00:00,5.3,1009.7,0.8,92,4.1,,6.4,,14.5,200,5.3,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@5.3@22.5,weatherlink
000IC,2024-01-01 03:30:00,5.2,1010,1.1,91,3.8,,8,,14.5,198,5.2,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@5.2@22.5,weatherlink
000IC,2024-01-01 04:00:00,4.7,1010,1.1,93,3.7,,6.4,,11.3,197,4.7,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@4.7@22.5,weatherlink
000IC,2024-01-01 04:30:00,4.7,1010.1,1.2,93,3.6,,6.4,,14.5,208,4.6,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@4.6@22.5,weatherlink
000IC,2024-01-01 05:00:00,4.6,1010,0.7,94,3.7,,6.4,,14.5,219,4.6,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@4.6@22.5,weatherlink
000IC,2024-01-01 05:30:00,4.6,1010.2,0.9,94,3.7,,8,,12.9,205,4.6,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@4.6@22.5,weatherlink
000IC,2024-01-01 06:00:00,4.3,1010.2,0.5,95,3.5,,8,,11.3,198,4.3,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@4.3@22.5,weatherlink
000IC,2024-01-01 06:30:00,4.3,1010.4,0.7,95,3.6,,8,,11.3,196,4.2,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 07:00:00,4.7,1010.6,0.6,96,4.1,,9.7,,14.5,196,4.2,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 07:30:00,5.1,1010.9,0.9,96,4.5,,9.7,,14.5,197,4.2,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 08:00:00,5.3,1011.3,1.3,96,4.7,,8,,12.9,191,4.2,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 08:30:00,5.6,1011.7,1.7,96,5,,8,,14.5,202,4.2,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 09:00:00,6,1012.1,1.9,97,5.6,,6.4,,11.3,207,4.2,7.3,0,0,0,0,,0,0,0,,,,,,@@@7.3@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 09:30:00,6.7,1011.9,1.7,96,6.1,,11.3,,17.7,198,4.2,7.3,,,,,,0,0,0,,,,,,@@@7.3@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 10:00:00,7.5,1011.7,1.1,95,6.8,,9.7,,19.3,194,4.2,7.6,0,0,0,0,,0,0,0,,,,,,@@@7.6@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 10:30:00,9.6,1012.2,1.6,91,8.2,,11.3,,20.9,229,4.2,9.6,,,,,,0,0,0,,,,,,@@@9.6@0.0@@4.2@22.5,weatherlink
000IC,2024-01-01 11:00:00,10.3,1011.9,0.6,89,8.6,,12.9,,24.1,196,4.2,10.3,0,0,0,0,,0,0,0,,,,,,@@@10.3@0.0@@4.2@24.1,weatherlink
000IC,2024-01-01 11:30:00,10.1,1011.9,0.6,88,8.2,,9.7,,17.7,224,4.2,10.4,,,,,,0,0,0,,,,,,@@@10.4@0.0@@4.2@25.7,weatherlink
000IC,2024-01-01 12:00:00,10.6,1011.4,-0.7,87,8.5,,11.3,,22.5,205,4.2,10.8,0,0,0,0,,0,0,0,,,,,,@@@10.8@0.0@@4.2@25.7,weatherlink
000IC,2024-01-01 12:30:00,10.6,1011.1,-1,87,8.5,,12.9,,22.5,194,4.2,10.8,,,,,,0,0,0,,,,,,@@@10.8@0.0@@4.2@25.7,weatherlink
000IC,2024-01-01 13:00:00,10.6,1010.8,-0.9,86,8.4,,11.3,,17.7,218,4.2,10.9,0,0,0,0,,0,0,0,,,,,,@@@10.9@0.0@@4.2@25.7,weatherlink
000IC,2024-01-01 13:30:00,10.7,1010.8,-0.9,87,8.6,,9.7,,22.5,207,4.2,10.9,,,,,,0,0,0,,,,,,@@@10.9@0.0@@4.2@25.7,weatherlink
000IC,2024-01-01 14:00:00,10.7,1010.2,-1.7,87,8.6,,14.5,,24.1,198,4.2,10.9,0,0,0,0,,0,0,0,,,,,,@@@10.9@0.0@@4.2@25.7,weatherlink
000IC,2024-01-01 14:30:00,10.7,1009.5,-2.4,87,8.6,,19.3,,29,202,4.2,10.9,,,,,,0,0,0,,,,,,@@@10.9@0.0@@4.2@30.6,weatherlink
000IC,2024-01-01 15:00:00,10.6,1009.4,-2,89,8.8,,16.1,,25.7,208,4.2,10.9,0,0,0,0,,0,0,0,,,,,,@@@10.9@0.0@@4.2@30.6,weatherlink
000IC,2024-01-01 15:30:00,10.3,1009.2,-2.2,89,8.6,,14.5,,24.1,196,4.2,10.9,,,,,,0,0,0,,,,,,@@@10.9@0.0@@4.2@30.6,weatherlink
000IC,2024-01-01 16:00:00,10.2,1008.9,-1.9,90,8.7,,16.1,,25.7,182,4.2,10.9,0,0,0,0,,0,0,0,,,,,,@@@10.9@0.0@@4.2@30.6,weatherlink
000IC,2024-01-01 16:30:00,10.2,1008.8,-2,90,8.6,,16.1,,25.7,205,4.2,10.9,,,,,,0,0,0,,,,,,@@@10.9@0.0@@4.2@32.2,weatherlink
000IC,2024-01-01 17:00:00,10,1008.3,-1.9,92,8.8,,14.5,,22.5,174,4.2,10.9,0,0,0,0,,0,0,0,,,,,,@@@10.9@0.0@@4.2@32.2,weatherlink
000IC,2024-01-01 17:30:00,9.9,1008,-2.2,93,8.8,,17.7,,32.2,173,4.2,10.9,,,,,,0.3,0,0,,,,,,@@@10.9@0.3@@4.2@33.8,weatherlink
000IC,2024-01-01 18:00:00,9.6,1007.7,-1.7,96,8.9,,17.7,,33.8,184,4.2,10.9,0.8,0.8,0,0.8,,0.8,1,1,,,,,61,@@@10.9@0.8@@4.2@37.0,weatherlink
000IC,2024-01-01 18:30:00,9.6,1007.1,-2.3,96,8.9,,19.3,,32.2,190,4.2,10.9,,,,,,1.3,1.3,1.5,,,,,61,@@@10.9@1.3@@4.2@37.0,weatherlink
000IC,2024-01-01 19:00:00,9.8,1006.6,-2.3,97,9.3,,20.9,,35.4,181,4.2,10.9,1.2,0,0,0,,2,1.8,1.8,,,,,61,@@@10.9@2.0@@4.2@37.0,weatherlink
000IC,2024-01-01 19:30:00,10,1006.2,-2.7,98,9.7,,24.1,,40.2,196,4.2,10.9,,,,,,3,1.5,2.5,,,,,61,@@@10.9@3.0@@4.2@46.7,weatherlink
000IC,2024-01-01 20:00:00,10.3,1005.6,-2.7,98,10,,22.5,,35.4,219,4.2,10.9,2.6,0,0,0,,4.6,6.3,6.3,,,,,63,@@@10.9@4.6@@4.2@46.7,weatherlink
000IC,2024-01-01 20:30:00,10.6,1005.4,-2.9,99,10.4,,22.5,,40.2,215,4.2,10.9,,,,,,6.1,3.3,4.6,,,,,63,@@@10.9@6.1@@4.2@46.7,weatherlink
000IC,2024-01-01 21:00:00,10.7,1005.1,-2.6,99,10.6,,11.3,,20.9,211,4.2,10.9,6.3,10.1,0,0,,10.9,7.9,26.4,,,,,63,@@@10.9@10.9@@4.2@46.7,weatherlink
000IC,2024-01-01 21:30:00,10.9,1005.2,-2.5,99,10.8,,14.5,,30.6,212,4.2,10.9,,,,,,12.2,3,3,,,,,63,@@@10.9@12.2@@4.2@46.7,weatherlink
000IC,2024-01-01 22:00:00,11.1,1005.2,-1.4,99,11,,16.1,,40.2,212,4.2,11.1,2.3,0,0,0,,13.2,2,3,,,,,61,@@@11.1@13.2@@4.2@46.7,weatherlink
000IC,2024-01-01 22:30:00,11.2,1004.7,-1.9,99,11,,19.3,,40.2,192,11.1,11.2,,,,,,0.8,2.3,2.3,,,,,61,@@@11.2@14.0@@4.2@40.2,weatherlink
000IC,2024-01-01 23:00:00,11.2,1004.3,-1.3,98,10.9,,22.5,,41.8,165,11.1,11.3,,0,0,0,13.2,1.8,1.8,2.5,,,,,61,@@@11.3@15.0@@4.2@45.1,weatherlink
000IC,2024-01-01 23:30:00,11.2,1003.9,-1.7,98,10.9,,24.1,,41.8,183,11.1,11.3,,,,,,2.3,1.8,1.8,,,,,61,@@@11.3@15.5@@4.2@45.1,weatherlink
000IC,2024-01-02 00:00:00,11.2,1003.7,,98,10.9,,24.1,,41.8,216,11.1,11.3,1.8,0,2.8,0,,3.6,2.8,2.8,,,,,63,@@@11.3@16.8@@4.2@53.1,weatherlink
000IC,2024-01-02 00:30:00,11.1,1003.4,,98,10.8,,22.5,,46.7,244,11.1,11.3,,,,,,4.6,2.3,3.3,,,,,61,@@@11.3@17.8@@4.2@53.1,weatherlink
000IC,2024-01-02 01:00:00,11.1,1003.2,,98,10.8,,24.1,,45.1,207,11.1,11.3,5.6,0,0,0,,5.6,1.8,3.3,,,,,61,@@@11.3@18.8@@4.2@53.1,weatherlink
000IC,2024-01-02 01:30:00,11.1,1002.8,,98,10.8,,22.5,,48.3,193,11.1,11.3,,,,,,6.3,1.8,1.8,,,,,61,@@@11.3@19.6@@4.2@54.7,weatherlink
000IC,2024-01-02 02:00:00,11,1002.8,,98,10.7,,20.9,,45.1,224,11,11.3,1.3,0,0,0,,6.9,1,2.3,,,,,61,@@@11.3@20.1@@4.2@59.5,weatherlink
000IC,2024-01-02 02:30:00,11.1,1002.7,,98,10.8,,19.3,,38.6,219,11,11.3,,,,,,7.9,2,2,,,,,61,@@@11.3@21.1@@4.2@59.5,weatherlink
000IC,2024-01-02 03:00:00,11.1,1002.8,-0.9,99,11,,20.9,,41.8,214,11,11.3,1.5,8.4,0,0,,8.4,1.3,2,,,,,61,@@@11.3@21.6@@4.2@59.5,weatherlink
000IC,2024-01-02 03:30:00,11.1,1002.3,-1.4,99,11,,22.5,,40.2,214,11,11.3,,,,,,9.7,3,3,,,,,63,@@@11.3@22.9@@4.2@59.5,weatherlink
000IC,2024-01-02 04:00:00,11.2,1002,-1.2,99,11.1,,22.5,,41.8,217,11,11.3,2,0,0,0,,10.4,1.3,3,,,,,61,@@@11.3@23.6@@4.2@59.5,weatherlink
000IC,2024-01-02 04:30:00,11.3,1001.4,-1.8,99,11.2,,24.1,,49.9,194,11,11.3,,,,,,11.2,1.8,2,,,,,61,@@@11.3@24.4@@4.2@59.5,weatherlink
000IC,2024-01-02 05:00:00,11.4,1001.1,-1.7,99,11.2,,20.9,,41.8,193,11,11.4,1.3,0,0,0,,11.7,0,2,,,,,,@@@11.4@24.9@@4.2@59.5,weatherlink
000IC,2024-01-02 05:30:00,11.4,1000.7,-2.1,99,11.3,,25.7,,49.9,231,11,11.4,,,,,,12.2,1.5,1.8,,,,,61,@@@11.4@25.4@@4.2@59.5,weatherlink
000IC,2024-01-02 06:00:00,11.6,1000.5,-2.3,99,11.4,,25.7,,56.3,219,11,11.6,1,4.3,0,0,,12.7,0,1.8,,,,,,@@@11.6@25.9@@4.2@59.5,weatherlink
000IC,2024-01-02 06:30:00,11.6,1000.3,-2.5,98,11.3,,20.9,,43.5,197,11,11.7,,,,,,13.2,1,1.5,,,,,61,@@@11.7@26.4@@4.2@59.5,weatherlink
000IC,2024-01-02 07:00:00,11.7,1000.3,-1.7,98,11.4,,22.5,,43.5,205,11,11.8,1,0,0,0,,13.7,1.8,1.8,,,,,61,@@@11.8@26.9@@4.2@59.5,weatherlink
000IC,2024-01-02 07:30:00,11.8,1000.2,-1.8,99,11.6,,22.5,,46.7,216,11,11.8,,,,,,14.5,1.3,1.5,,,,,61,@@@11.8@27.7@@4.2@59.5,weatherlink
