station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000L9,2024-01-08 11:20:00,1.3,1023.6,,84,-1.1,,14.5,,,22,1.1,4.4,,,,,,0,0,0,69,,,,,@@105@13.9@23.8@3.23@1.1@27.4,weatherlink
000L9,2024-01-08 11:30:00,1.2,1023.5,,82,-1.6,,16.1,,,16,1.1,4.4,,,,,,0,0,0,69,,,,,@@105@13.9@23.8@3.23@1.1@27.4,weatherlink
000L9,2024-01-08 11:40:00,1.1,1023.4,,82,-1.6,,14.5,,,40,1.1,4.4,,,,,,0,0,0,51,,,,,@@105@13.9@23.8@3.23@1.1@27.4,weatherlink
000L9,2024-01-08 11:50:00,0.9,1023.4,,82,-1.8,,16.1,,,19,0.9,4.4,,,,,,0,0,0,53,,,,,@@105@13.9@23.8@3.23@0.9@27.4,weatherlink
000L9,2024-01-08 12:00:00,0.8,1023.3,,81,-2.1,,16.1,,,23,0.8,4.4,0,0,0,0,,0,0,0,53,,,,,@@105@13.9@23.8@3.23@0.8@27.4,weatherlink
000L9,2024-01-08 12:10:00,0.8,1023.2,,82,-1.9,,12.9,,,40,0.8,4.4,,,,,,0,0,0,46,,,,,@@105@13.9@23.8@3.28@0.8@27.4,weatherlink
000L9,2024-01-08 12:20:00,0.8,1023.2,,82,-1.9,,14.5,,,50,0.8,4.4,,,,,,0,0,0,54,,,,,@@105@13.9@23.8@3.28@0.8@27.4,weatherlink
000L9,2024-01-08 12:30:00,0.8,1023.1,,82,-1.9,,14.5,,,30,0.8,4.4,,,,,,0,0,0,47,,,,,@@105@13.9@23.8@3.28@0.8@27.4,weatherlink
000L9,2024-01-08 12:40:00,0.7,1023.1,,81,-2.2,,16.1,,,41,0.7,4.4,,,,,,0,0,0,60,,,,,@@105@13.9@23.8@3.28@0.7@27.4,weatherlink
000L9,2024-01-08 12:50:00,0.7,1023.1,,81,-2.2,,14.5,,,35,0.7,4.4,,,,,,0,0,0,58,,,,,@@105@13.9@23.8@3.28@0.7@27.4,weatherlink
000L9,2024-01-08 13:00:00,0.8,1023.1,,81,-2.1,,12.9,,,64,0.7,4.4,0,0,0,0,,0,0,0,54,,,,,@@105@13.9@23.8@3.28@0.7@27.4,weatherlink
000L9,2024-01-08 13:10:00,0.7,1023.2,,81,-2.2,,11.3,,,29,0.7,4.4,,,,,,0,0,0,47,,,,,@@105@13.9@23.8@3.30@0.7@27.4,weatherlink
000L9,2024-01-08 13:20:00,0.7,1023.2,,81,-2.2,,12.9,,,54,0.7,4.4,,,,,,0,0,0,46,,,,,@@105@13.9@23.8@3.30@0.7@27.4,weatherlink
000L9,2024-01-08 13:30:00,0.7,1023.3,,81,-2.2,,11.3,,,17,0.7,4.4,,,,,,0,0,0,39,,,,,@@105@13.9@23.8@3.30@0.7@27.4,weatherlink
000L9,2024-01-08 13:40:00,0.7,1023.2,,81,-2.2,,11.3,,,38,0.7,4.4,,,,,,0,0,0,47,,,,,@@105@13.9@23.8@3.30@0.7@27.4,weatherlink
000L9,2024-01-08 13:50:00,0.7,1023.2,,80,-2.4,,14.5,,,55,0.6,4.4,,,,,,0,0,0,47,,,,,@@105@13.9@23.8@3.30@0.6@27.4,weatherlink
000L9,2024-01-08 14:00:00,0.6,1023.3,-0.3,81,-2.3,,12.9,,,52,0.6,4.4,0,0,0,0,,0,0,0,39,,,,,@@105@13.9@23.8@3.30@0.6@27.4,weatherlink
000L9,2024-01-08 14:10:00,0.6,1023.4,-0.2,80,-2.5,,9.7,,,19,0.6,4.4,,,,,,0,0,0,37,,,,,@@105@13.9@23.8@3.33@0.6@27.4,weatherlink
000L9,2024-01-08 14:20:00,0.6,1023.4,-0.2,80,-2.5,,11.3,,,45,0.6,4.4,,,,,,0,0,0,40,,,,,@@105@13.9@23.8@3.33@0.6@27.4,weatherlink
000L9,2024-01-08 14:30:00,0.6,1023.4,-0.2,79,-2.7,,12.9,,,28,0.6,4.4,,,,,,0,0,0,44,,,,,@@105@13.9@23.8@3.33@0.6@27.4,weatherlink
000L9,2024-01-08 14:40:00,0.4,1023.6,,79,-2.8,,11.3,,,21,0.4,4.4,,,,,,0,0,0,35,,,,,@@105@13.9@23.8@3.33@0.4@27.4,weatherlink
000L9,2024-01-08 14:50:00,0.5,1023.5,-0.1,79,-2.7,,12.9,,,38,0.4,4.4,,,,,,0,0,0,30,,,,,@@105@13.9@23.8@3.33@0.4@27.4,weatherlink
000L9,2024-01-08 15:00:00,0.4,1023.5,0.2,79,-2.8,,11.3,,,46,0.4,4.4,0,0,0,0,,0,0,0,30,,,,,@@105@13.9@23.8@3.33@0.4@27.4,weatherlink
000L9,2024-01-08 15:10:00,0.4,1023.4,0.1,79,-2.8,,6.4,,,49,0.4,4.4,,,,,,0,0,0,28,,,,,@@105@13.9@23.8@3.35@0.4@27.4,weatherlink
000L9,2024-01-08 15:20:00,0.4,1023.4,0.1,78,-3,,6.4,,,33,0.4,4.4,,,,,,0,0,0,26,,,,,@@105@13.9@23.8@3.35@0.4@27.4,weatherlink
000L9,2024-01-08 15:30:00,0.4,1023.4,0.1,78,-3,,6.4,,,34,0.3,4.4,,,,,,0,0,0,19,,,,,@@105@13.9@23.8@3.35@0.3@27.4,weatherlink
000L9,2024-01-08 15:40:00,0.4,1023.3,,78,-3,,6.4,,,46,0.3,4.4,,,,,,0,0,0,18,,,,,@@105@13.9@23.8@3.35@0.3@27.4,weatherlink
000L9,2024-01-08 15:50:00,0.4,1023.4,0.1,78,-3,,3.2,,,27,0.3,4.4,,,,,,0,0,0,12,,,,,@@105@13.9@23.8@3.35@0.3@27.4,weatherlink
000L9,2024-01-08 16:00:00,0.3,1023.4,0.3,77,-3.3,,6.4,,17.7,19,0.3,4.4,0,0,0,0,,0,0,0,9,,,,,@@105@13.9@23.8@3.35@0.3@27.4,weatherlink
000L9,2024-01-08 16:10:00,0.3,1023.4,0.3,76,-3.5,,11.3,,22.5,34,0.2,4.4,,,,,,0,0,0,7,,,,,@@105@13.9@23.8@3.38@0.2@27.4,weatherlink
000L9,2024-01-08 16:20:00,0.2,1023.3,0.2,77,-3.3,,3.2,,14.5,26,0.2,4.4,,,,,,0,0,0,0,,,,,@@105@13.9@23.8@3.38@0.2@27.4,weatherlink
