station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000LM,2017-12-24 12:20:00,5.3,1031.6,,93,4.4,,3.2,,8,284,4.8,5.4,,,,,,0,0,0,51,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 12:30:00,5.3,1031.3,,93,4.4,,1.6,,8,259,4.8,5.4,,,,,,0,0,0,49,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 12:40:00,5.2,1031.2,,93,4.4,,1.6,,4.8,245,4.8,5.4,,,,,,0,0,0,49,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 12:50:00,5.2,1031.2,,93,4.4,,1.6,,6.4,240,4.8,5.4,,,,,,0,0,0,56,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 13:00:00,5.1,1031,,92,3.9,,3.2,,8,258,4.8,5.4,0,,,,,0,0,0,58,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 13:10:00,5,1030.9,,91,3.9,,4.8,,8,310,4.8,5.4,,,,,,0,0,0,46,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 13:20:00,5,1030.8,,92,3.9,,3.2,,6.4,288,4.8,5.4,,,,,,0,0,0,44,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 13:30:00,4.9,1030.5,,92,3.9,,3.2,,6.4,275,4.8,5.4,,,,,,0,0,0,40,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 13:40:00,4.9,1030.5,,93,3.9,,3.2,,6.4,259,4.8,5.4,,,,,,0,0,0,37,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 13:50:00,4.8,1030.5,,93,3.9,,3.2,,6.4,269,4.8,5.4,,,,,,0,0,0,39,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 14:00:00,4.8,1030.4,,93,3.9,,1.6,,4.8,299,4.8,5.4,0,,,,,0,0,0,32,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 14:10:00,4.8,1030.3,,93,3.9,,1.6,,3.2,228,4.7,5.4,,,,,,0,0,0,26,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 14:20:00,4.8,1030.2,,93,3.9,,1.6,,6.4,283,4.7,5.4,,,,,,0,0,0,23,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 14:30:00,4.8,1030.1,,94,3.9,,1.6,,4.8,257,4.7,5.4,,,,,,0,0,0,21,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 14:40:00,4.7,1030.1,,94,3.9,,1.6,,3.2,230,4.7,5.4,,,,,,0,0,0,18,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 14:50:00,4.7,1029.9,,94,3.9,,,,1.6,230,4.7,5.4,,,,,,0,0,0,16,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 15:00:00,4.6,1029.9,-1.7,93,3.3,,1.6,,4.8,261,4.6,5.4,0,,,,,0,0,0,12,,,,,@@@@188.8@@@,wlkIP
000LM,2017-12-24 15:10:00,4.5,1029.8,-1.8,94,3.9,,,,1.6,261,4.5,5.4,,,,,,0,0,0,11,,,,,@@@@188.8@@@,wlkIP
