station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000M8,2020-01-01 00:00:00,0.2,1031,,95,-0.5,,0,,0,352,0.3,1.4,0,0,0,0,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 00:30:00,0.4,1031.1,,95,-0.3,,0,,0,352,0.2,1.4,,,,,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 01:00:00,0.2,1030.9,,95,-0.5,,0,,0,352,0.2,1.4,0,0,0,0,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 01:30:00,-0.8,1030.9,,95,-1.5,,0,,0,352,-0.7,1.4,,,,,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 02:00:00,-0.8,1031,,95,-1.5,,0,,0,352,-0.8,1.4,0,0,0,0,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 02:30:00,-0.9,1030.9,,95,-1.6,,0,,0,352,-0.9,1.4,,,,,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 03:00:00,-1.3,1030.8,-0.2,95,-2,,0,,0,352,-1.2,1.4,0,0,0,0,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 03:30:00,-1.4,1031.2,0.2,95,-2.1,,0,,0,352,-1.4,1.4,,,,,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 04:00:00,-1.2,1031.1,0.2,96,-1.8,,0,,0,352,-1.5,1.4,0,0,0,0,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
000M8,2020-01-01 04:30:00,-2.1,1031.2,0.3,95,-2.8,,0,,0,352,-2,1.4,,,,,,0,0,0,0,,,,,@@0@1.4@791.40@0.00@1.4@1.4,weatherlink
