station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000MG,2021-01-01 00:00:00,-1.2,1006.67,,94,-2,,0,,0,0,-1.6,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 00:30:00,-1.4,1006.71,,95,-2.1,,3.2,,3.2,318,-1.6,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 01:00:00,-1.5,1006.77,,95,-2.2,,0,,0,0,-1.6,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 01:30:00,-1.4,1006.77,,95,-2.1,,0,,0,0,-1.6,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 02:00:00,-1.1,1007.18,,95,-1.8,,0,,0,0,-1.6,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 02:30:00,-1.1,1007.62,,95,-1.8,,0,,0,0,-1.6,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 03:00:00,-1.2,1007.69,1,95,-1.9,,0,,0,0,-1.6,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 03:30:00,-1.2,1007.69,1,95,-1.9,,0,,0,0,-1.6,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 04:00:00,-1.5,1007.76,1,95,-2.2,,1.6,,3.2,342,-1.6,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 04:30:00,-2,1007.79,1,95,-2.7,,0,,3.2,342,-2,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 05:00:00,-2.1,1007.76,0.6,95,-2.8,,1.6,,3.2,342,-2.2,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 05:30:00,-2.2,1007.82,0.6,95,-2.9,,1.6,,3.2,342,-2.3,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 06:00:00,-2.3,1007.99,0.3,95,-3,,1.6,,3.2,342,-2.3,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 06:30:00,-2.6,1008.26,0.6,95,-3.2,,0,,0,0,-2.6,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 07:00:00,-2.4,1008.64,0.9,96,-3,,0,,0,0,-2.7,6.2,0,0,0,0,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 07:30:00,-2.6,1008.87,1.1,95,-3.3,,0,,1.6,34,-2.7,6.2,,,,,,0,0,,0,0,,,,0@1.0@429@@@@@,weatherlink
000MG,2021-01-01 08:00:00,-2.9,1009.01,1.3,95,-3.6,,0,,3.2,34,-2.9,-2.9,0,0,0,0,,0,0,,7,0,,,,0@0.0@7@@@@@,weatherlink
000MG,2021-01-01 08:30:00,-2.8,1009.45,1.7,95,-3.5,,0,,1.6,34,-3,-2.8,,,,,,0,0,,18,0,,,,0@0.0@18@@@@@,weatherlink
000MG,2021-01-01 09:00:00,-2.1,1009.89,1.9,96,-2.7,,0,,1.6,34,-3,-2.1,0,0,0,0,,0,0,,26,0,,,,0@0.0@26@@@@@,weatherlink
000MG,2021-01-01 09:30:00,-1.2,1010.02,2,96,-1.8,,0,,0,0,-3,-1.2,,,,,,0,0,,42,0,,,,0@0.0@49@@@@@,weatherlink
000MG,2021-01-01 10:00:00,-0.4,1010.13,1.5,96,-1,,0,,0,0,-3,-0.4,0,0,0,0,,0,0,,40,0,,,,0@0.0@56@@@@@,weatherlink
000MG,2021-01-01 10:30:00,0.1,1010.36,1.7,95,-0.6,,6.4,,8,37,-3,0.1,,,,,,0,0,,107,0.6,,,,0.6@0.6@113@@@@@,weatherlink
000MG,2021-01-01 11:00:00,0.8,1010.26,1.3,95,0.1,,6.4,,8,47,-3,0.8,0.2,0,0,0,,0.2,0,,253,0.8,,,,0.8@0.8@253@@@@@,weatherlink
000MG,2021-01-01 11:30:00,1.5,1010.13,1.1,93,0.5,,9.7,,14.5,36,-3,1.5,,,,,,0.2,0,,276,0.9,,,,0.9@0.9@281@@@@@,weatherlink
000MG,2021-01-01 12:00:00,2.1,1009.96,0.1,92,0.9,,8,,12.9,52,-3,2.1,0,0.2,0.2,0,,0.2,0,,292,0.9,,,,0.9@0.9@294@@@@@,weatherlink
000MG,2021-01-01 12:30:00,2.4,1009.72,-0.2,91,1.1,,11.3,,17.7,55,-3,2.4,,,,,,0.2,0,,258,0.8,,,,0.8@0.9@332@@@@@,weatherlink
000MG,2021-01-01 13:00:00,2,1009.85,-0.3,91,0.7,,11.3,,16.1,54,-3,2.4,0,0,0,0,,0.2,0,,111,0.6,,,,0.6@0.9@332@@@@@,weatherlink
000MG,2021-01-01 13:30:00,2,1009.89,-0.2,92,0.8,,6.4,,11.3,44,-3,2.4,,,,,,0.2,0,,72,0,,,,0@0.9@332@@@@@,weatherlink
