station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000MQ,2021-01-01 09:00:00,1.3,1006.4,,89,-0.3,,3.6,,14.4,218,1.1,3.7,0,0,0,0,,6.6,0,0,69,0,,,,0@0.0@67.0@3.7@6.60@@1.1@9.7,weatherlink
000MQ,2021-01-01 09:30:00,1.6,1006.7,,89,-0,,3.8,,17.6,224,1.1,3.7,,,,,,6.6,0,0,98,0,,,,0@0.0@86.0@3.7@6.60@@1.1@9.7,weatherlink
000MQ,2021-01-01 10:00:00,1.8,1006.8,,88,0.1,,4,,22.7,229,1.1,3.7,0,0,0,0,,6.6,0,0,120,0,,,,0@0.0@98.0@3.7@6.60@@1.1@9.7,weatherlink
000MQ,2021-01-01 10:30:00,2,1006.8,,88,0.2,,4.2,,20.9,233,1.1,3.7,,,,,,6.6,0,0,125,0,,,,0@0.0@125.0@3.7@6.60@@1.1@11.2,weatherlink
000MQ,2021-01-01 11:00:00,2.1,1006.8,,87,0.2,,4.5,,17.6,238,1.1,3.7,0,0,0,0,,6.6,0,0,77,0,,,,0@0.0@125.0@3.7@6.60@@1.1@13.0,weatherlink
000MQ,2021-01-01 11:30:00,2.2,1006.6,,87,0.3,,4.7,,19.4,240,1.1,3.7,,,,,,6.6,0,0,141,0,,,,0@0.0@156.0@3.7@6.60@@1.1@13.0,weatherlink
000MQ,2021-01-01 12:00:00,2.3,1006.5,0.1,86,0.2,,4.9,,19.4,244,1.1,3.7,0,0,0,0,,6.6,0,0,100,0,,,,0@0.0@156.0@3.7@6.60@@1.1@13.0,weatherlink
000MQ,2021-01-01 12:30:00,2.2,1006.2,-0.2,87,0.3,,5,,17.6,247,1.1,3.7,,,,,,6.6,0,0,127,0,,,,0@0.0@156.0@3.7@6.60@@1.1@13.0,weatherlink
000MQ,2021-01-01 13:00:00,2.3,1006.1,-0.7,86,0.2,,5.2,,14.4,251,1.1,3.7,0,0,0,0,,6.6,0,0,60,0,,,,0@0.0@156.0@3.7@6.60@@1.1@13.0,weatherlink
000MQ,2021-01-01 13:30:00,2.4,1006,-0.8,86,0.3,,5.2,,17.6,252,1.1,3.7,,,,,,6.6,0,0,91,0,,,,0@0.0@156.0@3.7@6.60@@1.1@13.0,weatherlink
000MQ,2021-01-01 14:00:00,2.3,1006.1,-0.7,86,0.2,,5.4,,16.2,255,1.1,3.7,0,0,0,0,,6.6,0,0,40,0,,,,0@0.0@156.0@3.7@6.60@@1.1@13.0,weatherlink
000MQ,2021-01-01 14:30:00,2.3,1006.1,-0.7,86,0.2,,5.5,,19.4,258,1.1,3.7,,,,,,6.6,0,0,58,0,,,,0@0.0@156.0@3.7@6.60@@1.1@13.0,weatherlink
