station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000MU,2018-06-16 13:00:00,20.5,1016.3,,63,13.2,,8.9,23.6,16.4,279,11.2,20.7,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 13:30:00,21,1016.1,,57,12.2,,7,23.6,20,290,11.2,21,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 14:00:00,21.3,1016,,60,13.2,,9.3,23.6,20,294,11.2,21.4,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 14:30:00,21.3,1016.1,,56,12.2,,7.4,23.6,20,251,11.2,21.4,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 15:00:00,20.9,1016.2,,59,12.6,,9.8,23.6,18.2,277,11.2,21.7,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 15:30:00,21.1,1016.1,,57,12.3,,10,23.6,20,292,11.2,21.7,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 16:00:00,21.3,1016.3,,56,12.1,,7.4,23.6,23.6,289,11.2,21.7,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 16:30:00,20.7,1016.5,0.2,62,13.2,,10.5,23.6,16.4,288,11.2,21.7,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 17:00:00,21.6,1016.4,0.4,62,14,,0,18.2,0,318,11.2,21.7,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 17:30:00,21.7,1016.5,0.5,58,13.1,,0,14.5,0,298,11.2,22.1,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 18:00:00,19.8,1016.4,0.2,68,13.7,,0,5.5,0,300,11.2,22.1,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 18:30:00,19.6,1016.7,0.5,69,13.8,,0,5.5,0,289,11.2,22.1,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 19:00:00,18.6,1016.8,0.5,73,13.6,,0,0,0,289,11.2,22.1,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 19:30:00,17.9,1016.7,0.4,76,13.6,,0,0,0,289,11.2,22.1,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 20:00:00,17.6,1017,0.6,76,13.3,,0,0,0,289,11.2,22.1,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 20:30:00,16.7,1017,0.6,81,13.4,,0,1.8,0,289,11.2,22.1,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 21:00:00,15.2,1017.3,0.9,84,12.5,,0,1.8,0,289,11.2,22.1,0,0,0,0,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 21:30:00,14.3,1017.2,0.8,87,12.1,,0,0,0,289,11.2,22.1,,,,,,0,,,,,,,,@@@@@@@24.1,weatherlink
000MU,2018-06-16 22:00:00,13.4,1017.2,0.4,90,11.8,,0,0,0,289,13.4,13.4,0,0,0,0,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-16 22:30:00,12.8,1017.3,0.5,91,11.3,,0,0,0,289,12.8,13.4,,,,,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-16 23:00:00,12.4,1016.9,-0.1,92,11.2,,0,0,0,289,12.4,13.4,0,0,0,0,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-16 23:30:00,12.2,1017.3,0.3,93,11.1,,0,0,0,289,12.2,13.4,,,,,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 00:00:00,12.2,1017.4,,94,11.2,,0,0,0,289,12.2,13.4,0,0,0,0,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 00:30:00,12.1,1017.4,,94,11.2,,0,0,0,295,12.1,13.4,,,,,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 01:00:00,12.6,1017.7,,95,11.8,,0,0,0,315,12.1,13.4,0,0,0,0,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 01:30:00,12.9,1017.9,,95,12.1,,0,0,0,316,12.1,13.4,,,,,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 02:30:00,13.5,1018.2,,94,12.6,,0,0,0,316,12.1,13.5,,,,,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 03:00:00,13.6,1018.2,0.8,93,12.4,,0,0,0,318,12.1,13.6,0,0,0,0,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 03:30:00,13.3,1018.5,1.1,93,12.2,,0,0,0,318,12.1,13.6,,,,,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 04:00:00,12.8,1018.4,0.7,92,11.6,,0,0,0,318,12.1,13.6,0,0,0,0,,0,,,,,,,,@@@@@@@0.0,weatherlink
000MU,2018-06-17 04:30:00,12.8,1018.6,0.9,92,11.5,,0,0,0,318,12.1,13.6,,,,,,0,,,,,,,,@@@@@@@0.0,weatherlink
