station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000N3,2015-01-08 20:30:00,5.7,1035.3,,76,1.8,,1.6,,3.2,350,-1.5,11,,,,,,0,0,0,0,0.0,,,,0.0@0.6@378@11.7@0.0@8.53@-4.3@35.4,weatherlink
000N3,2015-01-08 21:00:00,6,1035.4,22.2,76,2.1,,1.6,,4.8,350,-1.5,11,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.6@378@11.7@0.0@8.53@-4.3@35.4,weatherlink
000N3,2015-01-08 21:30:00,6.6,1035.4,22.2,73,2.1,,3.2,,6.4,350,-1.5,11,,,,,,0,0,0,0,0.0,,,,0.0@0.6@378@11.7@0.0@8.56@-4.3@35.4,weatherlink
000N3,2015-01-08 22:00:00,7,1035.6,,72,2.3,,4.8,,8,7,-1.5,11,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.6@378@11.7@0.0@8.56@-4.3@35.4,weatherlink
000N3,2015-01-08 22:30:00,5.7,1035.8,,76,1.8,,1.6,,4.8,350,-1.5,11,,,,,,0,0,0,0,0.0,,,,0.0@0.6@378@11.7@0.0@8.59@-4.3@35.4,weatherlink
000N3,2015-01-08 23:00:00,6.2,1035.8,0.5,76,2.2,,4.8,,16.1,350,-1.5,11,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.6@378@11.7@0.0@8.59@-4.3@35.4,weatherlink
000N3,2015-01-08 23:30:00,9.1,1035.5,0.2,64,2.7,,11.3,,17.7,350,7.6,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.64@-4.3@19.3,weatherlink
000N3,2015-01-09 00:00:00,9.1,1035.6,,65,2.9,,16.1,,27.4,350,7.6,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.64@-4.3@27.4,weatherlink
000N3,2015-01-09 00:30:00,8.6,1035.4,,67,2.8,,14.5,,20.9,355,7.6,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.69@-4.3@27.4,weatherlink
000N3,2015-01-09 01:00:00,8.7,1035.5,,68,3.1,,17.7,,25.7,11,7.6,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.69@-4.3@29.0,weatherlink
000N3,2015-01-09 01:30:00,8.9,1035.4,,67,3.1,,17.7,,29,355,7.6,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.74@-4.3@29.0,weatherlink
000N3,2015-01-09 02:00:00,8.7,1035.6,,68,3.1,,17.7,,25.7,350,7.6,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.74@-4.3@29.0,weatherlink
000N3,2015-01-09 02:30:00,7.7,1035.5,,70,2.6,,16.1,,20.9,350,7.6,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.79@-4.3@29.0,weatherlink
000N3,2015-01-09 03:00:00,7,1035.5,-0.1,73,2.5,,12.9,,19.3,355,7,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.79@-4.3@29.0,weatherlink
000N3,2015-01-09 03:30:00,6.4,1035.6,,75,2.3,,16.1,,24.1,350,6.4,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.84@-4.3@29.0,weatherlink
000N3,2015-01-09 04:00:00,5.9,1035.2,-0.3,76,2,,16.1,,24.1,7,5.9,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.84@-4.3@29.0,weatherlink
000N3,2015-01-09 04:30:00,5.1,1035.4,-0.1,77,1.4,,14.5,,20.9,350,5.1,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.89@-4.3@29.0,weatherlink
000N3,2015-01-09 05:00:00,3.1,1035.9,0.3,82,0.3,,3.2,,4.8,350,3.1,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.89@-4.3@29.0,weatherlink
000N3,2015-01-09 05:30:00,3.1,1036.4,0.8,85,0.8,,4.8,,9.7,350,2.8,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.92@-4.3@29.0,weatherlink
000N3,2015-01-09 06:00:00,4.7,1036.4,0.9,82,1.9,,11.3,,16.1,350,2.8,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.92@-4.3@29.0,weatherlink
000N3,2015-01-09 06:30:00,5.6,1036.4,0.9,80,2.4,,9.7,,14.5,350,2.8,9.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.94@-4.3@29.0,weatherlink
000N3,2015-01-09 07:00:00,3.4,1036,0.8,83,0.8,,1.6,,4.8,350,2.8,9.3,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@11.7@0.0@8.94@-4.3@29.0,weatherlink
000N3,2015-01-09 07:30:00,3,1036.3,1.1,85,0.7,,1.6,,4.8,350,2.8,9.3,,,,,,0,0,0,11,0.0,,,,0.0@0.0@11@11.7@0.0@8.97@-4.3@29.0,weatherlink
000N3,2015-01-09 08:00:00,3.3,1036.6,0.7,87,1.4,,1.6,,3.2,350,2.8,9.3,0,0,0,0,,0,0,0,40,0.0,,,,0.0@0.0@40@11.7@0.0@8.97@-4.3@29.0,weatherlink
000N3,2015-01-09 08:30:00,4,1036.8,0.9,87,2,,3.2,,6.4,350,2.8,9.3,,,,,,0,0,0,113,0.0,,,,0.0@0.0@118@11.7@0.0@8.97@-4.3@29.0,weatherlink
000N3,2015-01-09 09:00:00,4.2,1036.4,,86,2,,1.6,,3.2,350,2.8,9.3,0,0,0,0,,0,0,0,169,0.0,,,,0.0@0.0@171@11.7@0.0@8.97@-4.3@29.0,weatherlink
000N3,2015-01-09 09:30:00,6.7,1035,-1.4,77,2.9,,4.8,,8,350,2.8,9.3,,,,,,0,0,0,230,0.0,,,,0.0@0.0@299@11.7@0.0@9.02@-4.3@29.0,weatherlink
000N3,2015-01-09 10:00:00,7.3,1035.8,-0.2,75,3.1,,16.1,,27.4,350,2.8,9.3,0,0,0,0,,0,0,0,239,0.0,,,,0.0@0.0@345@11.7@0.0@9.02@-4.3@29.0,weatherlink
000N3,2015-01-09 10:30:00,9.2,1035.8,-0.2,70,4,,11.3,,20.9,350,2.8,9.3,,,,,,0,0,0,374,0.0,,,,0.0@0.0@390@11.7@0.0@9.14@-4.3@29.0,weatherlink
000N3,2015-01-09 11:00:00,9.8,1035.2,-1.4,66,3.8,,4.8,,9.7,350,2.8,10.5,0,0,0,0,,0,0,0,399,0.5,,,,0.5@0.5@411@11.7@0.0@9.14@-4.3@29.0,weatherlink
000N3,2015-01-09 11:30:00,9.1,1035.6,-1,70,3.9,,3.2,,6.4,350,2.8,10.5,,,,,,0,0,0,220,0.0,,,,0.0@0.6@534@11.7@0.0@9.32@-4.3@29.0,weatherlink
000N3,2015-01-09 12:00:00,9.6,1035.2,-1.2,69,4.2,,3.2,,8,350,2.8,10.5,0,0,0,0,,0,0,0,98,0.0,,,,0.0@0.6@534@11.7@0.0@9.32@-4.3@29.0,weatherlink
000N3,2015-01-09 12:30:00,9.6,1034.9,-1.5,71,4.6,,0,,3.2,350,2.8,10.5,,,,,,0,0,0,144,0.0,,,,0.0@0.6@534@11.7@0.0@9.42@-4.3@29.0,weatherlink
000N3,2015-01-09 13:00:00,10.4,1034,-1.8,68,4.8,,4.8,,8,350,2.8,10.5,0,0,0,0,,0,0,0,171,0.0,,,,0.0@0.6@534@11.7@0.0@9.42@-4.3@29.0,weatherlink
000N3,2015-01-09 13:30:00,11.2,1033.2,-2.6,63,4.4,,11.3,,19.3,350,2.8,11.2,,,,,,0,0,0,134,0.0,,,,0.0@0.6@534@11.7@0.0@9.50@-4.3@29.0,weatherlink
000N3,2015-01-09 14:00:00,10,1034.4,-0.8,65,3.7,,14.5,,22.5,7,2.8,11.2,0,0,0,0,,0,0,0,77,0.0,,,,0.0@0.6@534@11.7@0.0@9.50@-4.3@29.0,weatherlink
000N3,2015-01-09 14:30:00,11.7,1034.2,-1,45,0.2,,11.3,,17.7,18,2.8,11.7,,,,,,0,0,0,42,0.0,,,,0.0@0.6@534@11.7@0.0@9.63@-4.3@29.0,weatherlink
000N3,2015-01-09 15:00:00,12.1,1033.9,-1.3,43,-0.2,,12.9,,19.3,350,2.8,12.2,0,0,0,0,,0,0,0,63,0.0,,,,0.0@0.6@534@12.2@0.0@9.63@-4.3@29.0,weatherlink
000N3,2015-01-09 15:30:00,11.7,1034.4,-0.8,51,1.9,,8,,11.3,350,2.8,12.2,,,,,,0,0,0,70,0.0,,,,0.0@0.6@534@12.2@0.0@9.73@-4.3@29.0,weatherlink
000N3,2015-01-09 16:00:00,10.1,1034.8,0.8,64,3.6,,4.8,,9.7,350,2.8,12.2,0,0,0,0,,0,0,0,12,0.0,,,,0.0@0.6@534@12.2@0.0@9.73@-4.3@29.0,weatherlink
000N3,2015-01-09 16:30:00,9.4,1034.8,0.8,69,4,,3.2,,4.8,350,2.8,12.2,,,,,,0,0,0,5,0.0,,,,0.0@0.6@534@12.2@0.0@9.78@-4.3@29.0,weatherlink
000N3,2015-01-09 17:00:00,8.9,1034.7,0.3,72,4.2,,1.6,,3.2,350,2.8,12.2,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.78@-4.3@29.0,weatherlink
000N3,2015-01-09 17:30:00,7.9,1035,0.6,76,3.9,,3.2,,8,350,2.8,12.2,,,,,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.78@-4.3@29.0,weatherlink
000N3,2015-01-09 18:00:00,7.2,1034.9,1,78,3.6,,3.2,,6.4,350,2.8,12.2,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.78@-4.3@29.0,weatherlink
000N3,2015-01-09 18:30:00,7.2,1035.3,1.4,79,3.8,,3.2,,6.4,4,2.8,12.2,,,,,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.80@-4.3@29.0,weatherlink
000N3,2015-01-09 19:00:00,6.7,1035.1,0.3,80,3.5,,4.8,,6.4,350,2.8,12.2,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.80@-4.3@29.0,weatherlink
000N3,2015-01-09 19:30:00,6.7,1034.4,-0.4,80,3.5,,1.6,,6.4,350,2.8,12.2,,,,,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.83@-4.3@29.0,weatherlink
000N3,2015-01-09 20:00:00,8.7,1034.2,-0.5,67,2.9,,22.5,,30.6,350,2.8,12.2,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.83@-4.3@30.6,weatherlink
000N3,2015-01-09 20:30:00,8.9,1033.7,-1,67,3.1,,19.3,,24.1,350,2.8,12.2,,,,,,0,0,0,0,0.0,,,,0.0@0.6@534@12.2@0.0@9.86@-4.3@30.6,weatherlink
