station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000NC,2018-08-21 10:50:00,23.1,1020.8,,68,16.9,,8,19.3,16.1,332,12.2,24.8,,,,,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 12:00:00,24.6,1020.4,,62,16.8,,9.4,19.3,19.3,329,12.2,25.7,0,0,0,0,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 13:30:00,25.7,1019.5,-1.3,62,17.8,,9.3,17.7,17.7,336,12.2,25.9,,,,,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 16:00:00,25.5,1018.5,-1,59,16.9,,8.9,20.9,19.3,318,12.2,26.2,0,0,0,0,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 17:30:00,24.2,1018.5,,62,16.4,,7.8,16.1,12.9,327,12.2,26.2,,,,,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 19:00:00,20.3,1018.6,0.1,72,15.1,,5.9,9.7,6.4,331,12.2,26.2,0,0,0,0,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 20:30:00,18.6,1019,0.5,77,14.5,,5,8,6.4,336,12.2,26.2,,,,,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 21:00:00,20.3,1018.6,,72,15.1,,5.9,9.7,6.4,331,12.2,26.2,0,0,0,0,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 22:30:00,18.6,1019,0.4,77,14.5,,5,8,6.4,336,12.2,26.2,,,,,,0,,,,,,,,@@@@@@@,weatherlink
000NC,2018-08-21 22:40:00,18.6,1019,0.4,77,14.4,,4.8,8,6.4,337,12.2,26.2,,,,,,0,,,,,,,,@@@@@@@,weatherlink
