station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ND,2018-08-21 14:40:00,29.9,1015.5,,52,18.9,,4.8,,,9,15.2,30.3,,,,,,0,0,0,603,2.7,,,,2.7@@805@@797.8@@@16.1@24.5@22.8@24.5@7:18am@4:28pm@30@31.7@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 14:50:00,30.1,1015.3,,50,18.3,,3.2,,,294,15.2,30.3,,,,,,0,0,0,582,2.5,,,,2.5@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@4:43pm@30@31.1@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 15:00:00,30.4,1015.1,,50,18.9,,3.2,,,340,15.2,30.5,,,,,,0,0,0,552,2.3,,,,2.3@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@4:43pm@30.6@32.2@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 15:10:00,30.4,1015.1,,50,18.9,,3.2,,,295,15.2,30.5,,,,,,0,0,0,531,2.2,,,,2.2@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@4:43pm@30.6@32.2@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 15:20:00,30.6,1015.1,,50,18.9,,3.2,,,350,15.2,30.6,,,,,,0,0,0,501,1.9,,,,1.9@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@5:19pm@30.6@32.2@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 15:30:00,30.1,1015.1,,51,18.9,,4.8,,,269,15.2,30.6,,,,,,0,0,0,473,1.7,,,,1.7@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@5:19pm@30@31.7@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 15:40:00,30.2,1014.9,,50,18.9,,4.8,,,272,15.2,30.6,,,,,,0,0,0,446,1.5,,,,1.5@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@5:19pm@30@31.7@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 15:50:00,30.2,1015.1,,49,18.3,,3.2,,,36,15.2,30.6,,,,,,0,0,0,420,1.4,,,,1.4@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@5:19pm@30@31.7@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 16:00:00,30.1,1014.9,,50,18.3,,4.8,,,269,15.2,30.6,0,,,,,0,0,0,392,1.2,,,,1.2@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@5:19pm@30@31.1@0@59@57@66@8:04am@10:27am,wlkIPxml
000ND,2018-08-21 16:10:00,30.3,1014.7,,51,18.9,,3.2,,,38,15.2,30.6,,,,,,0,0,0,364,1.1,,,,1.1@@805@@797.8@@@16.1@24.6@22.8@24.6@7:18am@5:19pm@30.6@32.2@0@58@57@66@8:04am@10:27am,wlkIPxml
