station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000NG,2018-08-30 13:40:00,19.8,1023.2,,67,13.3,,1.6,,8,197,13.1,20.2,,,,,,0,0,0,188,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@20@20@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 13:50:00,19.6,1023.1,,66,12.8,,1.6,,6.4,174,13.1,20.2,,,,,,0,0,0,272,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 14:00:00,19.6,1023,,68,13.3,,1.6,,4.8,207,13.1,20.2,,,,,,0,0,0,239,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 14:10:00,19.7,1023,,67,13.3,,1.6,,4.8,184,13.1,20.2,,,,,,0,0,0,244,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@19.4@20@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 14:20:00,19.7,1023,,67,13.3,,1.6,,4.8,338,13.1,20.2,,,,,,0,0,0,239,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@19.4@20@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 14:30:00,19.7,1022.9,,67,13.3,,1.6,,6.4,188,13.1,20.2,,,,,,0,0,0,176,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@20@20@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 14:40:00,19.6,1022.9,,67,13.3,,1.6,,4.8,126,13.1,20.2,,,,,,0,0,0,174,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 14:50:00,19.6,1022.9,,67,13.3,,1.6,,4.8,200,13.1,20.2,,,,,,0,0,0,192,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 15:00:00,19.7,1023,,68,13.9,,1.6,,6.4,180,13.1,20.2,0,,,,,0,0,0,265,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@20@20@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 15:10:00,19.6,1022.8,,67,13.3,,3.2,,8,164,13.1,20.2,,,,,,0,0,0,243,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 15:20:00,19.7,1022.8,,67,13.3,,1.6,,6.4,208,13.1,20.2,,,,,,0,0,0,188,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@19.4@20@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 15:30:00,19.4,1022.6,,67,13.3,,4.8,,11.3,234,13.1,20.2,,,,,,0,0,0,183,0,,,,0@@788@@526.6@@@12.9@24.3@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 15:40:00,19.4,1022.8,,67,13.3,,1.6,,4.8,181,13.1,20.2,,,,,,0,0,0,158,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 15:50:00,19.4,1022.8,,67,13.3,,1.6,,3.2,180,13.1,20.2,,,,,,0,0,0,121,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 16:00:00,19.3,1022.9,-0.3,68,13.3,,0,,3.2,205,13.1,20.2,0,,,,,0,0,0,113,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 16:10:00,19.3,1022.5,-0.7,70,13.9,,0,,1.6,205,13.1,20.2,,,,,,0,0,0,104,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 16:20:00,19.2,1022.7,-0.5,70,13.3,,0,,1.6,206,13.1,20.2,,,,,,0,0,0,86,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@19.4@19.4@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 16:30:00,19,1022.6,-0.6,72,13.9,,0,,0,206,13.1,20.2,,,,,,0,0,0,76,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@18.9@18.9@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 16:40:00,18.9,1022.6,-0.6,72,13.9,,0,,0,206,13.1,20.2,,,,,,0,0,0,69,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@18.9@18.9@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 16:50:00,18.8,1022.7,-0.5,73,13.9,,0,,1.6,206,13.1,20.2,,,,,,0,0,0,60,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@18.9@18.9@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 17:00:00,18.6,1022.7,-0.3,74,13.9,,0,,0,206,13.1,20.2,0,,,,,0,0,0,47,0,,,,0@@788@@526.6@@@12.9@24.2@23.9@24.4@7:54am@12:01am@18.9@18.9@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 17:10:00,18.5,1022.6,-0.4,73,13.3,,0,,0,206,13.1,20.2,,,,,,0,0,0,37,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@18.3@18.3@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 17:20:00,18.3,1022.6,-0.4,74,13.9,,0,,4.8,218,13.1,20.2,,,,,,0,0,0,35,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@18.3@18.3@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 17:30:00,18.1,1022.5,-0.5,76,13.9,,0,,1.6,213,13.1,20.2,,,,,,0,0,0,33,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@18.3@18.3@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 17:40:00,17.9,1022.7,-0.3,77,13.9,,0,,3.2,213,13.1,20.2,,,,,,0,0,0,21,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@17.8@17.8@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 17:50:00,17.6,1022.7,-0.3,80,13.9,,0,,1.6,302,13.1,20.2,,,,,,0,0,0,19,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@17.8@17.8@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 18:00:00,17.3,1022.6,-0.4,79,13.9,,0,,4.8,327,13.1,20.2,0,,,,,0,0,0,21,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@17.2@17.2@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 18:10:00,16.9,1022.6,-0.4,81,13.9,,0,,3.2,186,13.1,20.2,,,,,,0,0,0,16,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@17.2@17.2@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 18:20:00,16.7,1022.6,-0.4,82,13.3,,0,,1.6,199,13.1,20.2,,,,,,0,0,0,14,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@16.7@16.7@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 18:30:00,16.3,1022.7,-0.3,82,13.3,,0,,0,177,13.1,20.2,,,,,,0,0,0,7,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@16.1@16.7@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 18:40:00,16.1,1022.7,-0.3,83,13.3,,0,,1.6,177,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@16.1@16.1@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 18:50:00,15.9,1022.8,-0.2,84,13.3,,0,,0,183,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@16.1@16.1@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 19:00:00,15.7,1023,0.1,85,13.3,,0,,0,182,13.1,20.2,0,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15.6@15.6@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 19:10:00,15.5,1023.1,0.2,85,12.8,,0,,0,182,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15.6@15.6@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 19:20:00,15.4,1023.1,0.2,85,12.8,,0,,0,182,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15.6@15.6@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 19:30:00,15.3,1023.2,0.3,85,12.8,,0,,0,182,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15.6@15.6@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 19:40:00,15.2,1023.3,0.4,86,12.8,,0,,0,182,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15.6@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 19:50:00,15.1,1023.3,0.4,86,12.8,,0,,0,182,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 20:00:00,15.1,1023.3,0.6,87,12.8,,0,,1.6,120,13.1,20.2,0,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 20:10:00,15,1023.2,0.5,87,12.8,,0,,1.6,114,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 20:20:00,14.9,1023.1,0.4,87,12.8,,0,,1.6,113,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 20:30:00,14.9,1023.1,0.4,88,12.8,,0,,0,113,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 20:40:00,14.9,1023,0.3,88,12.8,,0,,0,113,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 20:50:00,14.8,1023,0.3,88,12.8,,0,,1.6,113,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 21:00:00,14.7,1023.1,0.5,89,12.8,,0,,0,113,13.1,20.2,0,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@15@15@0@54@53@55@12:00am@10:36am,wlkIPxml
000NG,2018-08-30 21:10:00,14.6,1023.2,0.6,89,12.8,,0,,0,113,13.1,20.2,,,,,,0,0,0,0,0,,,,0@@788@@526.6@@@12.9@24.1@23.9@24.4@7:54am@12:01am@14.4@14.4@0@54@53@55@12:00am@10:36am,wlkIPxml
