station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000NL,2023-01-01 00:00:00,5.5,1030.8,,82,2.8,,16.1,,25.7,290,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.3@17.2@17.4@12:42am@12:00am@2.2@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 00:10:00,5.4,1030.6,,83,2.8,,16.1,,24.1,284,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.3@17.2@17.4@12:42am@12:00am@2.8@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 00:20:00,5.4,1030.7,,83,2.8,,16.1,,25.7,277,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.2@17.2@17.4@12:42am@12:00am@1.7@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 00:30:00,5.4,1030.8,,83,2.8,,14.5,,19.3,281,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.2@17.2@17.4@1:24am@12:00am@2.8@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 00:40:00,5.4,1030.9,,83,2.8,,12.9,,20.9,285,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.2@17.1@17.4@1:33am@12:00am@2.2@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 00:50:00,5.4,1031.1,,83,2.8,,12.9,,22.5,271,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.1@17.1@17.4@1:33am@12:00am@2.8@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 01:00:00,5.3,1030.8,,84,2.8,,11.3,,19.3,306,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.1@17.1@17.4@1:55am@12:00am@2.2@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 01:10:00,5.4,1030.7,,83,2.8,,16.1,,24.1,279,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17.1@17@17.4@2:05am@12:00am@2.2@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 01:20:00,5.4,1030.6,,83,2.8,,14.5,,27.4,279,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17@17@17.4@2:05am@12:00am@2.8@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
000NL,2023-01-01 01:30:00,5.3,1030.6,,84,2.8,,12.9,,19.3,275,5.2,5.7,,,,,,0,0,0,,,,,,@@@@0@@@27.4@17@17@17.4@2:05am@12:00am@3.3@5.6@0@56@56@59@12:43am@12:00am@2413@2400@+0100,wlkIPxml
