station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000NM,2018-10-17 19:20:00,11.2,1021.6,,93,10,,2,,4.8,28,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 19:30:00,11,1021.7,,93,9.9,,2.3,,6.4,29,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 19:40:00,10.8,1021.7,,93,9.7,,2.5,,6.4,23,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 19:50:00,10.7,1021.7,,94,9.7,,3.4,,6.4,11,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 20:00:00,10.6,1021.8,,94,9.7,,2.5,,6.4,25,6.6,18.6,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 20:10:00,10.6,1021.8,,94,9.6,,1.5,,4.8,40,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 20:20:00,10.4,1021.8,,92,9.2,,0.6,,3.2,36,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 20:30:00,10,1022,,93,8.9,,0,,1.6,,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 20:40:00,9.6,1022,,94,8.7,,0,,0,,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 20:50:00,9.8,1022,,97,9.3,,0.6,,4.8,64,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 21:00:00,10.3,1022.2,,97,9.9,,1.6,,6.4,52,6.6,18.6,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 21:10:00,10.5,1022.2,,96,9.9,,1.2,,6.4,48,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 21:20:00,10.6,1022.2,,95,9.8,,1.7,,6.4,56,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 21:30:00,10.8,1022.2,,95,10,,3,,9.7,43,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 21:40:00,11.1,1022.2,,94,10.2,,4,,14.5,49,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 21:50:00,11.2,1022.3,,93,10.1,,3.5,,14.5,53,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 22:00:00,11.3,1022.3,0.7,93,10.2,,3.5,,9.7,52,6.6,18.6,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 22:10:00,11.5,1022.4,0.8,93,10.4,,4.5,,14.5,42,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 22:20:00,11.5,1022.5,0.9,92,10.2,,4.3,,14.5,33,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 22:30:00,11.5,1022.4,0.8,93,10.3,,4.2,,9.7,26,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 22:40:00,11.5,1022.3,0.7,93,10.4,,4.3,,9.7,33,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 22:50:00,11.6,1022.4,0.8,94,10.6,,4.6,,9.7,31,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 23:00:00,11.5,1022.5,0.7,93,10.4,,5.6,,11.3,21,6.6,18.6,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 23:10:00,11.3,1022.5,0.7,94,10.3,,7.1,,14.5,17,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 23:20:00,11.1,1022.5,0.7,94,10.2,,6.5,,14.5,18,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 23:30:00,10.9,1022.4,0.6,95,10.1,,6.1,,12.9,12,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 23:40:00,10.9,1022.4,0.6,95,10.2,,5.7,,12.9,15,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-17 23:50:00,11,1022.2,0.4,95,10.3,,4.8,,12.9,27,6.6,18.6,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 00:00:00,11.1,1022.2,,95,10.3,,3.8,,11.3,31,11.1,11.1,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 00:10:00,11.1,1022.2,,96,10.4,,3.4,,8,26,11.1,11.1,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 00:20:00,11.2,1022.1,,96,10.6,,3.7,,12.9,22,11.1,11.2,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 00:30:00,11.5,1022.2,,96,10.9,,3.9,,12.9,20,11.1,11.5,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 00:40:00,11.8,1022.4,,96,11.2,,3.4,,9.7,21,11.1,11.8,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 00:50:00,12,1022.4,,96,11.4,,2.2,,6.4,30,11.1,12,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 01:00:00,12.4,1022.5,,96,11.8,,3.1,,11.3,42,11.1,12.4,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 01:10:00,12.7,1022.5,,95,11.9,,4.1,,12.9,43,11.1,12.7,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 01:20:00,13,1022.5,,94,12,,4.9,,16.1,39,11.1,13,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 01:30:00,13.3,1022.4,,93,12.2,,6.9,,20.9,42,11.1,13.3,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 01:40:00,13.4,1022.4,,93,12.3,,7.3,,20.9,36,11.1,13.4,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 01:50:00,13.5,1022.5,,93,12.4,,6.7,,16.1,36,11.1,13.5,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 02:00:00,13.6,1022.6,,93,12.4,,5.1,,16.1,42,11.1,13.6,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 02:10:00,13.7,1022.3,,93,12.6,,7.1,,24.1,46,11.1,13.7,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 02:20:00,13.8,1022.5,,93,12.7,,8.4,,24.1,43,11.1,13.8,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 02:30:00,13.8,1022.4,,93,12.7,,7.3,,17.7,43,11.1,13.8,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 02:40:00,13.9,1022.2,,93,12.8,,7.9,,20.9,41,11.1,13.9,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 02:50:00,14,1022.3,,93,12.9,,8.9,,20.9,47,11.1,14,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 03:00:00,14.1,1022.4,0.2,93,13,,7.6,,19.3,56,11.1,14.1,0,0,0,0,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 03:10:00,14.2,1022.4,0.2,93,13.1,,7.3,,22.5,54,11.1,14.2,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 03:20:00,14.3,1022.3,0.1,93,13.2,,8.4,,22.5,48,11.1,14.3,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 03:30:00,14.3,1022.3,0.1,93,13.2,,7.6,,20.9,48,11.1,14.3,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 03:40:00,14.4,1022.4,0.2,93,13.3,,7.6,,25.7,50,11.1,14.4,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
000NM,2018-10-18 03:50:00,14.4,1022.3,0.1,93,13.3,,8.5,,25.7,56,11.1,14.4,,,,,,0,0,0,0,0,,,,0@@@@732@@@,weatherlink
