station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000NN,2018-10-18 20:20:00,15.7,1011.9,,96,15,,16.1,,35.4,133,12.7,19.4,,,,,,67.6,23.2,33.8,0,0,,,65,0@@0@@530.2@@@53.1@22.9@21.2@24@9:37am@12:00am@15@16.1@0@59@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 20:30:00,15.2,1012.3,,96,14.4,,16.1,,29,133,12.7,19.4,,,,,,77,16.2,105.6,0,0,,,65,0@@0@@539.6@@@53.1@22.6@21.2@24@9:37am@12:00am@12.8@15.6@0@60@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 20:40:00,14.7,1012.5,,96,13.9,,12.9,,32.2,73,12.7,19.4,,,,,,82.2,54.4,105.6,0,0,,,65,0@@0@@544.8@@@53.1@22.5@21.2@24@9:37am@12:00am@15@15@0@60@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 20:50:00,14.6,1012.4,,97,13.9,,4.8,,11.3,138,12.7,19.4,,,,,,92.2,27.4,105.6,0,0,,,65,0@@0@@554.8@@@53.1@22.4@21.2@24@9:37am@12:00am@14.4@14.4@0@60@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 21:00:00,14.6,1012.6,,98,14.4,,4.8,,8,112,12.7,19.4,,,,,,97.2,45,43.6,0,0,,,65,0@@0@@559.8@@@53.1@22.3@21.2@24@9:37am@12:00am@14.4@14.4@0@61@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 21:20:00,14.5,1012.6,,97,13.9,,3.2,,6.4,107,12.7,19.4,,,,,,101.8,20.8,43.6,0,0,,,65,0@@0@@564.4@@@53.1@22.3@21.2@24@9:37am@12:00am@14.4@14.4@0@61@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 21:30:00,14.3,1012.4,,97,13.9,,4.8,,8,346,12.7,19.4,,,,,,105.4,13.4,43.6,0,0,,,65,0@@0@@568@@@53.1@22.3@21.2@24@9:37am@12:00am@14.4@14.4@0@61@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 21:40:00,14.1,1012.3,,97,13.9,,3.2,,8,309,12.7,19.4,,,,,,107.2,11.4,43.6,0,0,,,65,0@@0@@569.8@@@53.1@22.3@21.2@24@9:37am@12:00am@13.9@13.9@0@61@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 21:50:00,14.3,1012.2,,97,13.9,,8,,19.3,320,12.7,19.4,,,,,,109,16,43.6,0,0,,,65,0@@0@@571.6@@@53.1@22.3@21.2@24@9:37am@12:00am@13.3@14.4@0@61@52@62@12:00am@5:48pm@1308@2413@+0200,wlkIPxml
000NN,2018-10-18 22:00:00,15.3,1012,,96,15,,16.1,,33.8,10,15.3,15.3,13.8,,,,,0,12,12,0,0,,,65,0@@0@@573.6@@@19.3@22.2@22.2@22.2@12:00am@12:00am@14.4@15.6@0@61@61@61@12:00am@12:00am@2400@2400@+0200,wlkIPxml
000NN,2018-10-18 22:10:00,15.3,1012,,96,15,,9.7,,32.2,36,15.3,15.4,,,,,,3.8,21.4,65.4,0,0,,,65,0@@0@@577.4@@@32.2@22.2@22.2@22.3@12:00am@12:01am@13.3@15.6@0@61@61@61@12:00am@12:00am@2401@2408@+0200,wlkIPxml
000NN,2018-10-18 22:20:00,15.3,1012.3,,96,15,,11.3,,33.8,353,15.3,15.5,,,,,,7.6,13.8,65.4,0,0,,,65,0@@0@@581.2@@@37@22.2@22.2@22.3@12:00am@12:01am@15.6@15.6@0@61@61@61@12:00am@12:00am@2421@2408@+0200,wlkIPxml
000NN,2018-10-18 22:30:00,15.2,1012.6,,97,15,,8,,22.5,90,15.2,15.5,,,,,,9.6,16.4,65.4,0,0,,,65,0@@0@@583.2@@@37@22.2@22.2@22.3@12:36am@12:01am@14.4@15.6@0@61@61@61@12:00am@12:00am@2421@2435@+0200,wlkIPxml
000NN,2018-10-18 22:40:00,15.2,1012.6,,97,15,,8,,16.1,34,15.2,15.5,,,,,,12.2,22,65.4,0,0,,,65,0@@0@@585.8@@@37@22.2@22.2@22.3@12:36am@12:01am@15@15.6@0@61@61@61@12:00am@12:00am@2421@2442@+0200,wlkIPxml
000NN,2018-10-18 23:00:00,15.4,1012.3,0.4,96,15,,11.3,,29,360,15.1,15.5,16,,,,,16,8.2,11,0,0,,,63,0@@0@@589.6@@@37@22.1@22.1@22.3@1:00am@12:01am@13.3@15.6@0@61@61@61@12:00am@12:00am@2421@2450@+0200,wlkIPxml
000NN,2018-10-18 23:20:00,15.7,1011.9,,94,15,,20.9,,33.8,26,15.1,15.8,,,,,,18.8,8,23,0,0,,,63,0@@0@@592.4@@@37@21.9@21.9@22.3@1:29am@12:01am@12.8@16.1@0@61@61@61@12:00am@12:00am@1322@2450@+0200,wlkIPxml
000NN,2018-10-18 23:30:00,15.6,1012,0.1,94,14.4,,17.7,,30.6,31,15.1,15.8,,,,,,20.6,31.4,23,0,0,,,65,0@@0@@594.2@@@37@21.9@21.9@22.3@1:29am@12:01am@13.9@16.1@0@61@61@61@12:00am@12:00am@1322@2450@+0200,wlkIPxml
000NN,2018-10-18 23:50:00,15.4,1012.1,0.2,95,14.4,,11.3,,32.2,34,15.1,15.8,,,,,,24.4,16.4,23,0,0,,,65,0@@0@@598@@@37@21.9@21.9@22.3@1:29am@12:01am@13.3@16.1@0@61@61@61@12:00am@12:00am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 00:00:00,15.4,1012.3,,95,14.4,,17.7,,35.4,28,15.1,15.8,11.2,41,,,,27.2,23.8,47.8,0,0,,,65,0@@0@@600.8@@@37@21.9@21.9@22.3@1:52am@12:01am@12.8@15.6@0@61@61@61@12:00am@12:00am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 00:10:00,15.2,1012.2,,97,15,,9.7,,22.5,8,15.1,15.8,,,,,,32,12.4,25,0,0,,,65,0@@0@@605.6@@@37@21.8@21.8@22.3@2:17am@12:01am@12.8@15.6@0@61@61@61@12:00am@12:00am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 00:30:00,15.2,1012,,97,15,,11.3,,24.1,26,15.1,15.8,,,,,,36,12.8,63.2,0,0,,,65,0@@0@@609.6@@@37@21.8@21.8@22.3@2:31am@12:01am@13.9@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 00:40:00,15.3,1011.9,,97,15,,11.3,,27.4,15,15.1,15.8,,,,,,43.4,53.8,63.2,0,0,,,65,0@@0@@617@@@37@21.8@21.8@22.3@2:31am@12:01am@15@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 01:00:00,15.5,1011.9,,96,15,,14.5,,37,131,15.1,15.8,21.4,48.6,,,,48.6,10.2,20,0,0,,,65,0@@0@@622.2@@@37@21.7@21.7@22.3@2:57am@12:01am@15.6@16.1@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 01:10:00,15.4,1012.1,,96,15,,11.3,,35.4,35,15.1,15.8,,,,,,49.2,3.4,20,0,0,,,63,0@@0@@622.8@@@37@21.7@21.7@22.3@2:57am@12:01am@15.6@16.1@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 01:30:00,15.4,1012.1,,97,15,,11.3,,37,89,15.1,15.8,,,,,,50,2.8,20,0,0,,,63,0@@0@@623.6@@@37@21.7@21.7@22.3@2:57am@12:01am@14.4@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 01:40:00,15.5,1012.1,,96,15,,19.3,,35.4,31,15.1,15.8,,,,,,50.4,3.4,20,0,0,,,63,0@@0@@624@@@37@21.7@21.7@22.3@3:34am@12:01am@13.3@16.1@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 01:50:00,15.4,1011.8,,96,15,,19.3,,37,41,15.1,15.8,,,,,,51.6,9.4,20,0,0,,,63,0@@0@@625.2@@@37@21.7@21.7@22.3@3:34am@12:01am@15@16.1@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 02:00:00,15.4,1011.5,,95,14.4,,24.1,,43.4,134,15.1,15.8,3.6,36.2,,,,52.2,1.2,1.6,0,0,,,61,0@@0@@625.8@@@43.4@21.7@21.7@22.3@3:34am@12:01am@14.4@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 02:20:00,15.4,1011.6,,94,14.4,,22.5,,41.8,21,15.1,15.8,,,,,,52.2,0,1.6,0,0,,,,0@@0@@625.8@@@43.4@21.7@21.7@22.3@3:34am@12:01am@12.2@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 02:30:00,15.2,1011.6,,95,14.4,,14.5,,35.4,42,15.1,15.8,,,,,,52.2,0,1.6,0,0,,,,0@@0@@625.8@@@43.4@21.6@21.6@22.3@4:24am@12:01am@15@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 02:40:00,15.3,1011.7,,96,14.4,,8,,20.9,74,15.1,15.8,,,,,,52.4,0,1.6,0,0,,,,0@@0@@626@@@43.4@21.6@21.6@22.3@4:24am@12:01am@15.6@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 02:50:00,15.3,1011.8,,96,14.4,,6.4,,16.1,49,15.1,15.8,,,,,,52.4,0,1.6,0,0,,,,0@@0@@626@@@43.4@21.6@21.6@22.3@4:24am@12:01am@15.6@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 03:00:00,15.2,1011.6,-0.7,96,14.4,,4.8,,14.5,66,15.1,15.8,0.2,25.2,66.2,,,52.4,0,1.6,0,0,,,,0@@0@@626@@@43.4@21.6@21.6@22.3@4:24am@12:01am@14.4@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 03:10:00,15.2,1011.4,-0.9,96,14.4,,4.8,,17.7,358,15.1,15.8,,,,,,52.4,0,0,0,0,,,,0@@0@@626@@@43.4@21.6@21.6@22.3@5:03am@12:01am@12.8@15.6@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 03:30:00,15.5,1011.1,-1.2,94,14.4,,17.7,,33.8,351,15.1,15.8,,,,,,52.4,0,0,0,0,,,,0@@0@@626@@@43.4@21.6@21.6@22.3@5:03am@12:01am@15@16.1@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 03:40:00,15.6,1011.3,-1,94,14.4,,14.5,,30.6,48,15.1,15.8,,,,,,52.4,0,0,0,0,,,,0@@0@@626@@@43.4@21.6@21.6@22.3@5:03am@12:01am@15@16.1@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
000NN,2018-10-19 04:00:00,15.6,1011.4,-0.5,95,15,,8,,17.7,349,15.1,15.8,0,3.8,52.4,,,52.4,0,0,0,0,,,,0@@0@@626@@@43.4@21.5@21.5@22.3@5:53am@12:01am@15.6@16.1@0@62@61@62@12:00am@2:22am@1322@2450@+0200,wlkIPxml
