station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000NQ,2018-11-13 20:00:00,12.3,1025.7,,89,10.6,,12.9,,32.2,241,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.4@20.5@23@12:17pm@3:58pm@11.1@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 20:10:00,12.2,1025.7,,89,10.6,,11.3,,20.9,202,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.4@20.5@23@12:17pm@3:58pm@11.7@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 20:20:00,12.3,1025.9,,89,10.6,,11.3,,25.7,227,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.4@20.5@23@12:17pm@3:58pm@11.1@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 20:30:00,12.2,1026,,90,10.6,,9.7,,29,227,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.3@20.5@23@12:17pm@3:58pm@12.2@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 20:40:00,12.2,1026,,91,11.1,,9.7,,17.7,188,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.3@20.5@23@12:17pm@3:58pm@11.7@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 20:50:00,12.3,1026,,91,11.1,,11.3,,27.4,230,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.3@20.5@23@12:17pm@3:58pm@11.1@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 21:00:00,12.3,1026,,91,11.1,,9.7,,19.3,157,11.4,15.2,0,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.2@20.5@23@12:17pm@3:58pm@11.7@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 21:10:00,12.3,1025.9,,90,10.6,,9.7,,17.7,159,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.2@20.5@23@12:17pm@3:58pm@11.1@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 21:20:00,12.3,1026,,90,10.6,,9.7,,17.7,241,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.2@20.5@23@12:17pm@3:58pm@10.6@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 21:30:00,12.3,1025.9,,90,10.6,,9.7,,24.1,190,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.1@20.5@23@12:17pm@3:58pm@11.1@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 21:40:00,12.3,1025.9,,91,11.1,,9.7,,17.7,240,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.1@20.5@23@12:17pm@3:58pm@11.7@12.2@0@50@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
000NQ,2018-11-13 21:50:00,12.3,1026,,91,11.1,,8,,14.5,166,11.4,15.2,,,,,,0,0,0,0,0,,,,0@@0@@29.2@@@37@21.1@20.5@23@12:17pm@3:58pm@11.1@12.2@0@49@46@52@12:01am@1:21pm@1416@2048@+0100,wlkIPxml
