station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000NR,2018-11-18 14:20:00,8.1,1018.5,,59,0.6,,3.2,,11.3,2,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.3@21.6@23.5@1:38am@11:20am@8.3@7.8@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 14:30:00,8.1,1018.6,,59,0.6,,3.2,,8,56,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.3@21.6@23.5@1:38am@11:20am@7.8@7.8@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 14:40:00,7.9,1018.5,,60,0.6,,3.2,,8,57,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.3@21.6@23.5@1:38am@11:20am@7.2@7.2@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 14:50:00,7.6,1018.5,,61,0.6,,1.6,,4.8,119,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.3@21.6@23.5@1:38am@11:20am@7.8@7.2@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 15:00:00,7,1018.4,,63,0.6,,1.6,,4.8,121,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.3@21.6@23.5@1:38am@11:20am@7.2@6.7@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 15:10:00,6.6,1018.4,,63,0,,1.6,,8,59,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.4@21.6@23.5@1:38am@11:20am@6.7@6.1@0@40@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 15:20:00,6.1,1018.4,,64,-0.6,,1.6,,4.8,64,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.5@21.6@23.5@1:38am@11:20am@6.1@5.6@0@40@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 15:30:00,5.7,1018.4,,67,0,,1.6,,4.8,49,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.5@21.6@23.5@1:38am@11:20am@5@5.6@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 15:40:00,5.3,1018.3,,68,0,,1.6,,6.4,64,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.5@21.6@23.5@1:38am@11:20am@4.4@5@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 15:50:00,4.8,1018.3,,69,-0.6,,3.2,,9.7,60,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.5@21.6@23.5@1:38am@11:20am@5@4.4@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 16:00:00,4.4,1018.2,,71,-0.6,,1.6,,6.4,40,-0.5,8.1,0,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.5@21.6@23.5@1:38am@11:20am@4.4@3.9@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 16:10:00,4.2,1018.4,,70,-0.6,,3.2,,9.7,60,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.5@21.6@23.5@1:38am@11:20am@3.3@3.9@0@38@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 16:20:00,4.2,1018,,69,-1.1,,4.8,,11.3,41,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.4@21.6@23.5@1:38am@11:20am@3.9@3.9@0@38@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 16:30:00,4.1,1017.9,,69,-1.1,,3.2,,8,50,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.4@21.6@23.5@1:38am@11:20am@3.3@3.9@0@39@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
000NR,2018-11-18 16:40:00,3.9,1017.8,,69,-1.1,,3.2,,8,51,-0.5,8.1,,,,,,0,0,0,0,0,,,,0@@0@@643@@@22.5@23.4@21.6@23.5@1:38am@11:20am@2.8@3.3@0@40@37@40@11:33am@12:00am@1457@1950@+0100,wlkIPxml
