station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000OB,2021-01-01 00:00:00,4.4,1007.3,,96,3.9,,0,,0,279,4.4,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.4@21.4@21.9@12:53am@12:00am@4.4@4.4@0@47@47@48@12:00am@12:34am@2400@2453@+0100,wlkIPxml
000OB,2021-01-01 00:10:00,4.4,1007.1,,96,3.9,,0,,1.6,6,4.3,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.3@21.3@21.9@1:05am@12:00am@4.4@4.4@0@47@47@48@12:00am@12:34am@2400@1301@+0100,wlkIPxml
000OB,2021-01-01 00:20:00,4.6,1007,,97,3.9,,0,,1.6,333,4.3,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.8@21.3@21.9@1:05am@12:00am@4.4@4.4@0@47@47@48@12:00am@12:34am@2400@1301@+0100,wlkIPxml
000OB,2021-01-01 00:30:00,4.7,1007,,97,4.4,,0,,1.6,70,4.3,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.9@21.3@22@1:05am@1:27am@4.4@5@0@47@47@48@12:00am@12:34am@2400@1301@+0100,wlkIPxml
000OB,2021-01-01 00:40:00,4.6,1006.8,,96,3.9,,0,,0,70,4.3,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.8@21.3@22@1:05am@1:27am@4.4@4.4@0@47@47@48@12:00am@12:34am@2400@1301@+0100,wlkIPxml
000OB,2021-01-01 00:50:00,4.6,1006.8,,96,3.9,,0,,0,70,4.3,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.7@21.3@22@1:05am@1:27am@4.4@4.4@0@47@47@48@12:00am@12:34am@2400@1301@+0100,wlkIPxml
000OB,2021-01-01 01:00:00,4.6,1006.8,,97,3.9,,0,,0,70,4.3,4.8,0,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.6@21.3@22@1:05am@1:27am@4.4@4.4@0@47@47@48@12:00am@12:34am@2400@1301@+0100,wlkIPxml
000OB,2021-01-01 01:10:00,4.4,1006.8,,96,3.9,,0,,0,70,4.3,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.4@21.3@22@1:05am@1:27am@4.4@4.4@0@47@47@48@12:00am@12:34am@2400@1301@+0100,wlkIPxml
000OB,2021-01-01 01:20:00,4.1,1006.8,,96,3.3,,0,,0,70,4.1,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.3@21.3@22@1:05am@1:27am@3.9@4.4@0@47@47@48@12:00am@12:34am@2400@1418@+0100,wlkIPxml
000OB,2021-01-01 01:30:00,3.9,1006.7,,96,3.3,,0,,0,70,3.9,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.2@21.2@22@2:26am@1:27am@3.9@3.9@0@47@47@48@12:00am@12:34am@2400@1428@+0100,wlkIPxml
000OB,2021-01-01 01:40:00,3.9,1006.8,,97,3.3,,0,,1.6,70,3.8,4.8,,,,,,0.8,0,0,0,0,,,,0@@0@@0.8@@@1.6@21.3@21.2@22@2:33am@1:27am@3.9@3.9@0@47@47@48@12:00am@12:34am@2400@1431@+0100,wlkIPxml
