station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000ON,2023-01-01 00:00:00,13.9,1022.1,,72,9,,14.5,,,183,13.8,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.00@13.8@33.8,weatherlink
000ON,2023-01-01 00:30:00,13.7,1022.2,,72,8.7,,16.1,,,193,13.6,14.4,,,,,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.05@13.6@33.8,weatherlink
000ON,2023-01-01 01:00:00,13.8,1022.2,,71,8.7,,14.5,,,182,13.6,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.05@13.6@35.4,weatherlink
000ON,2023-01-01 01:30:00,13.9,1022.1,,70,8.5,,17.7,,,184,13.6,14.4,,,,,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.10@13.6@35.4,weatherlink
000ON,2023-01-01 02:00:00,13.8,1022.4,,69,8.2,,16.1,,,184,13.6,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.10@13.6@40.2,weatherlink
000ON,2023-01-01 02:30:00,13.6,1022.5,,70,8.2,,14.5,,,192,13.6,14.4,,,,,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.18@13.6@40.2,weatherlink
000ON,2023-01-01 03:00:00,13.7,1022.6,0.5,71,8.5,,12.9,,,155,13.6,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.18@13.6@40.2,weatherlink
000ON,2023-01-01 03:30:00,14.1,1022.5,0.4,68,8.2,,12.9,,,205,13.6,14.4,,,,,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.23@13.6@40.2,weatherlink
000ON,2023-01-01 04:00:00,14,1022.5,0.3,67,8,,16.1,,,179,13.6,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.23@13.6@40.2,weatherlink
000ON,2023-01-01 04:30:00,13.7,1022.6,0.4,68,7.9,,16.1,,,188,13.6,14.4,,,,,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.28@13.6@40.2,weatherlink
000ON,2023-01-01 05:00:00,13.7,1022.7,0.3,69,8.1,,16.1,,,152,13.6,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.28@13.6@40.2,weatherlink
000ON,2023-01-01 05:30:00,13.6,1022.8,0.4,69,8,,12.9,,,150,13.6,14.4,,,,,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.36@13.6@40.2,weatherlink
000ON,2023-01-01 06:00:00,13.3,1022.8,0.2,70,8,,12.9,,,174,13.2,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.36@13.2@40.2,weatherlink
000ON,2023-01-01 06:30:00,13.7,1022.9,0.3,70,8.3,,12.9,,,184,13.2,14.4,,,,,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.41@13.2@40.2,weatherlink
000ON,2023-01-01 07:00:00,13.6,1023.1,0.6,70,8.2,,14.5,,,248,13.2,14.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.4@180.4@0.41@13.2@40.2,weatherlink
000ON,2023-01-01 07:30:00,13.2,1023.2,0.7,71,8,,14.5,,,186,13.1,14.4,,,,,,0,0,0,7,0,,,,0@0.0@7@14.4@180.4@0.46@13.1@40.2,weatherlink
000ON,2023-01-01 08:00:00,13.1,1023.1,0.4,71,7.9,,12.9,,,182,13.1,14.4,0,0,0,0,,0,0,0,30,0,,,,0@0.0@30@14.4@180.4@0.46@13.1@40.2,weatherlink
000ON,2023-01-01 08:30:00,13.3,1022.9,0.2,72,8.3,,14.5,,,211,13,14.4,,,,,,0,0,0,58,0,,,,0@0.0@58@14.4@180.4@0.51@13.0@40.2,weatherlink
000ON,2023-01-01 09:00:00,13.6,1023.1,0.3,72,8.6,,16.1,,,216,13,14.4,0,0,0,0,,0,0,0,111,0,,,,0@0.0@111@14.4@180.4@0.51@13.0@40.2,weatherlink
000ON,2023-01-01 09:30:00,14.1,1022.8,,71,8.9,,14.5,,,163,13,14.4,,,,,,0,0,0,174,0,,,,0@0.0@195@14.4@180.4@0.58@13.0@40.2,weatherlink
000ON,2023-01-01 10:00:00,14.6,1022.8,-0.3,69,9,,17.7,,,171,13,14.8,0,0,0,0,,0,0,0,146,0,,,,0@0.0@253@14.8@180.4@0.58@13.0@40.2,weatherlink
000ON,2023-01-01 10:30:00,15.4,1022.5,-0.6,68,9.5,,16.1,,,163,13,15.4,,,,,,0,0,0,285,0.5,,,,0.5@0.5@311@15.4@180.4@0.71@13.0@40.2,weatherlink
000ON,2023-01-01 11:00:00,15.7,1022,-1.1,68,9.8,,16.1,,,158,13,15.7,0,0,0,0,,0,0,0,323,0.6,,,,0.6@0.6@330@15.7@180.4@0.71@13.0@40.2,weatherlink
000ON,2023-01-01 11:30:00,16.4,1021.4,-1.7,66,10,,19.3,,,218,13,16.4,,,,,,0,0,0,332,0.7,,,,0.7@0.7@339@16.4@180.4@0.91@13.0@40.2,weatherlink
000ON,2023-01-01 12:00:00,17,1021.1,-2,63,9.9,,16.1,,,136,13,17.1,0,0,0,0,,0,0,0,327,0.7,,,,0.7@0.7@339@17.1@180.4@0.91@13.0@43.5,weatherlink
000ON,2023-01-01 12:30:00,17.2,1020.7,-2.4,61,9.6,,19.3,,,214,13,17.3,,,,,,0,0,0,316,0.6,,,,0.6@0.7@339@17.3@180.4@1.17@13.0@43.5,weatherlink
000ON,2023-01-01 13:00:00,17.2,1020.8,-2,60,9.3,,17.7,,,176,13,17.3,0,0,0,0,,0,0,0,290,0.5,,,,0.5@0.7@339@17.3@180.4@1.17@13.0@53.1,weatherlink
000ON,2023-01-01 13:30:00,17.1,1020.7,-2.1,60,9.3,,16.1,,,164,13,17.3,,,,,,0,0,0,265,0,,,,0@0.7@339@17.3@180.4@1.42@13.0@53.1,weatherlink
000ON,2023-01-01 14:00:00,17.2,1020.3,-1.7,60,9.4,,16.1,,,208,13,17.3,0,0,0,0,,0,0,0,283,0,,,,0@0.7@339@17.3@180.4@1.42@13.0@53.1,weatherlink
000ON,2023-01-01 14:30:00,16.8,1020.2,-1.8,60,9,,20.9,,,224,13,17.3,,,,,,0,0,0,174,0,,,,0@0.7@339@17.3@180.4@1.63@13.0@53.1,weatherlink
000ON,2023-01-01 15:00:00,16.4,1020.5,-0.6,61,8.8,,19.3,,,207,13,17.3,0,0,0,0,,0,0,0,49,0,,,,0@0.7@339@17.3@180.4@1.63@13.0@53.1,weatherlink
000ON,2023-01-01 15:30:00,15.9,1020.6,-0.5,63,8.9,,19.3,,,172,13,17.3,,,,,,0,0,0,14,0,,,,0@0.7@339@17.3@180.4@1.80@13.0@53.1,weatherlink
000ON,2023-01-01 16:00:00,15.6,1020.6,-0.2,63,8.5,,17.7,,,188,13,17.3,0,0,0,0,,0,0,0,0,0,,,,0@0.7@339@17.3@180.4@1.80@13.0@53.1,weatherlink
000ON,2023-01-01 16:30:00,15.4,1020.5,-0.3,63,8.4,,16.1,,,162,13,17.3,,,,,,0,0,0,0,0,,,,0@0.7@339@17.3@180.4@1.90@13.0@53.1,weatherlink
000ON,2023-01-01 17:00:00,15.4,1020.5,0.2,62,8.2,,19.3,,,205,13,17.3,0,0,0,0,,0,0,0,0,0,,,,0@0.7@339@17.3@180.4@1.90@13.0@53.1,weatherlink
000ON,2023-01-01 17:30:00,15.2,1020.5,0.2,63,8.2,,20.9,,,159,13,17.3,,,,,,0,0,0,0,0,,,,0@0.7@339@17.3@180.4@1.98@13.0@53.1,weatherlink
000ON,2023-01-01 18:00:00,15,1020.3,-0.2,64,8.2,,19.3,,,175,13,17.3,0,0,0,0,,0,0,0,0,0,,,,0@0.7@339@17.3@180.4@1.98@13.0@53.1,weatherlink
000ON,2023-01-01 18:30:00,14.7,1020.5,,66,8.4,,14.5,,,153,13,17.3,,,,,,0,0,0,0,0,,,,0@0.7@339@17.3@180.4@2.08@13.0@53.1,weatherlink
