station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000OT,2019-04-26 12:50:00,11.9,1016.2,,75,7.7,,14.5,,35.4,240,6.3,12.8,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 13:00:00,10.8,1016.3,,79,7.3,,16.6,,35.4,255,6.3,12.8,0,0,0,0,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 13:10:00,11.2,1016.4,,78,7.5,,12.3,,27.4,255,6.3,12.8,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 13:20:00,11.8,1016.4,,77,7.9,,13.4,,24.1,248,6.3,12.8,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 13:30:00,12.3,1016.4,,73,7.6,,13.9,,24.1,248,6.3,12.8,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 13:40:00,12.6,1016.4,,71,7.5,,16.1,,29,240,6.3,12.8,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 13:50:00,13.1,1016.5,,68,7.3,,15.6,,38.6,263,6.3,13.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 14:00:00,12.6,1016.6,,67,6.6,,17.2,,38.6,255,6.3,13.1,0,0,0,0,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 14:10:00,12.4,1016.7,,61,5.1,,18.2,,30.6,233,6.3,13.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 14:20:00,13.3,1016.6,,56,4.7,,18.8,,35.4,225,6.3,13.3,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 14:30:00,13.4,1016.7,,57,5,,19.8,,37,225,6.3,13.4,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 14:40:00,13.1,1016.7,,57,4.7,,17.2,,30.6,225,6.3,13.4,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 14:50:00,13.3,1016.8,,54,4.2,,18.2,,32.2,233,6.3,13.4,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 15:00:00,14.1,1016.7,0.5,55,5.2,,18.8,,33.8,248,6.3,14.1,0,0,0,0,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 15:10:00,13.1,1016.8,0.6,54,4,,17.2,,33.8,240,6.3,14.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 15:20:00,12.7,1016.9,0.7,57,4.4,,16.6,,33.8,225,6.3,14.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 15:30:00,12.1,1017,0.8,57,3.8,,17.7,,37,225,6.3,14.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 15:40:00,12.3,1016.9,0.7,58,4.3,,18.8,,33.8,233,6.3,14.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 15:50:00,11.7,1017,0.8,57,3.4,,17.2,,30.6,233,6.3,14.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 16:00:00,11.6,1016.9,0.6,60,4.1,,15,,30.6,225,6.3,14.1,0,0,0,0,,1,,,,,,,,@@@@262.2@@@,weatherlink
000OT,2019-04-26 16:10:00,11.9,1017,0.7,61,4.7,,13.9,,29,225,6.3,14.1,,,,,,1,,,,,,,,@@@@262.2@@@,weatherlink
