station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000OW,2023-01-01 00:00:00,10.1,1028.9,,92,8.9,,7.5973,15.9358,15.9358,45,9.9,10.3,0,0,0,0,,0,0,0,,,,,,@@@10.3@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 00:30:00,10.3,1028.9,,92,9.1,,1.4824,15.9358,3.3354,292,9.9,10.3,,,,,,0,0,0,,,,,,@@@10.3@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 01:00:00,11,1028.6,,92,9.7,,3.1501,8.7091,6.4855,45,9.9,11,0,0,0,0,,0,0,0,,,,,,@@@11.0@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 01:30:00,11.2,1029.2,,90,9.6,,4.8178,9.6356,7.7826,292,9.9,11.9,,,,,,0,0,0,,,,,,@@@11.9@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 02:00:00,11.7,1029.3,,91,10.2,,2.7795,9.6356,6.8561,315,9.9,11.9,0,0,0,0,,0,0,0,,,,,,@@@11.9@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 02:30:00,11.9,1029.4,,89,10.1,,2.0383,7.7826,4.6325,270,9.9,12.2,,,,,,0,0,0,,,,,,@@@12.2@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 03:00:00,12,1029.3,0.4,89,10.2,,2.0383,5.9296,3.5207,315,9.9,12.2,0,0,0,0,,0,0,0,,,,,,@@@12.2@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 03:30:00,12.5,1029.1,0.2,88,10.6,,3.1501,9.265,5.559,45,9.9,12.5,,,,,,0,0,0,,,,,,@@@12.5@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 04:00:00,12.4,1029,0.4,88,10.5,,4.6325,9.265,6.8561,67,9.9,12.6,0,0,0,0,,0,0,0,,,,,,@@@12.6@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 04:30:00,12.3,1028.9,0.3,88,10.4,,2.7795,6.8561,5.0031,67,9.9,12.6,,,,,,0,0,0,,,,,,@@@12.6@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 05:00:00,12.1,1028.8,-0.5,88,10.2,,4.8178,8.1532,8.1532,45,9.9,12.6,0,0,0,0,,0,0,0,,,,,,@@@12.6@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 05:30:00,12.4,1028.9,-0.4,88,10.5,,2.5942,9.6356,5.9296,90,9.9,12.6,,,,,,0,0,0,,,,,,@@@12.6@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 06:00:00,12.8,1029,-0.3,86,10.5,,2.4089,9.6356,5.9296,135,9.9,12.8,0,0,0,0,,0,0,0,,,,,,@@@12.8@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 06:30:00,12.3,1029.1,-0.2,87,10.2,,1.853,6.4855,5.559,45,9.9,12.8,,,,,,0,0,0,,,,,,@@@12.8@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 07:00:00,12.7,1029.3,0.3,87,10.6,,4.4472,10.7474,9.0797,67,9.9,12.8,0,0,0,0,,0,0,0,,,,,,@@@12.8@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 07:30:00,12.9,1029.3,0.3,85,10.4,,2.9648,10.7474,5.7443,45,9.9,12.9,,,,,,0,0,0,,,,,,@@@12.9@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 08:00:00,12.8,1029.7,0.9,85,10.4,,4.2619,10.1915,8.1532,67,9.9,12.9,0,0,0,0,,0,0,0,,,,,,@@@12.9@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 08:30:00,13.2,1029.7,0.9,86,10.9,,5.7443,14.2681,14.2681,90,9.9,13.2,,,,,,0,0,0,,,,,,@@@13.2@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 09:00:00,13.7,1029.7,0.7,84,11.1,,6.1149,14.824,14.824,135,9.9,13.7,0,0,0,0,,0,0,0,,,,,,@@@13.7@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 09:30:00,13.8,1029.7,0.7,84,11.1,,5.559,14.824,13.8975,135,9.9,13.8,,,,,,0,0,0,,,,,,@@@13.8@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 10:00:00,13.8,1029.5,0.2,85,11.3,,3.8913,13.8975,11.4886,90,9.9,13.8,0,0,0,0,,0,0,0,,,,,,@@@13.8@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 10:30:00,14.2,1029.3,,84,11.5,,2.9648,12.4151,8.3385,112,9.9,14.2,,,,,,0,0,0,,,,,,@@@14.2@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 11:00:00,14.4,1029.2,-0.5,83,11.5,,3.5207,12.4151,12.2298,135,9.9,14.4,0,0,0,0,,0,0,0,,,,,,@@@14.4@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 11:30:00,14.7,1028.8,-0.9,84,12,,3.3354,12.2298,9.8209,157,9.9,14.7,,,,,,0,0,0,,,,,,@@@14.7@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 12:00:00,15.1,1028.2,-1.5,83,12.2,,6.8561,15.0093,15.0093,135,9.9,15.1,0,0,0,0,,0,0,0,,,,,,@@@15.1@0.0@@9.9@16.1,weatherlink
000OW,2023-01-01 12:30:00,15.4,1027.9,-1.8,83,12.6,,9.4503,29.4627,29.4627,135,9.9,15.5,,,,,,0,0,0,,,,,,@@@15.5@0.0@@9.9@25.7,weatherlink
000OW,2023-01-01 13:00:00,16.2,1027.7,-1.8,79,12.6,,10.3768,31.501,26.8685,180,9.9,16.2,0,0,0,0,,0,0,0,,,,,,@@@16.2@0.0@@9.9@27.4,weatherlink
000OW,2023-01-01 13:30:00,16.3,1027.6,-1.9,78,12.4,,15.7505,33.5393,33.5393,135,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@29.0,weatherlink
000OW,2023-01-01 14:00:00,15.9,1027.4,-1.8,79,12.3,,13.5269,37.2453,26.3126,135,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 14:30:00,15.7,1027.6,-1.6,80,12.2,,8.7091,37.2453,18.53,135,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 15:00:00,15.6,1027.4,-0.8,79,12,,8.8944,30.3892,22.9772,135,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 15:30:00,15.3,1027.7,-0.5,80,11.8,,6.1149,25.2008,13.3416,135,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 16:00:00,14.9,1027.7,,80,11.5,,2.9648,25.2008,7.412,157,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 16:30:00,14.4,1027.6,-0.1,82,11.4,,1.4824,11.3033,3.1501,315,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 17:00:00,14.1,1027.8,0.4,84,11.4,,1.853,5.3737,5.1884,315,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 17:30:00,13.8,1027.8,0.4,85,11.3,,0.9265,5.3737,3.5207,270,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 18:00:00,13.2,1027.9,0.5,86,10.9,,0.9265,5.0031,3.706,180,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 18:30:00,12.7,1028,0.6,87,10.6,,2.0383,7.5973,7.5973,112,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 19:00:00,12.5,1028.1,0.4,89,10.7,,2.0383,7.5973,3.5207,0,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 19:30:00,12.2,1028,0.3,89,10.5,,1.1118,4.8178,2.9648,315,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 20:00:00,12.6,1028.2,0.4,90,11,,2.4089,5.9296,5.1884,337,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 20:30:00,12.7,1028.3,0.5,88,10.8,,1.2971,6.1149,2.9648,270,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 21:00:00,12.6,1028.3,0.4,88,10.6,,1.1118,6.1149,3.3354,337,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 21:30:00,11.6,1028.1,0.2,88,9.7,,3.706,5.7443,5.7443,45,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 22:00:00,10.2,1028,-0.1,90,8.7,,4.2619,9.4503,7.9679,45,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 22:30:00,10.2,1028.2,0.1,91,8.8,,3.1501,9.4503,7.2267,22,9.9,16.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 23:00:00,10.2,1028.1,-0.1,92,8.9,,3.5207,9.6356,6.1149,45,9.9,16.7,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@35.4,weatherlink
000OW,2023-01-01 23:30:00,10.4,1027.9,-0.3,92,9.1,,1.6677,4.8178,4.8178,292,10.2,10.4,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 00:00:00,10.9,1027.6,,92,9.7,,1.853,5.3737,4.6325,0,10.2,10.9,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 00:30:00,11.7,1027.3,,89,10,,2.5942,6.3002,4.6325,337,10.2,11.7,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 01:00:00,11.7,1027.1,,87,9.6,,1.853,6.3002,4.6325,90,10.2,12,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 01:30:00,11.2,1026.9,,87,9.1,,1.6677,5.0031,2.9648,67,10.2,12,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 02:00:00,10.8,1026.8,,89,9.1,,2.2236,5.0031,4.0766,45,10.2,12,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 02:30:00,11.3,1027,,87,9.2,,2.4089,4.8178,4.4472,0,10.2,12,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 03:00:00,10.1,1026.9,-0.7,89,8.3,,1.853,5.3737,3.5207,337,9.9,12,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.9@4.8,weatherlink
000OW,2023-01-02 03:30:00,9.9,1026.7,-0.9,90,8.4,,2.4089,7.0414,5.9296,112,9.8,12,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.8@6.4,weatherlink
000OW,2023-01-02 04:00:00,10.2,1026.5,-0.6,90,8.6,,1.6677,7.0414,4.6325,157,9.8,12,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.8@6.4,weatherlink
000OW,2023-01-02 04:30:00,10.1,1026.4,-0.7,90,8.5,,2.7795,6.6708,4.8178,45,9.8,12,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.8@6.4,weatherlink
000OW,2023-01-02 05:00:00,9.2,1026.6,-0.2,90,7.6,,2.5942,6.1149,4.0766,45,9.2,12,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.2@6.4,weatherlink
000OW,2023-01-02 05:30:00,9.4,1026.8,,92,8.2,,1.1118,4.0766,2.4089,337,9.2,12,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.2@6.4,weatherlink
000OW,2023-01-02 06:00:00,9.6,1026.6,-0.3,91,8.2,,6.3002,10.7474,10.7474,45,9.2,12,0,0,0,0,,0,0,0,,,,,,@@@16.7@0.0@@9.2@8.0,weatherlink
000OW,2023-01-02 06:30:00,10,1026.8,-0.1,89,8.3,,2.5942,10.7474,8.8944,45,9.2,12,,,,,,0,0,0,,,,,,@@@16.7@0.0@@9.2@11.3,weatherlink
