station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000OX,2019-05-21 17:30:00,18.2,1016.7,,58,9.8,,14.5,,24.1,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 17:40:00,18.2,1016.8,,57,9.6,,16.6,,29,345,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 17:50:00,18.2,1017,,59,10,,16.6,,29,,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 18:00:00,18.2,1017,,58,9.8,,13.4,,27.4,8,11.6,19.3,0,0,0,0,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 18:10:00,17.9,1017.1,,59,9.8,,13.9,,27.4,352,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 18:20:00,17.7,1017.2,,60,9.9,,13.4,,24.1,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 18:30:00,17.5,1017.3,,60,9.6,,9.7,,19.3,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 18:40:00,17.2,1017.3,,62,9.8,,10.7,,20.9,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 18:50:00,16.9,1017.4,,61,9.4,,10.2,,17.7,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 19:00:00,16.6,1017.4,,63,9.5,,8.6,,16.1,330,11.6,19.3,0,0,0,0,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 19:10:00,16.2,1017.4,,64,9.4,,7,,16.1,330,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 19:20:00,15.9,1017.5,,65,9.4,,6.4,,14.5,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 19:30:00,15.7,1017.6,,65,9.2,,6.4,,16.1,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 19:40:00,15.6,1017.6,,66,9.2,,6.4,,12.9,330,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 19:50:00,15.4,1017.9,,67,9.3,,6.4,,12.9,315,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 20:00:00,15.2,1018,1.3,67,9.1,,4.8,,12.9,315,11.6,19.3,0,0,0,0,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 20:10:00,14.9,1018.2,1.5,69,9.3,,4.3,,8,323,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 20:20:00,14.4,1018.2,1.5,71,9.2,,3.2,,6.4,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 20:30:00,13.9,1018.4,1.7,73,9.2,,3.2,,6.4,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 20:40:00,13.7,1018.5,1.8,75,9.3,,1.6,,6.4,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 20:50:00,13.3,1018.5,1.8,75,8.9,,,,,,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 21:00:00,12.9,1018.5,1.5,77,9,,,,,,11.6,19.3,0,0,0,0,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 21:10:00,12.7,1018.5,1.5,78,8.9,,2.7,,6.4,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 21:20:00,12.1,1018.7,1.7,80,8.8,,4.8,,8,330,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 21:30:00,12.2,1018.8,1.8,80,8.8,,4.8,,8,330,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 21:40:00,12.2,1018.7,1.7,79,8.7,,5.4,,9.7,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 21:50:00,11.8,1018.7,1.7,81,8.6,,6.7,,9.7,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 22:00:00,11.8,1018.6,1.2,80,8.4,,7,,12.9,336,11.6,19.3,0,0,0,0,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 22:10:00,11.8,1018.7,1.3,80,8.4,,6.4,,9.7,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 22:20:00,11.8,1018.7,1.3,81,8.6,,6.7,,12.9,338,11.6,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 22:30:00,11.5,1018.8,1.4,81,8.4,,4.7,,8,338,11.5,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 22:40:00,11.3,1018.8,1.4,82,8.4,,2.2,,6.4,338,11.3,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 22:50:00,11.2,1018.9,1.5,83,8.4,,0,,,,11.2,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 23:00:00,10.8,1018.9,0.9,84,8.2,,1,,8,101,10.8,19.3,0,0,0,0,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 23:10:00,10.8,1018.9,0.9,84,8.2,,0.7,,4.8,124,10.8,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 23:20:00,11,1018.9,0.9,83,8.2,,0.1,,3.2,45,10.8,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 23:30:00,10.8,1018.9,0.9,83,8.1,,0,,,,10.8,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 23:40:00,10.5,1019,1,84,7.9,,0,,,,10.5,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-21 23:50:00,10.1,1019,1,85,7.6,,0,,,,10.1,19.3,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-22 00:00:00,9.6,1019,,87,7.6,,0,,,,9.6,9.6,0,0,0,0,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-22 00:10:00,9.2,1019,,88,7.3,,0,,,,9.2,9.6,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
000OX,2019-05-22 00:20:00,8.9,1019,,89,7.2,,0,,,,8.9,9.6,,,,,,,,,,,,,,@@@@85.4@@@,weatherlink
