station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PG,2025-01-01 00:00:00,2.4,1032.5,,81,,,0,0,,,,,0,0,0,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 00:30:00,2.3,1032.5,,79,,,0,,,,,,,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 01:00:00,2.4,1032.5,,79,,,0,0,,,,,0,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 01:30:00,2.1,1032.5,,81,,,0,,,,,,,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 02:00:00,1.2,1032.6,,80,,,1.6,12.9,,180,,,0,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 02:30:00,1.8,1032.6,,83,,,6.4,,,158,,,,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 03:00:00,1.5,1032.4,,86,,,4.8,16.1,,180,,,0,0,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 03:30:00,1.3,1032.6,,88,,,4.8,,,180,,,,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 04:00:00,1.1,1032.4,,89,,,0,14.5,,,,,0,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 04:30:00,0.9,1032.4,,89,,,0,,,,,,,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 05:00:00,0.9,1032.3,,90,,,0,0,,,,,0,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 05:30:00,0.3,1032.1,,89,,,0,,,,,,,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 06:00:00,-0.1,1032.1,,90,,,3.2,6.4,,158,-0.1,4.4,0,0,0,0,0,,0,,0,,,,,,wlk2webdlRR
000PG,2025-01-01 06:30:00,-0.2,1032,,90,,,3.2,,,158,,,,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 07:00:00,-0.5,1032,,90,,,0,8,,158,,,0,,,,,,0,,0,,,,,,wlk2webdl
000PG,2025-01-01 07:30:00,-0.3,1032,,91,,,1.6,,,158,,,,,,,,,0,,2,,,,,,wlk2webdl
000PG,2025-01-01 08:00:00,-0.2,1032,,90,,,3.2,6.4,,158,,,0,,,,,,0,,11,,,,,,wlk2webdl
000PG,2025-01-01 08:30:00,0.3,1032.2,,89,,,3.2,,,158,,,,,,,,,0,,17,,,,,,wlk2webdl
000PG,2025-01-01 09:00:00,1,1032.5,,86,,,1.6,6.4,,158,,,0,0,,,,,0,,22,,,,,,wlk2webdl
000PG,2025-01-01 09:10:00,1.3,1032.6,,83,-1.1,,0,,4.8,150,-0.5,2.8,,,,,,0,0,0,21,,,,,@@44@@0@@@16.1@5.8@3.1@6.1@7:17am@12:00am@1.1@1.1@0@52@51@68@1:03am@4:30am@2402@1955@+0100,wlkIPxml
000PG,2025-01-01 09:20:00,1.5,1032.5,,81,-1.7,,0,,4.8,150,-0.5,2.8,,,,,,0,0,0,28,,,,,@@44@@0@@@16.1@6@3.1@6.1@7:17am@12:00am@1.7@1.7@0@52@51@68@1:03am@4:30am@2402@1955@+0100,wlkIPxml
000PG,2025-01-01 09:30:00,1.6,1032.6,,81,-1.1,,0,,0,150,-0.5,2.8,,,,,,0,0,0,23,,,,,@@44@@0@@@16.1@6.3@3.1@6.3@7:17am@10:34am@1.7@1.7@0@51@51@68@1:03am@4:30am@2402@1955@+0100,wlkIPxml
000PG,2025-01-01 09:40:00,1.7,1032.6,,80,-1.7,,0,,0,150,-0.5,2.8,,,,,,0,0,0,25,,,,,@@44@@0@@@16.1@6.9@3.1@6.9@7:17am@10:44am@1.7@1.7@0@51@50@68@10:39am@4:30am@2402@1955@+0100,wlkIPxml
000PG,2025-01-01 09:50:00,1.8,1032.6,,79,-1.7,,0,,4.8,149,-0.5,2.8,,,,,,0,0,0,25,,,,,@@44@@0@@@16.1@7.6@3.1@7.6@7:17am@10:54am@1.7@1.7@0@49@49@68@10:53am@4:30am@2402@1955@+0100,wlkIPxml
