station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PK,2020-04-10 10:50:00,22.8,1025.3,,22,-0,,5.9,,19.3,262,4.1,22.9,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 11:00:00,22.8,1025.2,,22,-0,,6.3,,16.1,253,4.1,22.9,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 11:10:00,22.6,1025.2,,20,-1.5,,7.8,,19.3,241,4.1,22.9,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 11:20:00,22.7,1025.1,,20,-1.4,,6.4,,16.1,258,4.1,22.9,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 11:30:00,22.7,1024.9,,18,-2.8,,7.2,,17.7,251,4.1,22.9,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 11:40:00,22.7,1024.8,,21,-0.7,,7,,17.7,250,4.1,22.9,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 11:50:00,22.8,1024.7,,19,-2,,6.6,,12.9,264,4.1,22.9,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 12:00:00,22.7,1024.7,,18,-2.8,,8.2,,19.3,241,4.1,22.9,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 12:10:00,22.9,1024.6,,18,-2.7,,7.5,,19.3,244,4.1,22.9,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 12:20:00,23,1024.7,,18,-2.6,,6.6,,19.3,266,4.1,23,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 12:30:00,22.9,1024.6,,21,-0.6,,6.4,,17.7,264,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 12:40:00,22.8,1024.7,,18,-2.8,,7.3,,17.7,244,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 12:50:00,22.7,1024.7,,20,-1.4,,7.5,,17.7,248,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 13:00:00,22.7,1024.6,-0.7,20,-1.4,,7.6,,20.9,243,4.1,23.1,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 13:10:00,22.6,1024.5,-0.8,20,-1.5,,7.9,,16.1,239,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 13:20:00,22.7,1024.3,-1,20,-1.4,,6.9,,16.1,236,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 13:30:00,22.5,1024.4,-0.9,18,-3,,8.5,,22.5,236,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 13:40:00,22.6,1024.1,-1.2,20,-1.5,,7.5,,20.9,221,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 13:50:00,22.6,1024.2,-1.1,21,-0.9,,7.9,,16.1,254,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 14:00:00,22.3,1024,-1.2,20,-1.7,,7.5,,14.5,248,4.1,23.1,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 14:10:00,22.3,1024.2,-1,21,-1.1,,7.3,,12.9,262,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 14:20:00,22.3,1024,-1.2,19,-2.4,,7,,14.5,261,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 14:30:00,22.3,1023.7,-1.5,20,-1.8,,7.2,,12.9,258,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 14:40:00,22.3,1023.8,-1.4,19,-2.5,,5.7,,14.5,264,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 14:50:00,22.2,1023.6,-1.6,19,-2.5,,7.5,,16.1,266,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 15:00:00,22.3,1023.6,-1.1,19,-2.5,,6.1,,14.5,256,4.1,23.1,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 15:10:00,22,1023.6,-1.1,20,-2,,6.4,,14.5,254,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 15:20:00,21.7,1023.6,-1.1,21,-1.6,,7.6,,16.1,239,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 15:30:00,21.6,1023.6,-1.1,21,-1.7,,7.2,,14.5,229,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 15:40:00,21.4,1023.7,-1,22,-1.2,,6.6,,14.5,228,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 15:50:00,21.3,1023.7,-1,20,-2.6,,6.9,,16.1,244,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 16:00:00,21.2,1023.6,-1,22,-1.3,,6.4,,14.5,239,4.1,23.1,0,0,0,0,,0,0,0,,,,,,@@@@0@@@,weatherlink
000PK,2020-04-10 16:10:00,21.1,1023.9,-0.7,23,-0.9,,5.4,,11.3,250,4.1,23.1,,,,,,0,0,0,,,,,,@@@@0@@@,weatherlink
