station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PL,2023-01-01 00:00:00,9.8,1024.5,,90,8.2,,0,,,,8.9,9.8,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@9.8@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 00:30:00,9.7,1024.3,,90,8.2,,0,,,,8.9,9.8,,,,,,0,0,0,0,0,,,,0@0.0@0@9.8@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 01:00:00,10.5,1024.4,,87,8.4,,0,,,,8.9,10.5,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@10.5@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 01:30:00,10,1024.2,,88,8.1,,0,,,,8.9,10.6,,,,,,0,0,0,0,0,,,,0@0.0@0@10.6@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 02:00:00,12.4,1024.8,,79,8.9,,0,,,,8.9,12.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 02:30:00,9.9,1025.1,,86,7.7,,0,,,,8.9,12.6,,,,,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 03:00:00,9.4,1025.1,0.6,89,7.7,,0,,,,8.9,12.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 03:30:00,9.1,1025.4,0.9,89,7.4,,0,,,,8.9,12.6,,,,,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@8.9@0.0,weatherlink
000PL,2023-01-01 04:00:00,8.7,1025.2,0.8,91,7.3,,0,,,,8.7,12.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@8.7@0.0,weatherlink
000PL,2023-01-01 04:30:00,9,1025.7,1.3,91,7.6,,0,,,,8.7,12.6,,,,,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@8.7@0.0,weatherlink
000PL,2023-01-01 05:00:00,8.3,1025.8,1,92,7.1,,0,,,,8.2,12.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@8.2@0.0,weatherlink
000PL,2023-01-01 05:30:00,7.9,1025.8,1,92,6.7,,0,,,,7.9,12.6,,,,,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@7.9@0.0,weatherlink
000PL,2023-01-01 06:00:00,8.5,1026,0.9,90,7,,0,,,,7.8,12.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@7.8@0.0,weatherlink
000PL,2023-01-01 06:30:00,7.5,1025.7,0.6,92,6.3,,0,,,,7.5,12.6,,,,,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@7.5@0.0,weatherlink
000PL,2023-01-01 07:00:00,7.4,1025.7,0.5,93,6.3,,0,,,,7.3,12.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 07:30:00,10.7,1025.8,0.6,79,7.2,,0,,,,7.3,12.6,,,,,,0,0,0,9,0,,,,0@0.0@9@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 08:00:00,9.9,1026.2,0.4,87,7.9,,0,,,,7.3,12.6,0,0,0,0,,0,0,0,35,0,,,,0@0.0@35@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 08:30:00,9.8,1026.1,0.3,84,7.3,,0,,,,7.3,12.6,,,,,,0,0,0,39,0,,,,0@0.0@39@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 09:00:00,9.3,1026.2,0.2,87,7.2,,0,,,,7.3,12.6,0,0,0,0,,0,0,0,74,0,,,,0@0.0@74@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 09:30:00,9.5,1026.2,0.2,88,7.6,,0,,,,7.3,12.6,,,,,,0,0,0,91,0,,,,0@0.0@91@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 10:00:00,10.1,1026.2,0.5,88,8.2,,0,,,,7.3,12.6,0,0,0,0,,0,0,0,169,0.5,,,,0.5@0.5@188@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 10:30:00,11.3,1025.6,-0.1,83,8.5,,0,,,,7.3,12.6,,,,,,0,0,0,77,0.5,,,,0.5@0.6@278@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 11:00:00,10.5,1025.1,-1.1,86,8.3,,0,,,,7.3,12.6,0,0,0,0,,0,0,0,67,0.6,,,,0.6@0.6@278@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 11:30:00,10.6,1024.7,-1.5,85,8.2,,0,,,,7.3,12.6,,,,,,0,0,0,47,0,,,,0@0.6@278@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 12:00:00,10.6,1024.1,-2.1,86,8.3,,0,,,,7.3,12.6,0,0,0,0,,0,0,0,44,0,,,,0@0.6@278@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 12:30:00,10.8,1023.8,-2.4,84,8.2,,0,,,,7.3,12.6,,,,,,0,0,0,47,0,,,,0@0.6@278@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 13:00:00,10.7,1023.5,-2.7,85,8.3,,0,,,,7.3,12.6,0,0,0,0,,0,0,0,33,0,,,,0@0.6@278@12.6@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 13:30:00,12.8,1023.5,-2.7,74,8.3,,0,,,,7.3,12.8,,,,,,0,0,0,32,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 14:00:00,11.2,1023.5,-1.6,82,8.3,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,30,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 14:30:00,10.7,1023.4,-1.7,84,8.1,,0,,,,7.3,12.8,,,,,,0,0,0,30,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 15:00:00,10.1,1024,-0.1,86,7.8,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,18,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 15:30:00,9.9,1024.1,,86,7.7,,0,,,,7.3,12.8,,,,,,0,0,0,11,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 16:00:00,9.2,1024.3,0.8,87,7.1,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 16:30:00,9.2,1024.4,0.9,87,7.2,,0,,,,7.3,12.8,,,,,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 17:00:00,8.3,1024,0.5,90,6.8,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 17:30:00,8.4,1023.8,0.3,89,6.7,,0,,,,7.3,12.8,,,,,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 18:00:00,8.8,1023.8,-0.2,88,6.9,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 18:30:00,8.3,1024.3,0.3,88,6.4,,0,,,,7.3,12.8,,,,,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 19:00:00,8.4,1023.9,-0.4,88,6.5,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 19:30:00,7.7,1023.9,-0.4,89,6,,0,,,,7.3,12.8,,,,,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 20:00:00,9.1,1024,,87,7.1,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 20:30:00,9.1,1023.7,-0.3,84,6.5,,0,,,,7.3,12.8,,,,,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 21:00:00,8.3,1023.3,-0.5,87,6.2,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 21:30:00,8.9,1023.4,-0.4,85,6.5,,0,,,,7.3,12.8,,,,,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 22:00:00,9.7,1023.6,-0.3,83,7,,0,,,,7.3,12.8,0,0,0,0,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 22:30:00,11.1,1023.6,-0.3,79,7.6,,0,,,,7.3,12.8,,,,,,0,0,0,0,0,,,,0@0.6@278@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 23:00:00,10.4,1023.5,-0.5,82,7.5,,0,,,,,,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-01 23:30:00,9.8,1023.2,-0.8,83,7,,0,,,,9.8,10.6,,,,,,0,0,0,0,0,,,,0@0.0@0@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 00:00:00,9.6,1023.3,,85,7.2,,0,,,,9.6,10.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 00:30:00,10.9,1022.8,,81,7.8,,0,,,,9.6,11.3,,,,,,0,0,0,0,0,,,,0@0.0@0@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 01:00:00,11.8,1022.5,,70,6.5,,0,,,,9.6,11.8,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@12.8@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 01:30:00,12.1,1022.2,,72,7.2,,0,,,,9.6,13.1,,,,,,0,0,0,0,0,,,,0@0.0@0@13.1@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 02:00:00,13.3,1022.2,,62,6.1,,0,,,,9.6,13.3,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@13.3@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 02:30:00,11.9,1022.2,,67,6,,0,,,,9.6,14.3,,,,,,0,0,0,0,0,,,,0@0.0@0@14.3@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 03:00:00,11.7,1022.2,-1.1,73,7,,0,,,,9.6,14.3,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.3@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 03:30:00,11.9,1022,-1.3,68,6.2,,0,,,,9.6,14.3,,,,,,0,0,0,0,0,,,,0@0.0@0@14.3@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 04:00:00,12.5,1022,-0.5,63,5.6,,0,,,,9.6,14.3,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.3@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 04:30:00,14.7,1021.7,-0.8,55,5.7,,0,,,,9.6,14.7,,,,,,0,0,0,0,0,,,,0@0.0@0@14.7@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 05:00:00,14.4,1021.7,-0.5,54,5.2,,0,,,,9.6,14.7,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.7@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 05:30:00,12.3,1021.9,-0.3,65,5.9,,0,,,,9.6,14.7,,,,,,0,0,0,0,0,,,,0@0.0@0@14.7@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 06:00:00,14.4,1022,-0.2,53,5,,0,,,,9.6,14.7,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.7@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 06:30:00,14.8,1022,-0.2,51,4.8,,0,,,,9.6,14.9,,,,,,0,0,0,0,0,,,,0@0.0@0@14.9@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 07:00:00,13.9,1022.3,0.3,56,5.2,,0,,,,9.6,14.9,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@14.9@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 07:30:00,13.4,1022.6,0.6,59,5.6,,0,,,,9.6,14.9,,,,,,0,0,0,0,0,,,,0@0.0@5@14.9@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 08:00:00,11.7,1022.7,1,67,5.8,,0,,,,9.6,14.9,0,0,0,0,,0,0,0,18,0,,,,0@0.0@18@14.9@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 08:30:00,13.9,1022.9,1.2,54,4.7,,0,,,,9.6,14.9,,,,,,0,0,0,56,0,,,,0@0.0@56@14.9@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 09:00:00,14.7,1023,1,52,4.9,,0,,,,9.6,14.9,0,0,0,0,,0,0,0,114,0,,,,0@0.0@132@14.9@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 09:30:00,14.4,1023.2,1.2,55,5.5,,0,,,,9.6,15,,,,,,0,0,0,84,0,,,,0@0.0@192@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 10:00:00,12.4,1023.4,1.1,69,6.9,,0,,,,9.6,15,0,0,0,0,,0,0,0,246,0.5,,,,0.5@0.5@246@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 10:30:00,14.6,1023.3,1,61,7.2,,0,,,,9.6,15,,,,,,0,0,0,100,0.5,,,,0.5@0.5@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 11:00:00,13.4,1023.8,1.1,68,7.6,,0,,,,9.6,15,0,0,0,0,,0,0,0,97,0.5,,,,0.5@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 11:30:00,12.6,1023.6,0.9,69,7.1,,0,,,,9.6,15,,,,,,0,0,0,104,0.6,,,,0.6@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 12:00:00,14.2,1023.9,0.9,57,5.8,,0,,,,9.6,15,0,0,0,0,,0,0,0,86,0.6,,,,0.6@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 12:30:00,14.1,1024.1,1.1,62,6.9,,0,,,,9.6,15,,,,,,0,0,0,88,0.5,,,,0.5@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 13:00:00,13.4,1024.3,0.9,66,7.2,,0,,,,9.6,15,0,0,0,0,,0,0,0,128,0,,,,0@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 13:30:00,13.2,1024.4,1,68,7.4,,0,,,,9.6,15,,,,,,0,0,0,118,0,,,,0@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 14:00:00,13.3,1025.1,1.3,71,8.1,,0,,,,9.6,15,0,0,0,0,,0,0,0,93,0,,,,0@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
000PL,2023-01-02 14:30:00,13.3,1025.2,1.4,72,8.3,,0,,,,9.6,15,,,,,,0,0,0,28,0,,,,0@0.6@251@15.0@0.0@0.00@7.3@0.0,weatherlink
