station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PM,2025-01-01 00:00:00,1.6,1025.4,,56,-6.2,,4.6,,6.4,14,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 00:15:00,1.7,1025.2,,55,-6.5,,4.4,,6.4,5,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 00:30:00,1.7,1025,,55,-6.3,,4.6,,6.4,11,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 00:45:00,1.7,1024.9,,55,-6.4,,4.9,,8,8,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 01:00:00,1.4,1025,,56,-6.4,,4.2,,6.4,6,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 01:15:00,1.3,1024.9,,57,-6.3,,4.3,,6.4,11,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 01:30:00,1.4,1025,,55,-6.6,,4.9,,6.4,15,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 01:45:00,1.4,1025,,56,-6.6,,4.6,,6.4,12,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 02:00:00,1.3,1025.1,,56,-6.6,,4.6,,6.4,15,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 02:15:00,1.3,1024.9,,56,-6.6,,5.4,,6.4,14,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 02:30:00,1.2,1024.9,,57,-6.5,,4.1,,6.4,,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 02:45:00,1.3,1024.9,,56,-6.7,,4.5,,6.4,12,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 03:00:00,1.3,1024.8,-0.6,55,-6.7,,4.2,,6.4,19,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 03:15:00,1.3,1024.6,-0.8,55,-6.8,,4.8,,6.4,13,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 03:30:00,1.1,1024.5,-0.9,56,-6.8,,3.7,,6.4,5,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 03:45:00,1.3,1024.6,-0.8,54,-7.2,,4.8,,8,13,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 04:00:00,1.2,1024.5,-0.5,53,-7.2,,5.1,,9.7,15,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 04:15:00,1,1024.3,-0.7,56,-6.8,,5.7,,8,15,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 04:30:00,1.1,1024.3,-0.7,55,-6.9,,3.6,,4.8,,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 04:45:00,0.9,1024.1,-0.9,54,-7.2,,4.4,,6.4,12,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 05:00:00,1.7,1024.1,-1,50,-7.7,,4.2,,8,9,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 05:15:00,1.4,1024.3,-0.8,54,-7,,4,,6.4,14,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 05:30:00,1.6,1024.2,-0.9,51,-7.5,,3.9,,6.4,359,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 05:45:00,1.1,1024.3,-0.8,54,-7.3,,4.2,,6.4,14,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 06:00:00,1,1024.3,-0.5,54,-7.3,,4.4,,6.4,13,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 06:15:00,0.9,1024.3,-0.5,55,-7.1,,4.6,,6.4,20,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 06:30:00,0.9,1024.2,-0.6,54,-7.4,,4.6,,6.4,13,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 06:45:00,0.8,1024.3,-0.5,54,-7.4,,3.7,,6.4,4,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 07:00:00,0.8,1024.3,-0.2,54,-7.4,,3.5,,4.8,11,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 07:15:00,0.8,1024.3,-0.2,54,-7.6,,3.8,,4.8,360,,,,,,,,,0,,0,,,,,@@@@0,wlkLive
000PM,2025-01-01 07:30:00,1.1,1024.3,-0.2,53,-7.6,,4.3,,6.4,13,,,,,,,,,0,,7,,,,,@@@@0,wlkLive
000PM,2025-01-01 07:45:00,1.1,1024.5,,54,-7.3,,3.6,,4.8,11,,,,,,,,,0,,11,,,,,@@@@0,wlkLive
000PM,2025-01-01 08:00:00,1.1,1024.6,0.5,54,-7.2,,3.5,,6.4,359,,,0,,,,,,0,,14,,,,,@@@@0,wlkLive
000PM,2025-01-01 08:15:00,1.2,1024.6,0.5,54,-7.1,,3.9,,6.4,10,,,,,,,,,0,,16,,,,,@@@@0,wlkLive
000PM,2025-01-01 08:30:00,1.7,1024.7,0.6,53,-6.8,,3.5,,4.8,14,,,,,,,,,0,,153,,,,,@@@@0,wlkLive
000PM,2025-01-01 08:45:00,4.4,1024.6,0.5,44,-6.8,,0,,0,0,,,,,,,,,0,,192,,,,,@@@@0,wlkLive
000PM,2025-01-01 09:00:00,5.6,1024.7,0.4,40,-6.9,,1.1,,4.8,192,,,0,,,,,,0,,229,,,,,@@@@0,wlkLive
000PM,2025-01-01 09:15:00,6.3,1024.7,0.4,42,-5.8,,1,,3.2,194,,,,,,,,,0,,262,,,,,@@@@0,wlkLive
000PM,2025-01-01 09:30:00,6.8,1024.7,0.4,43,-4.8,,1,,4.8,190,,,,,,,,,0,,292,,,,,@@@@0,wlkLive
000PM,2025-01-01 09:45:00,6.7,1024.6,0.3,41,-5.7,,1.7,,4.8,207,,,,,,,,,0,,320,,,,,@@@@0,wlkLive
000PM,2025-01-01 10:00:00,6.8,1024.7,0.4,41,-5.4,,1.2,,4.8,173,,,0,,,,,,0,,343,,,,,@@@@0,wlkLive
000PM,2025-01-01 10:15:00,6.9,1024.7,0.4,42,-5.2,,1.7,,6.4,190,,,,,,,,,0,,366,,,,,@@@@0,wlkLive
000PM,2025-01-01 10:30:00,7.4,1024.6,0.3,41,-5,,1.6,,4.8,189,,,,,,,,,0,,383,,,,,@@@@0,wlkLive
000PM,2025-01-01 10:45:00,7.9,1024.1,-0.2,41,-4.7,,1.4,,4.8,184,,,,,,,,,0,,399,,,,,@@@@0,wlkLive
000PM,2025-01-01 11:00:00,7.8,1023.8,-0.8,37,-5.9,,1.3,,3.2,208,,,0,,,,,,0,,410,,,,,@@@@0,wlkLive
000PM,2025-01-01 11:15:00,8,1023.4,-1.2,40,-4.7,,1.4,,4.8,208,,,,,,,,,0,,418,,,,,@@@@0,wlkLive
000PM,2025-01-01 11:30:00,8.3,1023,-1.6,39,-4.7,,1.7,,6.4,178,,,,,,,,,0,,425,,,,,@@@@0,wlkLive
000PM,2025-01-01 11:45:00,8.4,1022.9,-1.7,37,-5.6,,1.8,,6.4,171,,,,,,,,,0,,425,,,,,@@@@0,wlkLive
000PM,2025-01-01 12:00:00,8.8,1022.5,-2.2,36,-5.6,,1.6,,4.8,185,,,0,,,,,,0,,424,,,,,@@@@0,wlkLive
000PM,2025-01-01 12:15:00,8.8,1022.3,-2.4,36,-5.6,,2,,4.8,186,,,,,,,,,0,,418,,,,,@@@@0,wlkLive
000PM,2025-01-01 12:30:00,9.1,1022.1,-2.6,34,-6.1,,1.8,,4.8,204,,,,,,,,,0,,408,,,,,@@@@0,wlkLive
000PM,2025-01-01 12:45:00,9.3,1021.9,-2.8,35,-5.6,,2,,4.8,189,,,,,,,,,0,,396,,,,,@@@@0,wlkLive
000PM,2025-01-01 13:00:00,8.9,1021.6,-3.1,32,-6.7,,2,,6.4,174,,,0,,,,,,0,,378,,,,,@@@@0,wlkLive
000PM,2025-01-01 13:15:00,9.4,1021.6,-3.1,32,-6.4,,1.9,,4.8,212,,,,,,,,,0,,357,,,,,@@@@0,wlkLive
000PM,2025-01-01 13:30:00,9.4,1021.4,-3.3,32,-6.4,,3,,6.4,,,,,,,,,,0,,334,,,,,@@@@0,wlkLive
000PM,2025-01-01 13:45:00,9.2,1021.3,-3.4,31,-6.9,,2.7,,4.8,,,,,,,,,,0,,304,,,,,@@@@0,wlkLive
000PM,2025-01-01 14:00:00,8.4,1021.3,-2.5,32,-7.2,,2.4,,4.8,227,,,0,,,,,,0,,23,,,,,@@@@0,wlkLive
000PM,2025-01-01 14:15:00,7.6,1021.2,-2.6,34,-7.5,,0.9,,6.4,32,,,,,,,,,0,,21,,,,,@@@@0,wlkLive
000PM,2025-01-01 14:30:00,7.2,1021.1,-2.7,34,-7.5,,2.5,,6.4,67,,,,,,,,,0,,19,,,,,@@@@0,wlkLive
000PM,2025-01-01 14:45:00,7.1,1021,-2.8,32,-8.4,,3.3,,8,55,,,,,,,,,0,,18,,,,,@@@@0,wlkLive
000PM,2025-01-01 15:00:00,6.9,1021.1,-1.4,34,-7.8,,2.5,,4.8,35,,,0,,,,,,0,,16,,,,,@@@@0,wlkLive
000PM,2025-01-01 15:15:00,6.4,1021,-1.5,42,-5.7,,3.3,,4.8,20,,,,,,,,,0,,14,,,,,@@@@0,wlkLive
000PM,2025-01-01 15:30:00,6.1,1020.9,-1.6,44,-5.2,,2.5,,4.8,11,,,,,,,,,0,,11,,,,,@@@@0,wlkLive
000PM,2025-01-01 15:45:00,5.5,1021,-1.5,43,-6.2,,3.3,,6.4,355,,,,,,,,,0,,7,,,,,@@@@0,wlkLive
000PM,2025-01-01 16:00:00,5.3,1020.9,-0.7,48,-4.9,,3.4,,6.4,,,,0,,,,,,0,,0,,,,,@@@@0,wlkLive
