station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PQ,2022-01-01 00:00:00,7.6,1029.1,,91,6.3,,0.3,,3.2,177,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 00:15:00,7.7,1029.1,,91,6.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 00:30:00,7.7,1029.1,,91,6.3,,1.1,,4.8,177,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 00:45:00,7.7,1029,,91,6.4,,1.8,,4.8,177,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 01:00:00,7.7,1028.8,,91,6.3,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 01:15:00,7.7,1028.6,,91,6.3,,2.6,,6.4,177,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 01:30:00,7.7,1028.5,,91,6.3,,3.8,,8,172,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 01:45:00,7.6,1028.4,,91,6.2,,5.2,,16.1,183,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 02:00:00,7.3,1028.5,,91,5.9,,4.1,,8,186,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 02:15:00,7,1028.5,,91,5.6,,3,,9.7,180,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 02:30:00,6.9,1028.5,,91,5.4,,2.8,,6.4,183,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 02:45:00,7,1028.4,,91,5.6,,4.9,,9.7,163,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 03:00:00,7.3,1028.2,-0.9,91,5.9,,4.9,,11.3,169,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 03:15:00,7.4,1028.3,-0.8,91,6,,2.8,,9.7,170,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 03:30:00,7.4,1028.3,-0.8,91,6.1,,2.2,,8,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 03:45:00,7.6,1028.4,-0.7,91,6.2,,3.2,,8,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 04:00:00,7.6,1028.4,-0.4,91,6.2,,6.4,,12.9,174,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 04:15:00,7.6,1028.3,-0.5,91,6.2,,5.2,,11.3,170,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 04:30:00,7.6,1028.2,-0.6,90,6.1,,4.8,,9.7,173,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 04:45:00,7.5,1028.1,-0.7,90,6,,3.2,,8,174,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 05:00:00,7.6,1028.2,-0.3,90,6.1,,2.5,,6.4,166,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 05:15:00,7.6,1028.1,-0.4,90,6.1,,2.9,,6.4,166,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 05:30:00,7.6,1028.3,-0.2,90,6.1,,3.7,,9.7,160,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 05:45:00,7.6,1028.2,-0.3,90,6.1,,3.2,,9.7,163,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 06:00:00,7.4,1027.9,-0.3,90,5.8,,2.6,,8,150,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 06:15:00,6.8,1028,-0.2,89,5.1,,1,,6.4,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 06:30:00,6.2,1028,-0.2,89,4.6,,1.1,,4.8,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 06:45:00,5.8,1028.1,-0.1,90,4.2,,0.3,,1.6,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 07:00:00,5.8,1028,-0.4,90,4.3,,1.4,,3.2,150,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 07:15:00,5.4,1028.1,-0.3,89,3.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 07:30:00,5.1,1028.3,-0.1,90,3.6,,0.7,,3.2,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 07:45:00,4.8,1028.5,0.1,90,3.3,,0.4,,1.6,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 08:00:00,4.7,1028.4,0.2,90,3.2,,0,,1.6,150,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 08:15:00,4.8,1028.4,0.2,91,3.4,,0.2,,1.6,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 08:30:00,5.1,1028.4,0.2,91,3.7,,0.4,,1.6,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 08:45:00,5.3,1028.4,0.2,91,4,,0,,1.6,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 09:00:00,5.8,1028.3,0.4,92,4.5,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 09:15:00,6.4,1028.4,0.5,92,5.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 09:30:00,7.3,1028.6,0.7,92,6,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 09:45:00,7.7,1028.8,0.9,91,6.4,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 10:00:00,8.5,1028.8,0.8,91,7.1,,0.4,,6.4,151,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 10:15:00,9.2,1028.9,0.9,88,7.4,,4.1,,8,169,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 10:30:00,9.8,1028.5,0.5,87,7.7,,3.4,,6.4,188,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 10:45:00,10.4,1028.4,0.4,85,8.1,,2.5,,8,185,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 11:00:00,11.1,1028.1,-0.3,83,8.3,,6.2,,11.3,166,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 11:15:00,11.2,1028.2,-0.2,84,8.5,,4.1,,8,189,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 11:30:00,11.6,1027.8,-0.6,82,8.5,,5.3,,9.7,203,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 11:45:00,11.9,1027.4,-1,82,8.9,,2.8,,4.8,202,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 12:00:00,12.3,1026.8,-1.5,80,9,,5.1,,9.7,171,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 12:15:00,12.7,1026.8,-1.5,80,9.3,,5.6,,11.3,183,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 12:30:00,12.8,1026.8,-1.5,79,9.3,,6.8,,12.9,199,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 12:45:00,13.1,1026.1,-2.2,79,9.5,,4.5,,9.7,185,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 13:00:00,13.1,1026.1,-2.7,79,9.6,,4.8,,9.7,174,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 13:15:00,13.5,1026.2,-2.6,77,9.5,,4.3,,8,201,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 13:30:00,13.6,1026,-2.8,76,9.4,,6,,9.7,198,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 13:45:00,13.9,1025.7,-3.1,75,9.6,,6.8,,11.3,196,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 14:00:00,13.8,1025.4,-2.7,75,9.5,,5.3,,11.3,183,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 14:15:00,13.8,1025.4,-2.7,75,9.4,,5.8,,9.7,183,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 14:30:00,13.9,1025.5,-2.6,74,9.3,,4.7,,11.3,174,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 14:45:00,13.5,1025.6,-2.5,75,9.2,,5,,9.7,159,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 15:00:00,13.2,1025.7,-1.1,76,9.1,,1.6,,6.4,149,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 15:15:00,12.8,1025.7,-1.1,77,8.9,,0.5,,3.2,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 15:30:00,11.9,1025.7,-1.1,79,8.3,,1.3,,4.8,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 15:45:00,11.2,1025.5,-1.3,80,7.9,,1.3,,4.8,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 16:00:00,10.5,1025.8,-0.3,81,7.4,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 16:15:00,9.7,1025.7,-0.4,82,6.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 16:30:00,8.9,1025.8,-0.3,83,6.2,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 16:45:00,8.2,1025.8,-0.3,84,5.6,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 17:00:00,7.8,1025.5,0.1,85,5.3,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 17:15:00,7,1025.5,0.1,85,4.6,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 17:30:00,6.6,1025.2,-0.2,86,4.4,,0,,3.2,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 17:45:00,6.3,1025.1,-0.3,87,4.3,,0.2,,3.2,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 18:00:00,6.1,1025.2,-0.5,88,4.2,,0.5,,3.2,156,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 18:15:00,5.9,1025.4,-0.3,88,4.1,,0.2,,3.2,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 18:30:00,5.7,1025.5,-0.2,87,3.8,,0.2,,1.6,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 18:45:00,5.7,1025.3,-0.4,88,3.8,,1.3,,4.8,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 19:00:00,5.2,1025.4,-0.4,88,3.4,,1.4,,4.8,156,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 19:15:00,5.1,1025.3,-0.5,89,3.3,,1.4,,4.8,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 19:30:00,4.6,1025.4,-0.4,88,2.8,,0,,1.6,156,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 19:45:00,4.4,1025.3,-0.5,89,2.7,,0.2,,6.4,157,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 20:00:00,4.7,1025.4,-0.1,90,3.2,,2.6,,8,159,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 20:15:00,4.8,1025.3,-0.2,90,3.3,,1.7,,6.4,159,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 20:30:00,4.6,1025.1,-0.4,89,2.9,,1.4,,8,167,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000PQ,2022-01-01 20:45:00,4.6,1025,-0.5,90,3,,1.5,,8,164,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
