station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PU,2023-01-01 00:00:00,13.4,1023.5,,89,11.7,,10.6,,20.9,111,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 00:15:00,13.4,1023.5,,89,11.6,,11.7,,22.5,111,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 00:30:00,13.4,1023.6,,88,11.6,,11.8,,24.1,123,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 00:45:00,13.6,1023.7,,88,11.5,,11.6,,22.5,114,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 01:00:00,13.3,1023.5,,88,11.4,,13.8,,20.9,117,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 01:15:00,13.3,1023.5,,88,11.4,,14.5,,25.7,118,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 01:30:00,13.2,1023.5,,88,11.3,,12.4,,25.7,110,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 01:45:00,13.2,1023.4,,89,11.4,,15.4,,27.4,111,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 02:00:00,13.2,1023.2,,90,11.6,,16.2,,32.2,115,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 02:15:00,13.1,1023.2,,90,11.4,,15.8,,24.1,111,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 02:30:00,13,1023.2,,90,11.4,,14.6,,25.7,113,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 02:45:00,13.1,1023.3,,90,11.4,,16.7,,29,113,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000PU,2023-01-01 03:00:00,13,1023.1,-0.4,90,11.4,,16.7,,29,113,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
