station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PZ,2024-01-01 00:00:00,-12.6,1003.1,,93,-13.5,,33.2,,59.5,273,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 00:15:00,-12.7,1003,,92,-13.7,,30.4,,62.8,274,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 00:30:00,-13,1003.1,,92,-14,,31.2,,59.5,272,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 00:45:00,-13.1,1003,,92,-14.2,,19.5,,56.3,289,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 01:00:00,-13.1,1003.1,,92,-14.2,,13.9,,49.9,259,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 01:15:00,-13.5,1003.3,,92,-14.6,,13.5,,49.9,318,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 01:30:00,-13.7,1003.3,,92,-14.8,,12.2,,38.6,298,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 01:45:00,-13.8,1003.3,,92,-14.8,,24.7,,53.1,344,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 02:00:00,-13.6,1003.6,,92,-14.7,,19.4,,41.8,352,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 02:15:00,-13.7,1003.9,,92,-14.8,,15.1,,37,338,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 02:30:00,-13.7,1003.8,,92,-14.7,,18.3,,49.9,,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 02:45:00,-13.8,1003.9,,92,-14.8,,13.9,,33.8,321,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 03:00:00,-13.8,1003.7,0.6,92,-14.9,,22,,41.8,325,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 03:15:00,-13.9,1003.7,0.6,92,-14.9,,25.3,,48.3,323,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 03:30:00,-14,1003.5,0.4,91,-15.1,,21.9,,48.3,344,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 03:45:00,-14,1003.3,0.2,91,-15.1,,16.9,,37,326,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 04:00:00,-13.8,1003.3,0.2,92,-14.9,,23.2,,48.3,299,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 04:15:00,-13.9,1003.4,0.3,92,-14.9,,19.9,,48.3,286,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 04:30:00,-13.9,1003.2,0.1,91,-15.1,,22.2,,51.5,294,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 04:45:00,-13.8,1003.3,0.2,92,-14.8,,19.9,,43.5,309,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 05:00:00,-13.9,1003.6,,92,-15,,24,,61.2,277,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 05:15:00,-13.9,1003.8,0.2,92,-15,,23.1,,59.5,293,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 05:30:00,-14.1,1003.9,0.3,92,-15.2,,21,,46.7,311,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 05:45:00,-14.2,1004.1,0.5,91,-15.3,,18.4,,62.8,286,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 06:00:00,-14.3,1004.4,0.7,91,-15.4,,19.6,,61.2,289,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 06:15:00,-14.3,1004.3,0.6,91,-15.4,,22.2,,48.3,287,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 06:30:00,-14.2,1004.4,0.7,92,-15.3,,13.4,,32.2,303,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 06:45:00,-14.2,1004.6,0.9,92,-15.3,,16.9,,33.8,328,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 07:00:00,-14,1004.5,1.2,92,-15.1,,20.9,,43.5,345,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 07:15:00,-14,1004.7,1.4,92,-15.1,,25.2,,48.3,322,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 07:30:00,-14.1,1004.7,1.4,91,-15.2,,28,,49.9,309,,,,,,,,,0,,9,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 07:45:00,-13.7,1005.1,1.8,92,-14.7,,25.3,,43.5,314,,,,,,,,,0,,21,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 08:00:00,-13.5,1004.9,1.3,92,-14.6,,22.4,,48.3,308,,,0,,,,,,0,,33,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 08:15:00,-13.1,1005.1,1.5,92,-14.2,,21.5,,41.8,332,,,,,,,,,0,,53,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 08:30:00,-13.1,1005.2,1.6,91,-14.3,,24.3,,45.1,304,,,,,,,,,0,,88,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 08:45:00,-13.3,1005.4,1.8,91,-14.6,,25.4,,40.2,299,,,,,,,,,0,,88,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 09:00:00,-13.1,1005.4,1,90,-14.3,,29.1,,45.1,299,,,0,,,,,,0,,162,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 09:15:00,-13.1,1005.7,1.3,90,-14.4,,34.6,,53.1,291,,,,,,,,,0,,200,0.6,,,,0.6@@@@0,wlkLive
000PZ,2024-01-01 09:30:00,-13.2,1005.7,1.3,90,-14.5,,31.7,,43.5,288,,,,,,,,,0,,264,0.8,,,,0.8@@@@0,wlkLive
000PZ,2024-01-01 09:45:00,-12.9,1006,1.6,90,-14.2,,27.6,,46.7,286,,,,,,,,,0,,301,1,,,,1@@@@0,wlkLive
000PZ,2024-01-01 10:00:00,-13,1006.2,1.7,90,-14.3,,27.1,,35.4,291,,,0,,,,,,0,,299,1.1,,,,1.1@@@@0,wlkLive
000PZ,2024-01-01 10:15:00,-13.1,1006.1,1.6,90,-14.4,,22.7,,32.2,293,,,,,,,,,0,,369,1.2,,,,1.2@@@@0,wlkLive
000PZ,2024-01-01 10:30:00,-12.7,1006.1,1.6,90,-13.9,,25.6,,38.6,301,,,,,,,,,0,,424,1.4,,,,1.4@@@@0,wlkLive
000PZ,2024-01-01 10:45:00,-12.7,1005.7,1.2,90,-14,,23.2,,35.4,300,,,,,,,,,0,,385,1.4,,,,1.4@@@@0,wlkLive
000PZ,2024-01-01 11:00:00,-12.7,1005.8,0.9,91,-13.9,,27.9,,35.4,293,,,0,,,,,,0,,392,1.5,,,,1.5@@@@0,wlkLive
000PZ,2024-01-01 11:15:00,-12.4,1006,1.1,91,-13.6,,30.8,,41.8,296,,,,,,,,,0,,392,1.5,,,,1.5@@@@0,wlkLive
000PZ,2024-01-01 11:30:00,-12.4,1006.1,1.2,90,-13.6,,25.2,,43.5,299,,,,,,,,,0,,315,1.5,,,,1.5@@@@0,wlkLive
000PZ,2024-01-01 11:45:00,-12.4,1006.1,1.2,90,-13.7,,21,,33.8,302,,,,,,,,,0,,392,1.5,,,,1.5@@@@0,wlkLive
000PZ,2024-01-01 12:00:00,-12.3,1005.8,0.4,91,-13.6,,20.6,,32.2,308,,,0,,,,,,0,,403,1.5,,,,1.5@@@@0,wlkLive
000PZ,2024-01-01 12:15:00,-12.4,1005.5,0.1,92,-13.5,,28.7,,40.2,306,,,,,,,,,0,,380,1.5,,,,1.5@@@@0,wlkLive
000PZ,2024-01-01 12:30:00,-12.4,1005.7,0.3,91,-13.6,,24.5,,37,313,,,,,,,,,0,,318,1.5,,,,1.5@@@@0,wlkLive
000PZ,2024-01-01 12:45:00,-12.4,1005.8,0.4,92,-13.6,,21.1,,32.2,331,,,,,,,,,0,,290,1.3,,,,1.3@@@@0,wlkLive
000PZ,2024-01-01 13:00:00,-12.5,1005.7,-0.5,92,-13.6,,18.9,,29,329,,,0,,,,,,0,,197,1.2,,,,1.2@@@@0,wlkLive
000PZ,2024-01-01 13:15:00,-12.4,1005.9,-0.3,92,-13.6,,15.2,,33.8,326,,,,,,,,,0,,383,1,,,,1@@@@0,wlkLive
000PZ,2024-01-01 13:30:00,-12.4,1005.6,-0.6,92,-13.5,,21.2,,29,331,,,,,,,,,0,,218,0.8,,,,0.8@@@@0,wlkLive
000PZ,2024-01-01 13:45:00,-12.3,1005.4,-0.8,92,-13.3,,19.9,,27.4,327,,,,,,,,,0,,251,0.8,,,,0.8@@@@0,wlkLive
000PZ,2024-01-01 14:00:00,-12.1,1005.4,-0.4,91,-13.2,,20.9,,30.6,327,,,0,,,,,,0,,200,0.6,,,,0.6@@@@0,wlkLive
000PZ,2024-01-01 14:15:00,-11.9,1005.5,-0.3,91,-13.1,,18.8,,35.4,314,,,,,,,,,0,,211,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 14:30:00,-12.1,1005.5,-0.3,91,-13.3,,15.6,,22.5,304,,,,,,,,,0,,162,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 14:45:00,-12,1005.7,-0.1,91,-13.2,,17.7,,27.4,310,,,,,,,,,0,,104,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 15:00:00,-11.8,1005.7,-0.1,89,-13.3,,18.2,,32.2,321,,,0,,,,,,0,,79,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 15:15:00,-11.9,1005.7,-0.1,88,-13.6,,15.1,,20.9,300,,,,,,,,,0,,42,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 15:30:00,-11.8,1005.7,-0.1,87,-13.6,,13.4,,22.5,312,,,,,,,,,0,,19,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 15:45:00,-12.1,1005.9,0.1,88,-13.7,,9.9,,20.9,312,,,,,,,,,0,,12,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 16:00:00,-12.4,1005.8,0.1,85,-14.3,,16.2,,29,312,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 16:15:00,-12.2,1006.1,0.4,87,-14,,18.9,,32.2,307,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 16:30:00,-12.4,1006.3,0.6,84,-14.6,,16.6,,24.1,332,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 16:45:00,-12.5,1006.8,1.1,83,-14.8,,15.8,,29,318,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 17:00:00,-12.4,1006.9,1.5,84,-14.6,,20.9,,32.2,309,,,0,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 17:15:00,-12.2,1007,1.6,79,-15.1,,26.7,,35.4,297,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 17:30:00,-12.2,1007.1,1.7,81,-14.8,,22,,32.2,310,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
000PZ,2024-01-01 17:45:00,-12.5,1007.2,1.8,80,-15.2,,24.4,,37,314,,,,,,,,,0,,0,0,,,,0@@@@0,wlkLive
