station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000QB,2023-01-06 12:45:00,12.3,1019.7,,87,10.2,,6.6,,11.3,239,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 13:00:00,12.2,1019.7,,87,10.2,,6,,11.3,236,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 13:15:00,12.3,1019.6,,88,10.3,,5.9,,11.3,239,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 13:30:00,12.3,1019.7,,88,10.4,,6,,9.7,235,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 13:45:00,12.4,1019.5,,87,10.3,,5.7,,11.3,235,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 14:00:00,12.5,1019.4,,87,10.4,,4.2,,9.7,247,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 14:15:00,12.5,1019.2,,87,10.4,,3.2,,6.4,236,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 14:30:00,12.4,1019.1,,87,10.4,,3.4,,8,220,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 14:45:00,12.3,1019.2,,88,10.3,,3,,6.4,209,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 15:00:00,12.3,1019.2,-0.5,87,10.3,,2.7,,6.4,213,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 15:15:00,12.3,1019.2,-0.5,87,10.3,,3.6,,12.9,221,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 15:30:00,12.2,1019,-0.7,87,10.1,,2.6,,6.4,232,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 15:45:00,12.1,1018.9,-0.8,87,10.1,,2.1,,8,218,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 16:00:00,12.1,1018.8,-0.9,87,9.9,,3,,16.1,230,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 16:15:00,12,1018.9,-0.8,87,9.8,,3,,12.9,222,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 16:30:00,11.7,1019,-0.7,87,9.6,,2.2,,8,252,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 16:45:00,11.7,1018.9,-0.8,88,9.7,,1.1,,8,219,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 17:00:00,11.6,1019.1,-0.3,88,9.6,,1.9,,8,228,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 17:15:00,11.7,1019.2,-0.2,88,9.7,,2.6,,6.4,211,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 17:30:00,11.7,1019.3,-0.1,87,9.7,,2.9,,11.3,240,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 17:45:00,11.7,1019.2,-0.2,87,9.7,,3,,6.4,228,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 18:00:00,11.7,1019.2,,87,9.7,,4.7,,9.7,236,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 18:15:00,11.4,1019.3,0.1,87,9.4,,3,,12.9,236,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 18:30:00,11.5,1019.4,0.2,88,9.5,,2.4,,6.4,279,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 18:45:00,11.5,1019.4,0.2,88,9.5,,2.8,,6.4,238,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 19:00:00,11.4,1019.3,0.5,88,9.4,,3.2,,11.3,239,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 19:15:00,11.4,1019.3,0.5,88,9.5,,3.3,,6.4,241,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 19:30:00,11.4,1019.2,0.4,88,9.5,,3.1,,12.9,244,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 19:45:00,11.4,1019.2,0.4,88,9.4,,3.2,,6.4,234,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 20:00:00,11.4,1019.1,,88,9.4,,3.2,,9.7,223,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 20:15:00,11.2,1019,-0.1,88,9.3,,3.3,,8,244,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 20:30:00,11.2,1018.9,-0.2,88,9.3,,3.3,,11.3,241,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 20:45:00,10.9,1018.9,-0.2,88,9.1,,3.5,,6.4,241,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 21:00:00,11,1018.9,-0.3,88,9.2,,3,,12.9,242,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 21:15:00,11.1,1018.9,-0.3,88,9.1,,2.7,,8,264,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 21:30:00,11.1,1018.9,-0.3,87,9.1,,3,,11.3,246,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 21:45:00,11.1,1018.6,-0.6,87,9.1,,2.8,,8,245,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 22:00:00,11.1,1018.5,-0.8,87,8.9,,2.4,,9.7,250,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 22:15:00,11,1018.5,-0.8,87,8.9,,1.9,,9.7,201,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 22:30:00,10.8,1018.3,-1,88,8.9,,2.5,,11.3,215,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 22:45:00,10.8,1018.2,-1.1,88,8.8,,3,,11.3,248,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 23:00:00,10.9,1018.3,-0.8,87,8.9,,2.5,,11.3,251,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 23:15:00,10.8,1018.2,-0.9,87,8.8,,2.5,,8,229,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 23:30:00,10.7,1018.1,-1,87,8.7,,2.8,,6.4,229,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-06 23:45:00,10.5,1017.7,-1.4,88,8.6,,2.5,,6.4,214,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 00:00:00,10.3,1017.7,,89,8.5,,2.3,,8,236,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 00:15:00,10.4,1017.4,,88,8.6,,3.6,,12.9,209,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 00:30:00,10.5,1017.3,,88,8.6,,3.4,,11.3,203,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 00:45:00,10.5,1017,,88,8.5,,3.2,,9.7,158,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 01:00:00,10.3,1016.7,,88,8.4,,2.6,,11.3,227,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 01:15:00,10.3,1016.5,,88,8.4,,2.7,,11.3,236,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 01:30:00,10.2,1016.2,,88,8.3,,3.6,,14.5,204,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 01:45:00,10.1,1016.2,,88,8.2,,3.2,,12.9,165,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 02:00:00,10.2,1016.1,,87,8.2,,3.1,,11.3,183,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 02:15:00,10.2,1015.8,,87,8.1,,2.8,,8,205,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 02:30:00,10.2,1015.7,,87,8,,2.6,,9.7,200,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 02:45:00,10.2,1015.5,,86,7.9,,1.5,,9.7,209,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 03:00:00,10.3,1015.4,-2.3,85,7.8,,3,,9.7,228,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 03:15:00,10.2,1015,-2.7,84,7.6,,2.2,,9.7,230,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 03:30:00,10.3,1015,-2.7,83,7.6,,3.3,,12.9,214,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 03:45:00,10.3,1014.7,-3,83,7.4,,2.7,,9.7,166,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 04:00:00,10.2,1014.5,-2.2,82,7.3,,2.6,,8,243,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 04:15:00,10.3,1014.2,-2.5,82,7.2,,3.2,,11.3,96,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 04:30:00,10.2,1013.9,-2.8,82,7.2,,3.6,,12.9,183,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 04:45:00,10.1,1013.6,-3.1,82,7.2,,3.6,,11.3,131,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 05:00:00,10.1,1013.4,-2.7,82,7.1,,4.2,,16.1,167,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 05:15:00,10.1,1013.2,-2.9,81,7,,4.1,,12.9,163,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 05:30:00,10.1,1013,-3.1,80,6.9,,4.8,,14.5,176,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 05:45:00,10.2,1012.9,-3.2,80,6.8,,3.8,,12.9,179,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 06:00:00,10.2,1012.9,-2.5,79,6.7,,3.7,,9.7,156,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 06:15:00,10.1,1012.9,-2.5,79,6.6,,3.2,,9.7,176,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 06:30:00,10.1,1012.8,-2.6,79,6.6,,2.5,,8,192,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 06:45:00,9.6,1012.5,-2.9,80,6.3,,2.6,,6.4,85,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 07:00:00,9.3,1012.3,-2.2,82,6.3,,2.5,,8,166,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 07:15:00,9.1,1012,-2.5,82,6.2,,3.7,,12.9,137,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 07:30:00,8.9,1011.8,-2.7,83,6.1,,4.1,,12.9,148,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 07:45:00,9,1011.8,-2.7,82,6.1,,5.9,,20.9,150,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 08:00:00,8.8,1011.5,-1.9,83,6.1,,4.7,,11.3,141,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 08:15:00,8.7,1011.3,-2.1,84,6.1,,6.1,,17.7,146,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 08:30:00,8.5,1011.4,-2,85,6.1,,5.4,,17.7,144,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 08:45:00,8.6,1010.9,-2.5,85,6.2,,5.4,,17.7,146,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 09:00:00,8.6,1010.8,-2.1,85,6.2,,5,,14.5,139,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 09:15:00,8.7,1010.5,-2.4,85,6.2,,5.9,,17.7,131,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 09:30:00,8.8,1010,-2.9,84,6.3,,6.5,,19.3,148,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 09:45:00,8.9,1009.8,-3.1,84,6.3,,7,,20.9,142,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 10:00:00,8.8,1009.7,-2.6,84,6.3,,5.5,,19.3,146,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 10:15:00,9,1009.7,-2.6,84,6.5,,4.7,,12.9,127,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 10:30:00,9.4,1009.4,-2.9,83,6.7,,4.5,,19.3,138,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 10:45:00,9.4,1009.2,-3.1,83,6.8,,4.4,,19.3,199,,,,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 11:00:00,9.9,1009,-2.5,82,7,,6.5,,20.9,168,,,0,,,,,,0,,,,,,,@@@@12,wlkLive
000QB,2023-01-07 11:15:00,10.1,1008.5,-3,82,7.1,,4.8,,16.1,252,,,,,,,,,0,,,,,,,@@@@12,wlkLive
