station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000QD,2019-12-04 14:00:00,6.8,1019,,78,3.3,,4.8,,8,220,-0.7,6.8,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.3@24.6@25.8@7:35am@12:00am@6.7@6.7@0@24@23@25@5:16am@12:01am@1454@1837@+0100,wlkIPxml
000QD,2019-12-04 14:10:00,6.8,1019,,78,3.3,,4.8,,9.7,214,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.3@24.6@25.8@7:35am@12:00am@5.6@6.7@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 14:20:00,6.6,1019,,79,3.3,,4.8,,9.7,218,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.4@24.6@25.8@7:35am@12:00am@5.6@6.7@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 14:30:00,6.4,1019,,79,3.3,,4.8,,9.7,219,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.4@24.6@25.8@7:35am@12:00am@6.1@6.7@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 14:40:00,6.4,1019,,80,3.3,,4.8,,11.3,224,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.4@24.6@25.8@7:35am@12:00am@6.1@6.7@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 14:50:00,6.3,1019.2,,80,3.3,,4.8,,8,236,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.4@24.6@25.8@7:35am@12:00am@5.6@6.1@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 15:00:00,6.2,1019.3,,81,3.3,,4.8,,9.7,217,-0.7,6.9,0,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.5@24.6@25.8@7:35am@12:00am@5.6@6.1@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 15:10:00,6,1019.5,,81,2.8,,4.8,,8,216,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.5@24.6@25.8@7:35am@12:00am@5.6@6.1@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 15:20:00,5.7,1019.5,,82,2.8,,4.8,,9.7,220,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.5@24.6@25.8@7:35am@12:00am@4.4@5.6@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 15:30:00,5.3,1019.4,,83,2.8,,4.8,,8,226,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@5@5.6@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 15:40:00,4.9,1019.6,,84,2.2,,4.8,,9.7,209,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@4.4@5@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 15:50:00,4.7,1019.6,,85,2.2,,3.2,,6.4,228,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@3.3@4.4@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 16:00:00,4.4,1019.6,,85,2.2,,3.2,,6.4,241,-0.7,6.9,0,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@3.3@4.4@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 16:10:00,4.3,1019.6,,86,2.2,,3.2,,4.8,245,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@3.3@4.4@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 16:20:00,4,1019.7,,86,1.7,,1.6,,3.2,232,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@3.9@3.9@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 16:30:00,3.7,1019.8,,86,1.7,,1.6,,4.8,225,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@3.3@3.9@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 16:40:00,3.5,1019.8,,86,1.7,,1.6,,4.8,225,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.7@24.6@25.8@7:35am@12:00am@2.8@3.3@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 16:50:00,3.3,1019.9,,87,1.1,,1.6,,4.8,225,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.7@24.6@25.8@7:35am@12:00am@2.2@3.3@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 17:00:00,3.1,1020,1,87,1.1,,1.6,,3.2,225,-0.7,6.9,0,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.7@24.6@25.8@7:35am@12:00am@2.8@3.3@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 17:10:00,2.9,1020.1,1.1,88,1.1,,1.6,,4.8,200,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@1.7@2.8@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 17:20:00,2.7,1020.1,1.1,88,1.1,,1.6,,3.2,225,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@1.7@2.8@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 17:30:00,2.6,1020.1,1.1,89,1.1,,1.6,,3.2,225,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@2.8@2.8@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 17:40:00,2.4,1020.3,1.3,89,1.1,,0,,1.6,225,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@2.2@2.2@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 17:50:00,2.2,1020.5,1.5,90,0.6,,0,,0,225,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.6@24.6@25.8@7:35am@12:00am@2.2@2.2@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 18:00:00,2,1020.3,1,91,0.6,,0,,3.2,225,-0.7,6.9,0,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.5@24.6@25.8@7:35am@12:00am@1.7@2.2@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
000QD,2019-12-04 18:10:00,2,1020.3,1,91,0.6,,1.6,,4.8,217,-0.7,6.9,,,,,,0,0,0,0,0,,,,0@@0@@268@@@11.3@25.5@24.6@25.8@7:35am@12:00am@1.1@2.2@0@24@23@25@5:16am@12:01am@1507@1837@+0100,wlkIPxml
