station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000QE,2019-12-28 08:20:00,-2.1,1032.3,,85,-4.4,,0,,0,360,-3.8,-1.4,,,,,,0,0,0,118,0,,,,0@@118@@1108.6@@@0@18.6@15.2@18.7@4:37am@8:27am@-2.2@-2.2@0@38@38@41@4:41am@12:00am@2400@1839@+0100,wlkIPxml
000QE,2019-12-28 08:30:00,-1.7,1032.8,,84,-3.9,,0,,0,360,-3.8,-1.4,,,,,,0,0,0,169,0,,,,0@@169@@1108.6@@@0@18.4@15.2@18.7@4:37am@8:27am@-1.7@-1.7@0@37@37@41@9:24am@12:00am@2400@1839@+0100,wlkIPxml
000QE,2019-12-28 08:40:00,-1.6,1032.8,,84,-3.9,,0,,0,80,-3.8,-1.4,,,,,,0,0,0,185,0,,,,0@@185@@1108.6@@@0@18.4@15.2@18.7@4:37am@8:27am@-1.7@-1.7@0@37@37@41@9:24am@12:00am@2400@1839@+0100,wlkIPxml
000QE,2019-12-28 08:50:00,-1.4,1033.4,,85,-3.3,,0,,0,80,-3.8,-1.4,,,,,,0,0,0,209,0,,,,0@@209@@1108.6@@@0@18.4@15.2@18.7@4:37am@8:27am@-1.1@-1.1@0@37@37@41@9:24am@12:00am@2146@1839@+0100,wlkIPxml
000QE,2019-12-28 09:00:00,-1.4,1033.5,,86,-3.3,,0,,0,80,-3.8,-1.4,,,,,,0,0,0,230,0,,,,0@@230@@1108.6@@@0@18.3@15.2@18.7@4:37am@8:27am@-1.1@-1.1@0@37@37@41@9:24am@12:00am@2146@1839@+0100,wlkIPxml
000QE,2019-12-28 09:10:00,-1,1033.5,,83,-3.3,,0,,0,185,-3.8,-1,,,,,,0,0,0,241,0,,,,0@@241@@1108.6@@@0@18.3@15.2@18.7@4:37am@8:27am@-1.1@-1.1@0@38@37@41@9:24am@12:00am@2211@1839@+0100,wlkIPxml
000QE,2019-12-28 09:20:00,-0.6,1033.9,,81,-3.3,,0,,0,184,-3.8,-0.6,,,,,,0,0,0,260,0,,,,0@@260@@1108.6@@@0@18.4@15.2@18.7@4:37am@8:27am@-0.6@-0.6@0@39@37@41@9:24am@12:00am@2221@1839@+0100,wlkIPxml
000QE,2019-12-28 09:30:00,0.3,1034,,82,-2.2,,0,,0,184,-3.8,0.3,,,,,,0,0,0,272,0,,,,0@@278@@1108.6@@@0@18.6@15.2@18.7@4:37am@8:27am@0.6@0.6@0@40@37@41@9:24am@12:00am@2231@1839@+0100,wlkIPxml
000QE,2019-12-28 09:40:00,0.9,1034,,81,-2.2,,0,,0,184,-3.8,0.9,,,,,,0,0,0,299,0,,,,0@@299@@1108.6@@@0@18.9@15.2@18.9@4:37am@10:39am@1.1@1.1@0@40@37@41@9:24am@12:00am@2241@1839@+0100,wlkIPxml
000QE,2019-12-28 09:50:00,1.1,1034,,78,-2.2,,0,,0,184,-3.8,1.1,,,,,,0,0,0,313,0,,,,0@@313@@1108.6@@@0@19.2@15.2@19.2@4:37am@10:48am@1.1@1.1@0@40@37@42@9:24am@10:49am@2244@1839@+0100,wlkIPxml
000QE,2019-12-28 10:00:00,1,1034,,78,-2.2,,0,,0,184,-3.8,1.1,0,,,,,0,0,0,325,0,,,,0@@325@@1108.6@@@0@19.4@15.2@19.4@4:37am@11:00am@1.1@1.1@0@40@37@42@9:24am@10:49am@2244@1839@+0100,wlkIPxml
000QE,2019-12-28 10:10:00,1.3,1034,,77,-2.2,,0,,0,184,-3.8,1.3,,,,,,0,0,0,320,0,,,,0@@330@@1108.6@@@0@19.5@15.2@19.5@4:37am@11:08am@1.1@1.1@0@40@37@42@9:24am@10:49am@2310@1839@+0100,wlkIPxml
