station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000QI,2020-01-01 00:00:00,1.4,1033.3,,89,-0.3,,0,,0,,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 00:15:00,1.6,1033.2,,87,-0.3,,3.4,,6.4,89,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 00:30:00,1.7,1033.2,,87,-0.2,,2.1,,6.4,96,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 00:45:00,1.6,1033.1,,88,-0.2,,1.5,,4.8,89,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 01:00:00,1.6,1033.2,,87,-0.3,,1,,4.8,81,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 01:15:00,1.4,1033.2,,88,-0.3,,0.8,,3.2,81,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 01:30:00,1.2,1033.3,,89,-0.4,,0.3,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 01:45:00,1.1,1033.6,,89,-0.6,,0.5,,3.2,85,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 02:00:00,1.1,1033.7,,89,-0.6,,0.9,,6.4,114,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 02:15:00,0.9,1033.8,,90,-0.7,,0.2,,1.6,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 02:30:00,0.7,1033.8,,90,-0.8,,0,,0,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 02:45:00,0.7,1033.7,,90,-0.8,,1.9,,4.8,91,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 03:00:00,0.6,1033.5,0.2,91,-0.8,,0.1,,3.2,,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 03:15:00,0.4,1033.7,0.4,90,-0.9,,1,,3.2,90,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 03:30:00,0.3,1033.9,0.6,91,-1,,0.7,,3.2,91,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 03:45:00,0.3,1033.9,0.6,90,-1.1,,0.6,,3.2,80,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 04:00:00,0.1,1033.9,0.7,90,-1.3,,0,,0,,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 04:15:00,0.3,1033.9,0.7,91,-1.1,,0.2,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 04:30:00,0.1,1033.8,0.6,91,-1.2,,0,,0,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 04:45:00,0.1,1033.7,0.5,91,-1.3,,0.2,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 05:00:00,-0.2,1033.5,-0.2,91,-1.5,,0.6,,3.2,98,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 05:15:00,-0.2,1033.5,-0.2,92,-1.4,,0.3,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 05:30:00,-0.3,1033.8,0.1,93,-1.3,,1.3,,6.4,146,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 05:45:00,-0.3,1034.2,0.5,93,-1.3,,1,,6.4,127,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 06:00:00,-0.4,1034.4,0.9,93,-1.3,,0.9,,6.4,152,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 06:15:00,-0.7,1034.3,0.8,93,-1.7,,0.3,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 06:30:00,-0.7,1034.5,1,94,-1.6,,0.3,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 06:45:00,-0.5,1034.6,1.1,94,-1.3,,2.1,,9.7,131,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 07:00:00,-0.6,1034.8,0.9,94,-1.3,,0.1,,1.6,,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 07:15:00,-0.4,1034.8,0.9,94,-1.2,,0.2,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 07:30:00,-0.3,1034.9,1,94,-1.2,,0.8,,4.8,78,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 07:45:00,-0.2,1035.1,1.2,94,-1.1,,0,,0.1,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 08:00:00,-0.1,1034.9,1.4,94,-1.1,,0,,0,,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 08:15:00,-0.1,1034.9,1.4,94,-0.9,,0.5,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 08:30:00,0,1034.7,1.2,94,-0.9,,0.1,,3.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 08:45:00,0.1,1034.9,1.4,94,-0.8,,2.4,,6.4,128,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 09:00:00,0.2,1035.1,0.7,94,-0.8,,1.5,,4.8,146,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 09:15:00,0.2,1035.2,0.8,94,-0.7,,0.4,,6.4,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 09:30:00,0.4,1035.2,0.8,93,-0.6,,1,,6.4,114,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 09:45:00,0.6,1035.2,0.8,93,-0.5,,0,,0.2,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 10:00:00,0.7,1035.1,0.3,92,-0.4,,0.7,,4.8,225,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000QI,2020-01-01 10:15:00,1,1035.2,0.4,92,-0.2,,0,,1.6,,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
