station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000QM,2020-01-04 15:00:00,14,1030,,49,3.4,,8,,17.7,313,0.4,14.8,0,0,0,0,,0,0,0,79,0,,,,0@1.2@557@14.8@412.6@3.15@-3.4@32.2,weatherlink
000QM,2020-01-04 15:30:00,13.2,1030.1,,51,3.3,,12.9,,22.5,304,0.4,14.8,,,,,,0,0,0,32,0,,,,0@1.2@557@14.8@412.6@3.15@-3.4@32.2,weatherlink
000QM,2020-01-04 16:00:00,12.5,1030.3,,52,2.9,,11.3,,20.9,292,0.4,14.8,0,0,0,0,,0,0,0,16,0,,,,0@1.2@557@14.8@412.6@3.25@-3.4@32.2,weatherlink
000QM,2020-01-04 16:30:00,12.1,1030.3,,51,2.2,,12.9,,25.7,313,0.4,14.8,,,,,,0,0,0,0,0,,,,0@1.2@557@14.8@412.6@3.25@-3.4@32.2,weatherlink
000QM,2020-01-04 17:00:00,11.6,1030.4,,50,1.5,,11.3,,19.3,333,0.4,14.8,0,0,0,0,,0,0,0,0,0,,,,0@1.2@557@14.8@412.6@3.33@-3.4@32.2,weatherlink
000QM,2020-01-04 17:30:00,11.1,1030.5,,49,0.8,,11.3,,20.9,308,0.4,14.8,,,,,,0,0,0,0,0,,,,0@1.2@557@14.8@412.6@3.33@-3.4@32.2,weatherlink
000QM,2020-01-04 18:00:00,10.7,1030.8,0.8,50,0.7,,1.6,,6.4,227,0.4,14.8,0,0,0,0,,0,0,0,0,0,,,,0@1.2@557@14.8@412.6@3.40@-3.4@32.2,weatherlink
000QM,2020-01-04 18:30:00,9.5,1030.7,0.7,54,0.6,,3.2,,19.3,293,0.4,14.8,,,,,,0,0,0,0,0,,,,0@1.2@557@14.8@412.6@3.40@-3.4@32.2,weatherlink
000QM,2020-01-04 19:00:00,9.9,1030.7,0.4,52,0.5,,6.4,,22.5,300,0.4,14.8,0,0,0,0,,0,0,0,0,0,,,,0@1.2@557@14.8@412.6@3.45@-3.4@32.2,weatherlink
000QM,2020-01-04 19:30:00,9.2,1030.7,0.4,55,0.6,,3.2,,11.3,288,0.4,14.8,,,,,,0,0,0,0,0,,,,0@1.2@557@14.8@412.6@3.45@-3.4@32.2,weatherlink
