station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000QV,2020-01-28 22:10:00,-0.9,1009.4,,81,-3.8,,3.7,,12.9,293,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 22:20:00,-0.9,1009.4,,80,-3.9,,3.8,,11.3,286,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 22:30:00,-0.9,1009.4,,80,-4.1,,4.2,,12.9,301,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 22:40:00,-0.9,1009.6,,79,-4.1,,2.9,,8,268,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 22:50:00,-0.8,1009.4,,78,-4.2,,3.2,,16.1,291,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 23:00:00,-0.8,1009.6,,79,-4.1,,4.6,,14.5,295,,,0,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 23:10:00,-0.9,1009.6,,79,-4.1,,5.7,,16.1,292,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 23:20:00,-1.1,1009.6,,81,-3.9,,2.8,,9.7,287,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 23:30:00,-1.2,1009.5,,82,-4,,2.5,,12.9,277,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 23:40:00,-1.3,1009.4,,81,-4.2,,1.4,,6.4,291,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-28 23:50:00,-1.2,1009.3,,79,-4.3,,2,,11.3,287,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 00:00:00,-1.2,1009.4,,79,-4.4,,2.2,,11.3,288,,,0,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 00:10:00,-1.2,1009.4,,79,-4.4,,3,,12.9,256,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 00:20:00,-1.1,1009.4,,79,-4.3,,6.9,,17.7,292,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 00:30:00,-1.1,1009.4,,78,-4.4,,7.4,,24.1,283,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 00:40:00,-1.2,1009.4,,80,-4.2,,4.5,,16.1,272,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 00:50:00,-1.4,1009.3,,82,-4.2,,3.9,,11.3,271,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 01:00:00,-1.4,1009.3,,81,-4.2,,3.1,,11.3,277,,,0,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 01:10:00,-1.4,1009.2,,82,-4.2,,4.7,,11.3,267,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 01:20:00,-1.4,1009.4,,82,-4.1,,5.3,,14.5,275,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 01:30:00,-1.5,1009.7,,83,-4,,7.5,,20.9,269,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 01:40:00,-1.4,1009.6,,82,-4.1,,7.5,,25.7,277,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 01:50:00,-1.3,1010.1,,82,-3.9,,6.5,,14.5,289,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 02:00:00,-1.4,1010.1,,83,-3.8,,4.6,,11.3,281,,,0,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 02:10:00,-1.4,1010,,84,-3.8,,4.1,,11.3,275,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 02:20:00,-1.5,1010.2,,85,-3.7,,4.6,,12.9,285,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 02:30:00,-1.6,1010.1,,85,-3.7,,5,,16.1,281,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 02:40:00,-1.6,1010.1,,85,-3.7,,4.8,,12.9,284,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 02:50:00,-1.5,1010.2,,86,-3.6,,4.1,,14.5,278,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 03:00:00,-1.4,1010.3,0.9,84,-3.8,,3.5,,14.5,262,,,0,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 03:10:00,-1.3,1010.3,0.9,83,-3.8,,3.1,,16.1,282,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
000QV,2020-01-29 03:20:00,-1.2,1010.3,0.9,81,-4.1,,5.4,,22.5,291,,,,,,,,,0,,,,,,,@@@@1.8@@@@,wlkLive
