station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000RH,2024-01-01 00:00:00,5.4,1016.3,,99,5.3,,2.8,,8,191,,,0.2,,,,,,0,,,,,,,@@@@0.2,wlkLive
000RH,2024-01-01 00:15:00,5.4,1016.3,,99,5.3,,2.9,,9.7,194,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000RH,2024-01-01 00:30:00,5.3,1016.2,,99,5.1,,2.6,,8,214,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000RH,2024-01-01 00:45:00,5.4,1016.4,,99,5.3,,2.8,,9.7,208,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000RH,2024-01-01 01:00:00,5.6,1016.3,,100,5.6,,2.6,,8,195,,,0.2,,,,,,0.2,,,,,,,@@@@0.4,wlkLive
000RH,2024-01-01 01:15:00,5.8,1016.2,,99,5.7,,2.8,,12.9,189,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
000RH,2024-01-01 01:30:00,5.7,1016.2,,99,5.6,,1.6,,6.4,210,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
000RH,2024-01-01 01:45:00,5.6,1016.4,,99,5.4,,1.7,,9.7,179,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
000RH,2024-01-01 02:00:00,5.7,1016.2,,99,5.6,,4.1,,14.5,185,,,0.4,0.8,,,,,0.8,,,,,,,@@@@0.8,wlkLive
000RH,2024-01-01 02:15:00,5.7,1016.3,,99,5.6,,4.4,,12.9,191,,,,,,,,,0.2,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 02:30:00,5.7,1016.4,,99,5.5,,4.4,,12.9,184,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 02:45:00,5.7,1016.1,,99,5.5,,3.7,,8,183,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 03:00:00,5.7,1016.2,-0.1,99,5.6,,3.7,,9.7,182,,,0.2,0.8,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 03:15:00,5.8,1016.1,-0.2,99,5.7,,3.6,,11.3,184,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 03:30:00,5.9,1016.2,-0.1,99,5.8,,4,,12.9,184,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 03:45:00,5.9,1016.1,-0.2,99,5.8,,3.8,,12.9,192,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 04:00:00,5.9,1016.1,-0.2,99,5.8,,2.2,,6.4,195,,,0,0.6,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 04:15:00,5.9,1016.1,-0.2,99,5.8,,2.8,,8,194,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 04:30:00,5.9,1016,-0.3,99,5.8,,4.3,,9.7,190,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 04:45:00,5.9,1016.2,-0.1,99,5.7,,3.2,,8,195,,,,,,,,,0,,,,,,,@@@@1,wlkLive
000RH,2024-01-01 05:00:00,5.9,1016,-0.2,99,5.8,,3.8,,11.3,193,,,0,0.2,1,,,,0,,,,,,,@@@@1,wlkLive
