station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000RI,2021-01-01 00:00:00,-2.8,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 00:45:00,-2.3,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 01:00:00,-2.3,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 01:45:00,-1.9,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 02:00:00,-1.6,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 03:00:00,-1.8,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 03:15:00,-1.8,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 03:45:00,-1.8,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 04:00:00,-1.9,,,96,,,0,,,246,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 04:45:00,-2.2,,,96,,,0,,,150,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 05:00:00,-2.2,,,96,,,0,,,150,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 05:45:00,-2.3,,,96,,,0,,,150,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 06:00:00,-2.2,,,96,,,0,,,150,,,,,,0,,,0,,,,,,,@@@@@@@@,wlkLivePostprocessed
000RI,2021-01-01 07:00:00,-2.3,,,96,,,0,,,150,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 07:45:00,-2.8,,,96,,,0,,,44,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 08:00:00,-2.9,,,96,,,1.6,,,5,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 09:00:00,-2.4,,,97,,,0,,,40,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 09:45:00,-1.6,,,97,,,1.6,,,5,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 10:10:00,-1.3,,,96,,,0,,,5,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 10:45:00,-0.8,,,96,,,3.2,,,12,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
000RI,2021-01-01 11:00:00,-0.8,,,96,,,1.6,,,9,,,,,,,,,0,,,,,,,@@@@@@@@,wlkLive
