station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000RJ,2022-01-01 00:00:00,3.3,1028.9,,98,3,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 00:15:00,3.3,1028.6,,98,3,,0.9,,3.2,140,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 00:30:00,3.2,1028.6,,98,2.9,,0,,0.2,140,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 00:45:00,3.3,1028.7,,98,3,,0.2,,1.6,140,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 01:00:00,3.3,1028.5,,98,3.1,,0.1,,1.6,140,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 01:15:00,3.5,1028.4,,98,3.2,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 01:30:00,3.5,1028.3,,98,3.2,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 01:45:00,3.4,1028.3,,98,3.2,,0.8,,3.2,140,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 02:00:00,3.4,1028.4,,98,3.1,,0.8,,4.8,140,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 02:15:00,3.3,1028.5,,98,3,,1.4,,3.2,140,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 02:30:00,3.2,1028.1,,98,2.9,,1.5,,4.8,140,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 02:45:00,3.1,1027.9,,98,2.8,,0,,1.6,140,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 03:00:00,3.1,1027.9,-1,98,2.8,,0.9,,4.8,150,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 03:15:00,3.1,1027.8,-1.1,98,2.8,,0.7,,4.8,151,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 03:30:00,3.1,1027.9,-1,98,2.9,,0,,0.2,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 03:45:00,3.2,1028,-0.9,98,2.9,,0.4,,3.2,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 04:00:00,3.3,1028,-0.5,98,3,,0,,1.6,150,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 04:15:00,3.3,1028,-0.5,98,3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 04:30:00,3.3,1028,-0.5,98,3,,0,,0.1,150,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000RJ,2022-01-01 04:45:00,3.3,1028,-0.5,98,3,,0,,0,0,,,,,,,,,0.2,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 05:00:00,3.1,1028,-0.4,98,2.9,,0.2,,3.2,150,,,0.2,0.2,0.2,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 05:15:00,3,1028,-0.4,98,2.8,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 05:30:00,2.9,1028.1,-0.3,98,2.6,,0.1,,1.6,150,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 05:45:00,2.7,1028.2,-0.2,98,2.4,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 06:00:00,2.4,1028.2,0.3,98,2.1,,0,,0,0,,,0,0.2,0.2,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 06:15:00,2.3,1028.1,0.2,98,2,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 06:30:00,2.2,1028.2,0.3,98,1.9,,0,,1.6,150,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 06:45:00,2,1028.3,0.4,98,1.7,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 07:00:00,1.9,1028.3,0.3,98,1.7,,0,,0,0,,,0,0.2,0.2,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 07:15:00,1.8,1028.4,0.4,98,1.6,,0,,1.6,150,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 07:30:00,1.7,1028.6,0.6,98,1.4,,0.5,,3.2,150,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 07:45:00,1.4,1028.8,0.8,98,1.1,,0.3,,1.6,108,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 08:00:00,1.3,1028.8,0.8,98,0.9,,0,,0.1,0,,,0,,0.2,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 08:15:00,1.2,1028.6,0.6,98,0.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 08:30:00,1.3,1028.6,0.6,98,1.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 08:45:00,1.5,1028.5,0.5,98,1.2,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 09:00:00,1.7,1028.6,0.4,98,1.5,,0,,0,0,,,0,,0.2,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 09:15:00,1.9,1028.6,0.4,98,1.7,,0.9,,3.2,106,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 09:30:00,2.2,1028.8,0.6,98,1.9,,0.4,,3.2,106,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 09:45:00,2.7,1028.6,0.4,98,2.4,,0.2,,1.6,79,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 10:00:00,3.3,1028.8,0.5,98,3.1,,0.3,,3.2,76,,,0,,0.2,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 10:15:00,3.6,1028.6,0.3,99,3.4,,0.7,,3.2,299,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 10:30:00,4.2,1028.6,0.3,99,4,,0,,1.6,299,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 11:00:00,6,1028.4,-0.4,99,5.8,,1.5,,3.2,299,,,0,,,0.2,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 11:15:00,6.9,1028.4,-0.4,99,6.7,,0.6,,3.2,299,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 11:30:00,7.8,1028,-0.8,99,7.6,,0.4,,3.2,299,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 11:45:00,8.7,1027.7,-1.1,99,8.6,,1.2,,3.2,299,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 12:00:00,9.5,1027.5,-1.1,99,9.4,,1.2,,3.2,250,,,0,,,0.2,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 12:15:00,10.1,1027.2,-1.4,99,9.9,,2.4,,4.8,227,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 12:30:00,10.9,1027.2,-1.4,93,9.8,,3.1,,6.4,290,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 12:45:00,11.6,1026.9,-1.7,88,9.7,,2.9,,6.4,288,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 13:00:00,12.3,1026.7,-2.1,85,9.8,,1.5,,3.2,285,,,0,,,0.2,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 13:30:00,13.1,1026.3,-2.5,80,9.6,,0.5,,3.2,40,,,,,,,,,0,,,,,,,@@@@0.2@@@@,wlkLive
000RJ,2022-01-01 14:00:00,13.4,1026,-2.4,77,9.6,,0.7,,4.8,93,,,0.2,0.2,0.2,0.4,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 14:15:00,13.3,1025.9,-2.5,77,9.4,,1.6,,6.4,51,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 14:30:00,13.1,1026.2,-2.2,80,9.6,,3.1,,12.9,21,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 14:45:00,12.4,1026.1,-2.3,80,9,,3.3,,9.7,24,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 15:00:00,11.9,1025.8,-1.7,81,8.7,,2.5,,11.3,58,,,0,0.2,0.2,0.4,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 15:15:00,11.4,1025.9,-1.6,82,8.5,,2.8,,8,54,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 15:30:00,11.2,1026,-1.5,83,8.4,,1.8,,4.8,,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 15:45:00,11.1,1026,-1.5,83,8.3,,0.5,,3.2,27,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 16:00:00,10.4,1025.9,-0.8,84,7.7,,0.3,,3.2,29,,,0,0.2,0.2,0.4,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 16:15:00,9.6,1025.9,-0.8,86,7.4,,0,,1.6,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 16:30:00,8.7,1026,-0.7,88,6.8,,0.5,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 16:45:00,7.9,1026,-0.7,90,6.3,,0.7,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 17:00:00,7.3,1026,,91,6,,0.8,,3.2,28,,,0,,0.2,0.2,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 17:15:00,6.7,1026.2,0.2,92,5.4,,0.5,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 17:30:00,6.2,1026.2,0.2,93,5.1,,0.7,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 17:45:00,5.9,1026.2,0.2,93,4.9,,0.8,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 18:00:00,5.3,1026.3,0.5,94,4.3,,0.2,,3.2,28,,,0,,0.2,0.2,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 18:15:00,4.9,1026.5,0.7,94,3.9,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 18:30:00,4.6,1026.4,0.6,94,3.7,,0.9,,4.8,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 18:45:00,4.2,1026.4,0.6,95,3.4,,0.8,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 19:00:00,3.9,1026.4,0.5,95,3.1,,0,,0,0,,,0,,0.2,0.2,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 19:15:00,3.7,1026.6,0.7,95,3.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 19:30:00,3.3,1026.5,0.6,95,2.5,,0.1,,1.6,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 19:45:00,3.4,1026.6,0.7,96,2.8,,1.3,,4.8,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 20:00:00,3.2,1026.5,0.5,96,2.6,,0.2,,1.6,28,,,0,,,0.2,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 20:15:00,2.8,1026.3,0.3,95,2.1,,0.1,,1.6,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 20:30:00,2.4,1026.6,0.6,96,1.8,,0.9,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 20:45:00,2.2,1026.4,0.4,95,1.5,,0.2,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 21:00:00,2.1,1026.3,,96,1.6,,0.1,,1.6,28,,,0,,,0.2,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 21:15:00,2.2,1026.3,,96,1.7,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 21:30:00,2.1,1026.5,0.2,96,1.6,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 21:45:00,2,1026.6,0.3,96,1.4,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 22:00:00,1.7,1026.4,,96,1.2,,0.6,,3.2,28,,,0,,,0.2,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 22:15:00,1.6,1026.6,0.2,96,1.1,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RJ,2022-01-01 22:30:00,1.4,1026.7,0.3,96,0.9,,0.7,,3.2,28,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
