station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000RN,2021-02-06 15:50:00,20.8,1000.9,,27,1.1,,,,19.3,349,20.8,20.8,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@14.7@14.2@14.7@12:47pm@4:51pm@21.1@18.3@0@55@55@55@12:47pm@12:47pm@1649@2448@+0100,wlkIPxml
000RN,2021-02-06 16:00:00,21.1,1000.7,,27,1.1,,9.7,,19.3,344,20.8,21.1,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@15.8@14.2@15.8@12:47pm@5:01pm@20@18.9@0@53@53@55@5:00pm@12:47pm@1701@2448@+0100,wlkIPxml
000RN,2021-02-06 16:10:00,21.2,1001.4,,27,1.1,,6.4,,16.1,322,20.8,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@16.3@14.2@16.3@12:47pm@5:09pm@21.1@18.9@0@51@51@55@5:11pm@12:47pm@1703@2448@+0100,wlkIPxml
000RN,2021-02-06 16:20:00,20.6,1001.8,,28,1.7,,6.4,,12.9,354,20.6,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@16.6@14.2@16.6@12:47pm@5:19pm@20.6@18.3@0@50@50@55@5:20pm@12:47pm@1703@1720@+0100,wlkIPxml
000RN,2021-02-06 16:30:00,20.2,1001.5,,30,2.2,,8,,12.9,354,20.2,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@16.7@14.2@16.7@12:47pm@5:28pm@20@18.3@0@50@50@55@5:20pm@12:47pm@1703@1731@+0100,wlkIPxml
000RN,2021-02-06 16:40:00,20.6,1001.3,,27,1.1,,8,,14.5,2,20.2,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@16.8@14.2@16.8@12:47pm@5:41pm@20.6@18.3@0@49@49@55@5:32pm@12:47pm@1703@1731@+0100,wlkIPxml
000RN,2021-02-06 16:50:00,20.3,1001.1,,29,1.7,,6.4,,11.3,354,20.2,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@16.9@14.2@16.9@12:47pm@5:46pm@20.6@18.3@0@49@49@55@5:32pm@12:47pm@1703@1731@+0100,wlkIPxml
000RN,2021-02-06 17:00:00,20.1,1001,,29,1.7,,6.4,,11.3,9,20.1,21.2,0,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@16.9@14.2@16.9@12:47pm@6:01pm@20@17.8@0@48@48@55@5:59pm@12:47pm@1703@1759@+0100,wlkIPxml
000RN,2021-02-06 17:10:00,20.3,1000.9,,28,1.1,,8,,12.9,16,20.1,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@16.9@14.2@16.9@12:47pm@6:01pm@20.6@18.3@0@48@48@55@5:59pm@12:47pm@1703@1759@+0100,wlkIPxml
000RN,2021-02-06 17:20:00,20.4,1000.8,,27,0.6,,6.4,,14.5,6,20.1,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17@14.2@17@12:47pm@6:16pm@20.6@18.3@0@48@48@55@5:59pm@12:47pm@1703@1759@+0100,wlkIPxml
000RN,2021-02-06 17:30:00,20.9,1000.8,,26,0.6,,8,,14.5,38,20.1,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17@14.2@17@12:47pm@6:16pm@21.1@18.3@0@47@47@55@6:27pm@12:47pm@1703@1759@+0100,wlkIPxml
000RN,2021-02-06 17:40:00,20.3,1000.9,,30,2.2,,3.2,,11.3,354,20.1,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17@14.2@17@12:47pm@6:16pm@20.6@18.3@0@48@47@55@6:27pm@12:47pm@1703@1759@+0100,wlkIPxml
000RN,2021-02-06 17:50:00,20.1,1000.8,,30,1.7,,4.8,,14.5,12,20,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17@14.2@17@12:47pm@6:16pm@20@18.3@0@48@47@55@6:27pm@12:47pm@1703@1849@+0100,wlkIPxml
000RN,2021-02-06 18:00:00,20.2,1000.7,-0.2,29,1.7,,4.8,,12.9,4,20,21.2,0,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.1@14.2@17.1@12:47pm@7:01pm@20@18.3@0@48@47@55@6:27pm@12:47pm@1703@1849@+0100,wlkIPxml
000RN,2021-02-06 18:10:00,20.1,1000.7,-0.2,28,1.1,,9.7,,16.1,339,20,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17@14.2@17.1@12:47pm@7:01pm@19.4@17.8@0@47@47@55@6:27pm@12:47pm@1703@1849@+0100,wlkIPxml
000RN,2021-02-06 18:20:00,20.8,1001,0.1,26,0.6,,9.7,,16.1,19,20,21.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17@14.2@17.1@12:47pm@7:01pm@21.1@18.3@0@47@47@55@6:27pm@12:47pm@1703@1849@+0100,wlkIPxml
000RN,2021-02-06 18:30:00,21.3,1000.4,-0.5,26,1.1,,9.7,,14.5,19,20,21.3,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.1@14.2@17.1@12:47pm@7:01pm@21.1@18.9@0@47@47@55@6:27pm@12:47pm@1925@1849@+0100,wlkIPxml
000RN,2021-02-06 18:40:00,20.9,1000.5,-0.4,28,1.7,,8,,14.5,56,20,21.4,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.1@14.2@17.1@12:47pm@7:34pm@21.1@18.9@0@47@47@55@6:27pm@12:47pm@1933@1849@+0100,wlkIPxml
000RN,2021-02-06 18:50:00,20.7,1000.4,-0.5,27,1.1,,9.7,,16.1,338,20,21.4,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.1@14.2@17.1@12:47pm@7:34pm@20.6@18.3@0@47@47@55@6:27pm@12:47pm@1933@1849@+0100,wlkIPxml
000RN,2021-02-06 19:00:00,21.3,1000.2,-0.5,27,1.7,,9.7,,14.5,325,20,21.4,0,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.2@14.2@17.2@12:47pm@7:54pm@20.6@18.9@0@46@46@55@7:53pm@12:47pm@1933@1849@+0100,wlkIPxml
000RN,2021-02-06 19:10:00,21.4,1000.1,-0.6,27,1.7,,8,,14.5,13,20,21.4,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.2@14.2@17.2@12:47pm@7:54pm@21.7@19.4@0@46@46@55@7:53pm@12:47pm@2009@1849@+0100,wlkIPxml
000RN,2021-02-06 19:20:00,21,1000.1,-0.6,29,2.2,,4.8,,9.7,17,20,21.5,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.2@14.2@17.2@12:47pm@8:16pm@21.1@18.9@0@47@46@55@7:53pm@12:47pm@2010@1849@+0100,wlkIPxml
000RN,2021-02-06 19:30:00,21.3,999.7,-1,28,2.2,,9.7,,16.1,360,20,21.5,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.2@14.2@17.2@12:47pm@8:16pm@21.1@18.9@0@46@46@55@7:53pm@12:47pm@2010@1849@+0100,wlkIPxml
000RN,2021-02-06 19:40:00,21.4,1000.1,-0.6,29,2.8,,6.4,,11.3,57,20,21.5,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@19.3@17.2@14.2@17.2@12:47pm@8:16pm@21.7@19.4@0@46@46@55@7:53pm@12:47pm@2010@1849@+0100,wlkIPxml
000RN,2021-02-06 19:50:00,21.8,999.5,-1.2,26,1.7,,11.3,,25.7,18,20,21.8,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@25.7@17.2@14.2@17.2@12:47pm@8:16pm@21.7@20@0@46@46@55@7:53pm@12:47pm@2050@1849@+0100,wlkIPxml
000RN,2021-02-06 20:00:00,21.7,999.9,-1.1,26,1.1,,9.7,,25.7,177,20,21.9,0,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@25.7@17.2@14.2@17.3@12:47pm@8:51pm@21.7@19.4@0@46@46@55@7:53pm@12:47pm@2051@1849@+0100,wlkIPxml
000RN,2021-02-06 20:10:00,21.1,999.7,-1.3,29,2.2,,6.4,,12.9,31,20,21.9,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@25.7@17.2@14.2@17.3@12:47pm@8:51pm@21.1@18.9@0@46@46@55@7:53pm@12:47pm@2051@1849@+0100,wlkIPxml
000RN,2021-02-06 20:20:00,20.9,999.6,-1.4,30,2.8,,8,,12.9,73,20,21.9,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@25.7@17.2@14.2@17.3@12:47pm@8:51pm@21.1@18.9@0@46@46@55@7:53pm@12:47pm@2051@1849@+0100,wlkIPxml
000RN,2021-02-06 20:30:00,20.8,999.7,-1.3,28,1.7,,4.8,,14.5,39,20,21.9,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@25.7@17.3@14.2@17.3@12:47pm@8:51pm@20@18.3@0@47@46@55@7:53pm@12:47pm@2051@1849@+0100,wlkIPxml
000RN,2021-02-06 20:40:00,22.2,999.7,-1.3,25,1.1,,11.3,,40.2,344,20,22.2,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@40.2@17.3@14.2@17.3@12:47pm@8:51pm@20.6@20@0@46@46@55@7:53pm@12:47pm@2140@1849@+0100,wlkIPxml
000RN,2021-02-06 20:50:00,22.2,999.6,-1.4,25,1.1,,11.3,,38.6,312,20,22.4,,,,,,0,0,0,0,0,,,,0@@0@@322.6@@@40.2@17.3@14.2@17.3@12:47pm@9:41pm@20@20.6@0@46@46@55@7:53pm@12:47pm@2143@1849@+0100,wlkIPxml
