station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000RT,2021-01-01 00:00:00,1.1,1005.2,,95,0.3,,0,,0,0,,,0.4,,,,,,0.8,,,,,,,@@@@0.4@@@@,wlkLive
000RT,2021-01-01 00:15:00,1,1005.3,,95,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RT,2021-01-01 00:30:00,0.9,1005.2,,96,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.4@@@@,wlkLive
000RT,2021-01-01 00:45:00,1,1005.1,,96,0.4,,0.4,,3.2,67,,,,,,,,,0.2,,,,,,,@@@@0.6@@@@,wlkLive
000RT,2021-01-01 01:00:00,1,1005,,96,0.4,,0.2,,3.2,88,,,0.2,,,,,,0.2,,,,,,,@@@@0.6@@@@,wlkLive
000RT,2021-01-01 01:15:00,0.9,1005,,96,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.6@@@@,wlkLive
000RT,2021-01-01 01:30:00,0.9,1005.1,,96,0.3,,0,,0,0,,,,,,,,,0.2,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 01:45:00,0.8,1005,,96,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 02:00:00,0.8,1005,,96,0.3,,0,,0,0,,,0.2,0.8,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 02:15:00,0.8,1005,,96,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 02:30:00,0.8,1005,,96,0.3,,0,,1.6,90,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 02:45:00,0.8,1004.9,,97,0.3,,0,,1.6,90,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 03:00:00,0.8,1004.9,-0.3,97,0.3,,0,,1.6,92,,,0,0.4,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 03:15:00,0.7,1004.9,-0.3,97,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 03:30:00,0.7,1004.8,-0.4,97,0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 03:45:00,0.7,1004.8,-0.4,97,0.3,,0,,1.6,92,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 04:00:00,0.7,1004.7,-0.3,97,0.3,,1.3,,4.8,84,,,0,0.2,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 04:15:00,0.7,1004.7,-0.3,97,0.2,,1.9,,4.8,23,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 04:30:00,0.6,1004.6,-0.4,97,0.1,,1.5,,6.4,38,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 04:45:00,0.5,1004.6,-0.4,96,0,,1.4,,4.8,33,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 05:00:00,0.4,1004.6,-0.4,96,-0.1,,0.3,,3.2,59,,,0,,0.8,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 05:15:00,0.3,1004.5,-0.5,96,-0.3,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 05:30:00,0.3,1004.5,-0.5,96,-0.3,,0.4,,3.2,55,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 05:45:00,0.1,1004.7,-0.3,95,-0.6,,0.1,,1.6,59,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 06:00:00,0.1,1004.8,-0.1,96,-0.6,,0,,0,0,,,0,,0.4,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 06:15:00,0.1,1004.8,-0.1,96,-0.4,,0,,1.6,59,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 06:30:00,0.2,1004.8,-0.1,96,-0.4,,0.1,,1.6,59,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 06:45:00,0.2,1004.8,-0.1,95,-0.5,,0,,1.6,59,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 07:00:00,0.1,1004.8,0.1,96,-0.5,,0,,0,,,,0,,0.2,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 07:15:00,0,1004.9,0.2,95,-0.7,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 07:30:00,0,1004.8,0.1,95,-0.7,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 07:45:00,,1004.9,0.2,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 08:00:00,,1005,0.4,,,,,,,,,,0,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 08:15:00,,1005.1,0.5,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 08:30:00,,1005.3,0.7,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 08:45:00,,1005.3,0.7,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 09:00:00,,1005.4,0.6,,,,,,,,,,0,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 09:15:00,,1005.4,0.6,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 09:30:00,,1005.5,0.7,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 09:45:00,,1005.4,0.6,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 10:00:00,,1005.3,0.5,,,,,,,,,,0,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 10:15:00,,1005.2,0.4,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 10:30:00,,1005.4,0.6,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 10:45:00,,1005.2,0.4,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 11:00:00,,1005,,,,,,,,,,,0,,,0.8,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 11:15:00,,1004.8,-0.2,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 11:30:00,,1004.6,-0.4,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 11:45:00,,1004.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 12:00:00,,1004.4,-1,,,,,,,,,,0,,,0.4,,,,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 12:15:00,2.8,1004.1,-1.3,87,0.8,,0.9,,4.8,7,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 12:30:00,3.3,1003.8,-1.6,81,0.4,,1.8,,6.4,7,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 12:45:00,3,1003.7,-1.7,79,-0.2,,1.2,,4.8,28,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 13:00:00,3.3,1003.5,-1.8,83,0.6,,1,,3.2,68,,,0,,,0.2,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 13:15:00,3.3,1003.5,-1.8,83,0.7,,1.1,,3.2,95,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 13:30:00,3.3,1003.4,-1.9,77,-0.4,,2,,8,22,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 13:45:00,3.2,1003.4,-1.9,78,-0.3,,1.4,,4.8,57,,,,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
000RT,2021-01-01 14:00:00,2.9,1003.5,-1.5,80,-0.1,,0.9,,4.8,29,,,0,,,,,,0,,,,,,,@@@@0.8@@@@,wlkLive
