station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SB,2020-06-18 20:10:00,14.3,1013.8,,90,12.7,,0,,6.4,,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 20:20:00,14.3,1013.9,,90,12.7,,2.4,,11.3,203,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 20:30:00,14.1,1014.1,,90,12.5,,2.4,,11.3,225,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 20:40:00,13.9,1014.2,,91,12.5,,1.6,,6.4,225,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 20:50:00,13.7,1014.4,,91,12.3,,1.6,,9.7,225,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 21:00:00,13.5,1014.5,,91,12.1,,0,,6.4,,10.4,18.6,0,0,0,0,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 21:10:00,13.3,1014.5,,91,11.9,,0,,4.8,,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 21:20:00,13.3,1014.7,,91,11.8,,0,,6.4,,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 21:30:00,13.2,1014.7,,91,11.8,,0.8,,8,203,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 21:40:00,13.2,1014.8,,91,11.7,,0,,4.8,,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 21:50:00,13.2,1014.8,,91,11.7,,0.8,,4.8,203,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 22:00:00,13.2,1014.9,,91,11.7,,0,,3.2,,10.4,18.6,0,0,0,0,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 22:10:00,13.3,1015.1,,91,11.9,,0,,4.8,,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 22:20:00,13.4,1015.1,,91,12,,0.8,,4.8,203,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 22:30:00,13.5,1015.1,,91,12.1,,0.8,,3.2,225,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 22:40:00,13.5,1015,,91,12.1,,0.8,,8,203,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 22:50:00,13.4,1015.1,,91,12,,0,,4.8,,10.4,18.6,,,,,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
000SB,2020-06-18 23:00:00,13.4,1015.2,1.4,91,12,,0,,3.2,,10.4,18.6,0,0,0,0,,5,0,0,,,,,,@@@@115.6@@@,weatherlink
