station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SC,2020-06-19 10:00:00,16.7,1018.7,,75,12.2,,3.1,,8.5,207,,,0,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 10:15:00,17.4,1018.6,,72,12.4,,1.6,,8.3,225,,,,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 10:30:00,17.6,1018.7,,72,12.5,,1.5,,8.2,193,,,,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 10:45:00,17.3,1018.8,,71,11.9,,2.7,,10.9,210,,,,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 11:00:00,17.7,1018.8,,70,12.2,,1.9,,5.6,197,,,0,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 11:15:00,18.1,1018.9,,69,12.2,,2.7,,7.9,208,,,,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 11:30:00,18.3,1018.8,,68,12.3,,2.8,,7,212,,,,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 11:45:00,18,1018.9,,69,12.2,,2.7,,5.7,201,,,,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 12:00:00,18.8,1018.9,,66,12.3,,2.4,,6.7,202,,,0,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
000SC,2020-06-19 12:15:00,18.8,1018.8,,64,11.8,,5.2,,11.8,167,,,,,,,,,0,,,,,,,@@@@5.8@@@@,wlkLive
