station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SD,2020-06-19 10:30:00,16.6,1019.2,,71,11.3,,2.4,,9.7,191,7.8,17.1,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 11:00:00,16.5,1019.2,,71,11.2,,4,,11.3,304,7.8,17.1,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 11:30:00,16.3,1019,,70,10.8,,2.4,,8,315,7.8,17.4,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 12:00:00,16.8,1019.2,,67,10.6,,2.4,,8,293,7.8,17.4,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 12:30:00,16.3,1019.3,,69,10.6,,3.2,,11.3,56,7.8,17.4,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 13:00:00,17.4,1019.1,-0.1,64,10.5,,2.4,,9.7,281,7.8,17.4,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 13:30:00,17.4,1019.1,-0.1,67,11.2,,4,,14.5,90,7.8,17.4,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 14:00:00,18.7,1019.1,-0.1,64,11.7,,4.8,,17.7,113,7.8,18.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 14:30:00,19.7,1019,-0.2,58,11.2,,4.8,,16.1,68,7.8,19.5,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 15:00:00,19.1,1019.2,,58,10.6,,6.4,,19.3,45,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 15:30:00,18.6,1019.2,,61,10.9,,6.4,,19.3,45,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 16:00:00,19.4,1019.3,0.2,60,11.4,,5.6,,14.5,23,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 16:30:00,19.4,1019.3,0.2,58,11,,4.8,,17.7,34,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 17:00:00,17.9,1019.5,0.4,59,9.8,,3.2,,11.3,34,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 17:30:00,18,1019.5,0.4,63,10.8,,3.2,,11.3,34,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 18:00:00,16.5,1019.9,0.7,66,10.1,,3.2,,11.3,34,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 18:30:00,15.6,1019.9,0.7,68,9.7,,1.6,,6.4,45,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 19:00:00,14.7,1020.3,1,74,10.1,,1.6,,4.8,34,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 19:30:00,13.4,1020.5,1.2,79,9.9,,3.2,,6.4,45,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 20:00:00,12.7,1020.9,1.4,81,9.5,,1.6,,6.4,45,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 20:30:00,11.7,1021,1.5,83,8.9,,1.6,,6.4,68,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 21:00:00,11.6,1021.2,1.3,83,8.8,,1.6,,6.4,56,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 21:30:00,11.4,1021.3,1.4,84,8.8,,1.6,,6.4,45,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 22:00:00,11.3,1021.2,0.9,84,8.7,,3.2,,9.7,45,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 22:30:00,11.1,1021.2,0.9,85,8.6,,1.6,,4.8,56,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 23:00:00,10.8,1021.2,0.3,86,8.5,,2.4,,6.4,45,7.8,19.9,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-19 23:30:00,11,1021,0.1,86,8.7,,1.6,,8,68,7.8,19.9,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-20 00:00:00,11.1,1021.1,,85,8.6,,3.2,,8,45,,,0,0,0,0,,,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-20 00:30:00,10.8,1021,,86,8.5,,2.4,,6.4,45,10.8,11.1,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-20 01:00:00,10.8,1021.1,,86,8.5,,4,,9.7,45,10.7,11.1,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-20 01:30:00,10.7,1021.2,,87,8.6,,3.2,,6.4,56,10.6,11.1,,,,,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
000SD,2020-06-20 02:00:00,10.5,1021.2,,86,8.3,,1.6,,6.4,34,10.6,11.1,0,0,0,0,,0,0,0,,,,,,@@@@246.2@@@,weatherlink
