station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SL,2021-01-01 00:00:00,-0.6,1007.2,,98,4.7,,3.6,,6.8,241,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 00:30:00,-0.9,1007.2,,98,5.3,,2.5,,3.2,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 01:00:00,-0.9,1007.2,,98,4.3,,4,,6.8,241,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 01:30:00,-1.2,1007.6,,98,3.4,,4,,8.6,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 02:00:00,-1.4,1007.7,,97,3.5,,4,,6.8,241,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 02:30:00,-1.7,1008.1,,97,4.6,,4.3,,6.8,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 03:00:00,-1.8,1008.2,1,97,5.3,,3.2,,5,241,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 03:30:00,-1.8,1008.2,1,97,5.5,,4.3,,6.8,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 04:00:00,-1.8,1008.3,1.1,97,5.5,,4,,5,241,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 04:30:00,-1.8,1008.3,1.1,97,5.2,,6.1,,8.6,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 05:00:00,-1.9,1008.3,0.6,97,3.7,,4,,6.8,241,,,0,0,0,0,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 05:30:00,-1.9,1008.3,0.6,97,3.4,,3.2,,6.8,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 06:00:00,-2,1008.6,0.4,97,4.1,,6.1,,8.6,241,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 06:30:00,-2.1,1009,0.8,97,4.2,,3.2,,6.8,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 07:00:00,-2.2,1009.4,1.1,97,4.2,,3.6,,6.8,241,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 07:30:00,-2,1009.4,1.1,97,4.2,,4.7,,6.8,241,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 08:00:00,-1.9,1009.8,1.5,97,4.4,,5,,8.6,243,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 08:30:00,-1.9,1009.8,1.5,97,4.7,,6.8,,10.1,243,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 09:00:00,-2,1010.1,1.5,97,4.5,,4.3,,8.6,243,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 09:30:00,-1.8,1010.3,1.7,97,5.4,,3.2,,6.8,243,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 10:00:00,-1.7,1010.4,1,97,5,,4.3,,6.8,243,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 10:30:00,-1.8,1010.3,0.9,97,6,,6.1,,10.1,243,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 11:00:00,-1.7,1010.1,0.3,97,5.5,,6.5,,8.6,244,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 11:30:00,-1.7,1010.2,0.4,97,5.2,,4.7,,8.6,244,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 12:00:00,-1.6,1010,-0.1,97,4.6,,7.6,,10.1,245,,,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000SL,2021-01-01 12:30:00,-1.8,1010.1,,97,5.1,,6.5,,8.6,245,,,,,,,,0,0,0,,,,,,@@@@@@@,weatherlink
