station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SN,2024-01-23 15:00:00,13.7,1027.6,,50,3.5,,9.7,,20.9,158,3.2,14.7,0,0,0,0,,0,0,0,172,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 15:10:00,13.6,1027.7,,49,3,,11.3,,25.7,158,3.2,14.7,,,,,,0,0,0,138,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 15:20:00,13.2,1027.7,,49,2.7,,10.5,,19.3,146,3.2,14.7,,,,,,0,0,0,98,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 15:30:00,13.2,1028,,48,2.4,,9.7,,22.5,146,3.2,14.7,,,,,,0,0,0,78,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 15:40:00,12.7,1027.9,,49,2.2,,12.1,,22.5,146,3.2,14.7,,,,,,0,0,0,31,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 15:50:00,12.3,1028.2,,49,1.9,,10.5,,22.5,135,3.2,14.7,,,,,,0,0,0,19,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 16:00:00,12.1,1028,,50,1.9,,4,,14.5,135,3.2,14.7,0,0,0,0,,0,0,0,12,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 16:10:00,11.7,1028.2,,50,1.6,,0.8,,4.8,135,3.2,14.7,,,,,,0,0,0,8,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 16:20:00,10.5,1028.2,,59,2.8,,2.4,,6.4,293,3.2,14.7,,,,,,0,0,0,5,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 16:30:00,10.2,1028.3,,60,2.8,,7.2,,12.9,315,3.2,14.7,,,,,,0,0,0,0,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 16:40:00,10,1028.4,,61,2.8,,4.8,,11.3,304,3.2,14.7,,,,,,0,0,0,0,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 16:50:00,10,1028.4,,60,2.6,,0.8,,6.4,293,3.2,14.7,,,,,,0,0,0,0,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 17:00:00,9.7,1028.6,,61,2.6,,0.8,,3.2,225,3.2,14.7,0,0,0,0,,0,0,0,0,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 17:10:00,9.6,1028.8,,62,2.6,,0,,3.2,,3.2,14.7,,,,,,0,0,0,0,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 17:20:00,9.5,1029.1,,61,2.4,,1.6,,4.8,225,3.2,14.7,,,,,,0,0,0,0,,,,,@@@@35.2,weatherlink
000SN,2024-01-23 17:30:00,9.4,1029,,61,2.3,,0,,4.8,,3.2,14.7,,,,,,0,0,0,0,,,,,@@@@35.2,weatherlink
000SN,2024-01-25 14:10:00,13.7,1024.3,,66,7.4,,4.8,,14.5,180,1.8,14.4,,,,,,0,0,0,289,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 10:30:00,7.6,1026.4,,73,3,,1.6,,6.4,338,2.7,7.9,,,,,,0,0,0,204,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 10:40:00,7.7,1026.5,,74,3.4,,2.4,,6.4,338,2.7,7.9,,,,,,0,0,0,202,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 11:10:00,8.7,1026.3,,74,4.3,,0,,3.2,,2.7,8.5,,,,,,0,0,0,178,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 12:50:00,11.3,1025.2,,66,5.2,,0.8,,8,158,2.7,11.2,,,,,,0,0,0,380,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 13:00:00,11.4,1025.4,-1,66,5.3,,4,,11.3,180,2.7,11.6,0,0,0,0,,0,0,0,288,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 13:10:00,10.9,1025.1,-1.3,69,5.4,,6.4,,17.7,158,2.7,11.6,,,,,,0,0,0,223,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 13:20:00,10.8,1025.2,-1.2,71,5.7,,8,,17.7,158,2.7,11.6,,,,,,0,0,0,202,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 14:10:00,10.1,1025.5,-0.8,78,6.4,,4,,12.9,158,2.7,11.6,,,,,,0,0,0,82,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 14:20:00,10,1025.7,-0.6,79,6.5,,4,,12.9,158,2.7,11.6,,,,,,0,0,0,90,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 14:30:00,9.9,1025.5,-0.8,79,6.5,,3.2,,12.9,169,2.7,11.6,,,,,,0,0,0,115,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 14:40:00,9.9,1025.4,-0.9,80,6.7,,4,,9.7,158,2.7,11.6,,,,,,0,0,0,121,,,,,@@@@35.2,weatherlink
000SN,2024-01-26 14:50:00,9.9,1025.5,-0.8,80,6.7,,0.8,,6.4,158,2.7,11.6,,,,,,0,0,0,101,,,,,@@@@35.2,weatherlink
