station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SP,2020-07-24 09:50:00,27.8,1016.1,,36,11.3,,6.3,,19.3,2,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 10:00:00,28.3,1016.1,,34,10.9,,5.5,,12.9,2,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 10:10:00,28.3,1016.1,,33,10.7,,6.8,,14.5,18,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 10:20:00,28.2,1016.1,,32,10.1,,5.6,,19.3,54,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 10:30:00,28.3,1016.1,,32,10.1,,6.3,,16.1,48,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 10:40:00,28.4,1015.8,,30,9.4,,8.4,,14.5,349,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 10:50:00,28.9,1015.9,,30,9.6,,4.7,,16.1,27,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 11:00:00,28.9,1015.9,,31,9.9,,4.8,,17.7,45,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 11:10:00,28.6,1015.7,,30,9.1,,7.2,,14.5,3,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 11:20:00,28.4,1015.8,,32,10.2,,6.7,,17.7,21,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 11:30:00,28.9,1015.8,,34,11.4,,5.8,,16.1,22,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 11:40:00,29.4,1015.7,,30,10.2,,5.6,,16.1,47,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 11:50:00,29.4,1015.6,,30,9.8,,5.7,,11.3,43,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 12:00:00,29.7,1015.6,-0.5,29,9.7,,7.4,,25.7,24,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 12:10:00,29.8,1015.5,-0.6,28,9.2,,8.4,,19.3,340,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 12:20:00,30,1015.3,-0.8,27,9.2,,4.9,,12.9,316,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 12:30:00,29.9,1015.3,-0.8,30,10.6,,6.3,,17.7,27,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 12:40:00,30.2,1015.3,-0.8,28,9.8,,5.1,,14.5,9,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 12:50:00,30,1015,-1.1,27,9.2,,3.4,,9.7,40,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 13:00:00,29.9,1015,-1.1,30,10.3,,5.3,,17.7,20,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 13:10:00,30,1014.9,-1.2,28,9.7,,6.3,,17.7,27,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 13:20:00,30.2,1014.7,-1.4,27,9.2,,6.5,,14.5,29,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 13:30:00,29.8,1014.8,-1.3,27,8.9,,8.3,,17.7,359,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 13:40:00,29.8,1014.6,-1.5,27,8.7,,6.4,,16.1,331,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 13:50:00,29.7,1014.6,-1.5,27,8.9,,8.5,,20.9,356,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 14:00:00,29.5,1014.6,-1.3,29,9.5,,8.6,,17.7,336,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 14:10:00,30.3,1014.5,-1.4,28,9.7,,8.3,,17.7,347,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 14:20:00,30.1,1014.6,-1.3,28,9.7,,11.3,,20.9,349,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 14:30:00,30.5,1014.4,-1.5,27,9.4,,7.8,,16.1,7,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 14:40:00,30.6,1014.3,-1.6,29,10.6,,7.2,,22.5,7,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 14:50:00,30.3,1014.4,-1.5,28,9.5,,8.1,,19.3,360,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 15:00:00,30.8,1014.4,-1.2,28,9.9,,10.3,,20.9,356,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 15:10:00,30.2,1014.5,-1.1,28,9.6,,10.9,,20.9,358,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 15:20:00,30.1,1014.4,-1.2,28,9.5,,9.3,,19.3,346,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 15:30:00,29.7,1014.5,-1.1,30,10.2,,7.9,,16.1,359,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 15:40:00,30.5,1014.4,-1.2,28,9.9,,4.7,,14.5,19,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 15:50:00,30.3,1014.5,-1.1,28,9.5,,7.3,,17.7,358,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 16:00:00,30.5,1014.3,-0.7,28,10.1,,6.4,,12.9,348,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 16:10:00,30.5,1014.4,-0.6,28,10,,8.3,,16.1,347,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 16:20:00,30.4,1014.4,-0.6,28,9.8,,9.8,,17.7,345,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 16:30:00,29.9,1014.5,-0.5,28,9.4,,8.9,,17.7,346,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 16:40:00,29.8,1014.5,-0.5,28,9.5,,9.5,,19.3,352,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 16:50:00,29.8,1014.5,-0.5,28,9.4,,10.3,,17.7,357,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 17:00:00,29.9,1014.4,-0.2,29,9.7,,5.4,,14.5,20,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 17:10:00,29.9,1014.5,-0.1,28,9.6,,6.6,,16.1,348,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 17:20:00,29.6,1014.5,-0.1,30,10.2,,7.8,,17.7,359,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 17:30:00,29.7,1014.5,-0.1,30,10.1,,4.8,,12.9,23,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 17:40:00,29.4,1014.5,-0.1,30,9.8,,5.8,,12.9,7,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 17:50:00,29.4,1014.6,,30,9.9,,6.6,,14.5,360,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 18:00:00,29.4,1014.6,0.2,31,10.7,,4.1,,11.3,3,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 18:10:00,28.9,1014.6,0.2,31,9.9,,4.6,,12.9,33,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 18:20:00,28.4,1014.5,0.1,31,9.6,,5.7,,16.1,15,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 18:30:00,28.2,1014.7,0.3,32,9.9,,4.6,,9.7,2,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 18:40:00,27.7,1014.6,0.2,33,9.9,,4.8,,9.7,357,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 18:50:00,27.3,1014.6,0.2,34,10,,4.6,,8,354,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 19:00:00,26.8,1014.7,0.4,36,10.4,,3.5,,9.7,360,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 19:10:00,26.3,1014.8,0.5,36,10.2,,2.6,,8,3,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 19:20:00,26.1,1014.9,0.6,37,10.2,,2.6,,6.4,355,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 19:30:00,25.8,1014.9,0.6,40,10.9,,0.6,,3.2,350,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 19:40:00,25.2,1015,0.7,43,11.7,,0,,0,0,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 19:50:00,24.5,1015.1,0.8,44,11.4,,0.2,,3.2,357,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 20:00:00,23.9,1015.1,0.7,47,11.8,,0.3,,3.2,356,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 20:10:00,23.4,1015.3,0.9,51,12.7,,1.3,,3.2,356,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 20:20:00,22.9,1015.4,1,52,12.6,,1.2,,3.2,4,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 20:30:00,22.6,1015.5,1.1,52,12.4,,1.9,,4.8,359,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 20:40:00,22.4,1015.5,1.1,52,12.1,,2.3,,4.8,342,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 20:50:00,22.4,1015.6,1.2,51,11.8,,1.9,,4.8,341,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 21:00:00,22.3,1015.7,1.1,52,12.1,,2.5,,4.8,345,,,0,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
000SP,2020-07-24 21:10:00,22.1,1015.7,1.1,55,12.7,,2.8,,4.8,347,,,,,,,,,0,,,,,,,@@@@207.6@@@@,wlkLive
