station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SU,2021-01-01 00:00:00,-1.9,1007.6,,96,-2.5,,2.4,,4.8,69,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 00:10:00,-1.9,1007.7,,96,-2.4,,1.2,,3.2,68,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 00:20:00,-1.8,1007.7,,96,-2.3,,2.1,,4.8,72,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 00:30:00,-1.8,1007.7,,96,-2.4,,3,,4.8,54,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 00:40:00,-2,1007.6,,96,-2.6,,0.9,,3.2,100,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 00:50:00,-2.1,1007.8,,96,-2.6,,2.8,,4.8,56,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 01:00:00,-1.9,1007.8,,96,-2.4,,2.4,,4.8,100,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 01:10:00,-1.8,1007.7,,96,-2.4,,2,,4.8,47,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 01:20:00,-1.9,1007.7,,96,-2.5,,3.3,,6.4,61,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 01:30:00,-1.8,1007.8,,96,-2.4,,3.4,,6.4,66,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 01:40:00,-1.7,1007.8,,96,-2.2,,1.9,,4.8,64,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 01:50:00,-1.8,1007.9,,96,-2.3,,1.7,,4.8,81,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 02:00:00,-1.6,1008.1,,96,-2.1,,2.3,,4.8,63,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 02:10:00,-1.8,1008.1,,96,-2.4,,0.3,,1.6,102,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 02:20:00,-1.8,1008.1,,96,-2.3,,1.1,,3.2,97,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 02:30:00,-1.7,1008.1,,96,-2.3,,1.4,,3.2,97,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 02:40:00,-1.7,1008.3,,96,-2.3,,1.9,,3.2,93,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 02:50:00,-1.7,1008.2,,96,-2.3,,0.7,,3.2,108,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 03:00:00,-1.7,1008.4,0.8,96,-2.2,,1.4,,3.2,55,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 03:10:00,-1.6,1008.4,0.8,96,-2.2,,1.1,,3.2,66,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 03:20:00,-1.7,1008.5,0.9,96,-2.3,,1.2,,3.2,95,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 03:30:00,-1.8,1008.5,0.9,96,-2.3,,1.4,,3.2,70,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 03:40:00,-1.8,1008.7,1.1,96,-2.3,,1.9,,3.2,70,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 03:50:00,-1.7,1008.7,1.1,96,-2.2,,2.2,,3.2,73,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 04:00:00,-1.5,1008.6,0.8,96,-2.1,,2.1,,4.8,87,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 04:10:00,-1.6,1008.5,0.7,96,-2.2,,2.2,,4.8,42,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 04:20:00,-1.8,1008.6,0.8,96,-2.4,,1.1,,3.2,82,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 04:30:00,-2,1008.6,0.8,96,-2.6,,1.7,,4.8,58,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000SU,2021-01-01 04:40:00,-2,1008.6,0.8,96,-2.6,,3.6,,6.4,53,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
