station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SV,2025-01-01 00:00:00,7.6,1025.5,,96,6.6,,4.4,,8,158,7.6,7.6,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 00:10:00,7.5,1025.3,,96,6.6,,4,,9.7,135,7.5,7.6,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 00:20:00,7.4,1025.3,,96,6.6,,3.9,,6.4,135,7.4,7.6,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 00:30:00,7.5,1025.1,,96,6.6,,3.8,,11.3,248,7.4,7.6,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 00:40:00,7.5,1025,,96,6.6,,3.5,,8,158,7.4,7.6,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 00:50:00,7.7,1024.8,,96,6.6,,3.2,,8,248,7.4,7.7,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 01:00:00,7.7,1024.8,,96,6.6,,2.8,,8,225,7.4,7.7,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 01:10:00,8,1024.8,,97,7.3,,2.8,,6.4,248,7.4,8,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 01:20:00,8.2,1024.6,,96,7.2,,2.7,,4.8,225,7.4,8.2,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 01:30:00,8.4,1024.4,,97,7.9,,2.5,,4.8,293,7.4,8.4,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 01:40:00,8.7,1024.3,,97,7.9,,2.5,,9.7,225,7.4,8.7,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 01:50:00,8.9,1024.2,,97,8.4,,2.5,,8,248,7.4,8.9,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 02:00:00,9.3,1024.2,,97,8.4,,2.9,,16.1,248,7.4,9.3,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 02:10:00,9.7,1024.1,,97,9,,3.4,,14.5,225,7.4,9.7,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 02:20:00,9.9,1024,,96,8.8,,3.8,,16.1,270,7.4,9.9,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 02:30:00,10.1,1024,,96,9.4,,4.3,,12.9,248,7.4,10.1,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 02:40:00,10.3,1024,,96,9.4,,5.1,,16.1,248,7.4,10.3,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 02:50:00,10.4,1023.9,,96,9.4,,6,,14.5,248,7.4,10.4,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 03:00:00,10.6,1023.7,-1.8,95,9.8,,6.6,,19.3,248,7.4,10.6,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 03:10:00,10.6,1023.6,-1.9,95,9.8,,7.2,,20.9,225,7.4,10.6,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 03:20:00,10.7,1023.4,-2.1,95,9.8,,8,,16.1,248,7.4,10.7,,,,,,,,,0,,,,,@@0,weatherlink
000SV,2025-01-01 03:30:00,10.7,1023.2,-2.3,95,9.8,,8.4,,19.3,225,7.4,10.7,,,,,,,,,0,,,,,@@0,weatherlink
