station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SW,2021-01-01 00:00:00,1.1,1004.9,,94,0.3,,0.5,,1.6,204,,,0.2,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 00:15:00,1.1,1005.1,,94,0.3,,0.1,,1.6,195,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 00:30:00,1.2,1005.2,,94,0.3,,0.3,,1.6,331,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 00:45:00,1.2,1005.1,,95,0.4,,0.5,,1.6,199,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 01:00:00,1.3,1005.3,,95,0.5,,0.4,,3.2,313,,,0,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 01:15:00,1.3,1005.3,,95,0.6,,0.8,,3.2,166,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 01:30:00,1.3,1005.6,,95,0.5,,0.6,,1.6,141,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 01:45:00,1.3,1005.9,,95,0.5,,1,,4.8,173,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 02:00:00,1.2,1005.9,,95,0.4,,1,,3.2,166,,,0,0.2,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 02:15:00,1.2,1006,,94,0.3,,2.4,,6.4,342,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 02:30:00,1.2,1006.1,,92,0,,3.2,,9.7,346,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 02:45:00,1.3,1006.1,,91,-0.1,,1.3,,3.2,191,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 03:00:00,1.3,1006.1,1.2,91,-0.1,,1.7,,3.2,178,,,0,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 03:15:00,1.2,1006,1.1,91,-0.2,,1.6,,6.4,137,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 03:30:00,1.1,1006,1.1,91,-0.2,,1.7,,4.8,174,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 03:45:00,1.1,1006,1.1,89,-0.4,,2.5,,6.4,59,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 04:00:00,1.3,1006.1,0.8,89,-0.3,,2,,8,32,,,0,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 04:15:00,1.4,1006.2,0.9,89,-0.2,,1.2,,4.8,96,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 04:30:00,1.4,1006.2,0.9,89,-0.2,,1.9,,4.8,193,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 04:45:00,1.4,1006.2,0.9,88,-0.3,,2.1,,6.4,134,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 05:00:00,1.4,1006.2,0.3,88,-0.4,,1.2,,3.2,153,,,0,,0.2,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 05:15:00,1.6,1006.4,0.5,84,-0.8,,2.2,,14.5,349,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 05:30:00,1.6,1006.6,0.7,86,-0.5,,2,,6.4,125,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 05:45:00,1.6,1006.8,0.9,88,-0.2,,1,,3.2,214,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 06:00:00,1.5,1006.8,0.7,88,-0.2,,1,,3.2,159,,,0,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 06:15:00,1.3,1007.1,1,89,-0.3,,0.9,,3.2,193,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 06:30:00,1.2,1007.2,1.1,89,-0.3,,0.5,,1.6,174,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 06:45:00,1.1,1007.3,1.2,90,-0.4,,1.2,,3.2,223,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 07:00:00,1.1,1007.4,1.3,90,-0.4,,1,,3.2,197,,,0,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 07:15:00,0.9,1007.7,1.6,90,-0.6,,1.7,,3.2,239,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 07:30:00,0.7,1007.9,1.8,89,-0.8,,0.5,,1.6,288,,,,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 07:45:00,0.4,1008.1,2,89,-1.2,,1.4,,4.8,312,,,,,,,,,0,,7,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 08:00:00,0.3,1008.2,2,89,-1.3,,1,,3.2,319,,,0,,,,,,0,,0,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 08:15:00,0.2,1008.4,2.2,90,-1.3,,0.5,,3.2,327,,,,,,,,,0,,9,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 08:30:00,0.2,1008.3,2.1,90,-1.2,,0.7,,3.2,338,,,,,,,,,0,,28,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 08:45:00,0.4,1008.6,2.4,90,-1,,0.4,,1.6,336,,,,,,,,,0,,21,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 09:00:00,0.5,1008.6,1.8,90,-0.9,,0.7,,3.2,318,,,0,,,,,,0,,30,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 09:15:00,0.6,1008.7,1.9,90,-0.8,,0.5,,3.2,124,,,,,,,,,0,,12,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 09:30:00,0.7,1008.7,1.9,91,-0.7,,0.5,,3.2,263,,,,,,,,,0,,12,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 09:45:00,0.8,1008.9,2.1,91,-0.6,,0.6,,3.2,321,,,,,,,,,0,,42,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 10:00:00,0.9,1008.8,1.4,91,-0.4,,1.3,,4.8,332,,,0,,,,,,0,,76,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 10:15:00,1.3,1008.9,1.5,85,-0.9,,2.7,,6.4,335,,,,,,,,,0,,81,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 10:30:00,2,1008.9,1.5,77,-1.6,,4,,9.7,343,,,,,,,,,0,,105,0,,,,0@@@@392.2@@@@,wlkLive
000SW,2021-01-01 10:45:00,2.2,1008.9,1.5,78,-1.3,,2.2,,4.8,351,,,,,,,,,0,,137,0,,,,0@@@@392.2@@@@,wlkLive
