station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SX,2023-01-01 00:00:00,,1031.5,,,,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 00:10:00,,1031.3,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 00:20:00,,1031.3,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 00:30:00,,1031.4,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 00:40:00,,1031.6,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 00:50:00,,1031.5,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 01:00:00,,1031.6,,,,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 01:10:00,,1031.5,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 01:20:00,,1031.4,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 01:30:00,,1031.2,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 01:40:00,,1031.3,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 01:50:00,,1031.3,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 02:00:00,,1031.2,,,,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 02:10:00,,1031.3,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 02:20:00,,1031.3,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 02:30:00,,1031.3,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 02:40:00,,1031.1,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 02:50:00,,1031.1,,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 03:00:00,,1031.3,-0.2,,,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 03:10:00,,1031.4,-0.1,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 03:20:00,,1031.4,-0.1,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 03:30:00,,1031.1,-0.4,,,,0,,0,0,,,,,,,,,0,,,14.6,,,,14.6@@@@0,wlkLive
000SX,2023-01-01 03:40:00,,1031.2,-0.3,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 03:50:00,,1031,-0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 04:00:00,,1031,-0.6,,,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 04:10:00,,1030.8,-0.8,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 04:20:00,,1031,-0.6,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 04:30:00,,1031,-0.6,,,,0,,0,0,,,,,,,,,0,,,13.4,,,,13.4@@@@0,wlkLive
000SX,2023-01-01 04:40:00,,1031.2,-0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 04:50:00,,1031.1,-0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 05:00:00,,1031,-0.2,,,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 05:10:00,,1030.7,-0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 05:20:00,,1030.7,-0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 05:30:00,,1030.6,-0.6,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 05:40:00,,1030.8,-0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 05:50:00,,1030.8,-0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 06:00:00,,1031,-0.3,,,,0,,0,0,-43.3,-30.1,0,,,0,,,0,,,,,,,@@@@0,wlkLivePostprocessed
000SX,2023-01-01 06:10:00,,1030.8,-0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 06:20:00,,1030.9,-0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 06:30:00,,1031.1,-0.2,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 06:40:00,,1031.1,-0.2,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 06:50:00,,1031.2,-0.1,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 07:00:00,,1031.2,0.2,,,,0,,0,0,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 07:10:00,,1031.2,0.2,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 07:20:00,,1031.2,0.2,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 07:30:00,,1031.4,0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 07:40:00,,1031.4,0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 07:50:00,,1031.4,0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 08:00:00,,1031.4,0.4,,,,0,,0,0,,,0,,,,,,0,,,16,,,,16@@@@0,wlkLive
000SX,2023-01-01 08:10:00,,1031.4,0.4,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 08:20:00,,1031.5,0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 08:30:00,,1031.5,0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 08:40:00,,1031.6,0.6,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SX,2023-01-01 08:50:00,,1031.5,0.5,,,,0,,0,0,,,,,,,,,0,,,,,,,@@@@0,wlkLive
