station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000SZ,2024-01-01 00:00:00,6.4,1009.6,,86,4.3,,4.7,,12.9,318,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 00:15:00,6.7,1009.4,,86,4.5,,5.4,,16.1,325,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 00:30:00,6.8,1009.7,,86,4.6,,8.6,,22.5,333,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 00:45:00,6.6,1009.8,,85,4.3,,5.3,,19.3,337,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 01:00:00,6.5,1009.7,,86,4.3,,5.6,,12.9,333,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 01:15:00,6.4,1009.7,,86,4.3,,5.9,,16.1,338,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 01:30:00,6.5,1009.7,,86,4.3,,6.3,,16.1,,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 01:45:00,6.4,1009.9,,86,4.3,,5.3,,12.9,329,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 02:00:00,6.5,1010.1,,87,4.4,,5.7,,14.5,317,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 02:15:00,6.6,1010.1,,86,4.5,,5.3,,17.7,322,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 02:30:00,6.6,1010.1,,86,4.4,,4.8,,12.9,310,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 02:45:00,6.6,1010.2,,86,4.4,,5.8,,12.9,307,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 03:00:00,6.6,1010.3,0.7,86,4.3,,5.3,,11.3,321,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 03:15:00,6.6,1010.4,0.8,86,4.4,,4.9,,16.1,321,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 03:30:00,6.4,1010.5,0.9,87,4.3,,6.4,,14.5,334,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 03:45:00,6.3,1010.6,1,87,4.3,,5.3,,12.9,320,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 04:00:00,6.3,1010.5,0.8,87,4.3,,5.8,,14.5,326,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 04:15:00,6.2,1010.6,0.9,87,4.2,,5.9,,17.7,323,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 04:30:00,6.2,1010.8,1.1,87,4.2,,5.5,,16.1,315,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 04:45:00,6,1010.9,1.2,88,4.1,,4.6,,12.9,313,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 05:00:00,5.9,1011.1,1,88,4,,3.9,,14.5,343,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 05:15:00,5.7,1011.1,1,88,3.9,,4.3,,16.1,313,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 05:30:00,5.6,1011,0.9,88,3.8,,4.9,,14.5,306,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 05:45:00,5.3,1011,0.9,89,3.6,,3.8,,12.9,303,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 06:00:00,5.1,1011.1,0.8,89,3.5,,3.5,,8,303,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 06:15:00,5.1,1011.2,0.9,90,3.6,,4.2,,11.3,300,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 06:30:00,5.2,1011.3,1,90,3.7,,3.4,,11.3,308,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 06:45:00,5.4,1011.5,1.2,89,3.8,,4.2,,12.9,,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 07:00:00,5.5,1011.7,1.2,89,3.9,,3.9,,11.3,319,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 07:15:00,5.6,1011.7,1.2,89,3.9,,4.2,,11.3,,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 07:30:00,5.8,1011.8,1.3,89,4.2,,6,,19.3,316,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 07:45:00,6,1012.2,1.7,89,4.3,,5.9,,17.7,318,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 08:00:00,6.2,1012.3,1.2,88,4.4,,6.5,,17.7,332,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 08:15:00,6.1,1012.6,1.5,88,4.3,,4.3,,8,328,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 08:30:00,6.2,1012.7,1.6,89,4.4,,4.8,,14.5,329,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 08:45:00,6.3,1012.8,1.7,88,4.5,,5.1,,12.9,326,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 09:00:00,6.5,1013,1.9,88,4.6,,4.8,,12.9,326,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 09:15:00,6.6,1013.1,2,88,4.7,,5.6,,14.5,323,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 09:30:00,6.8,1013.2,2.1,88,4.9,,4.6,,12.9,334,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 09:45:00,6.9,1013.2,2.1,87,4.9,,6.2,,14.5,327,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 10:00:00,6.9,1013.5,1.8,88,5,,6.5,,16.1,328,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 10:15:00,7.1,1013.3,1.6,87,5.2,,6.6,,14.5,330,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 10:30:00,7.4,1013.4,1.7,87,5.3,,6,,17.7,329,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 10:45:00,7.4,1013.3,1.6,87,5.4,,5.6,,16.1,318,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 11:00:00,7.5,1013.3,1,86,5.3,,6.4,,14.5,332,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 11:15:00,7.7,1013.3,1,85,5.4,,5.2,,11.3,327,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 11:30:00,7.7,1013.2,0.9,86,5.4,,7.1,,17.7,316,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 11:45:00,8.1,1013.1,0.8,84,5.6,,6,,12.9,314,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 12:00:00,8.1,1012.9,-0.1,84,5.6,,4.4,,9.7,329,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 12:15:00,8.8,1012.8,-0.2,82,5.9,,5.1,,14.5,325,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 12:30:00,9.2,1012.6,-0.4,80,5.9,,5.7,,12.9,333,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 12:45:00,9.1,1012.5,-0.5,81,5.9,,6.3,,16.1,334,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 13:00:00,9.1,1012.4,-1.1,80,5.8,,7.2,,19.3,333,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 13:15:00,8.5,1012.4,-1.1,81,5.4,,5.4,,11.3,334,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 13:30:00,8.8,1012.4,-1.1,81,5.7,,5.4,,14.5,325,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 13:45:00,8.7,1012.5,-1,81,5.6,,5.6,,14.5,337,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 14:00:00,8.5,1012.5,-0.8,81,5.3,,6.1,,12.9,328,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 14:15:00,8.5,1012.5,-0.8,82,5.5,,3.4,,9.7,334,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 14:30:00,8.6,1012.3,-1,82,5.6,,3.5,,8,316,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 14:45:00,8.6,1012.5,-0.8,82,5.7,,3,,6.4,322,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 15:00:00,8.4,1012.8,-0.1,82,5.5,,3.2,,8,303,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 15:15:00,8.3,1012.6,-0.3,82,5.3,,2.8,,9.7,,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 15:30:00,8.1,1012.5,-0.4,84,5.4,,2.5,,6.4,310,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 15:45:00,7.9,1012.7,-0.2,85,5.4,,0.8,,3.2,300,,,,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 16:00:00,7.7,1012.8,0.4,87,5.7,,1.5,,4.8,,,,0,,,,,,0,,,,,,,@@@@0,wlkLive
000SZ,2024-01-01 16:15:00,7.1,1012.4,,90,5.6,,2.4,,6.4,267,,,,,,,,,0.2,,,,,,,@@@@0.2,wlkLive
000SZ,2024-01-01 16:30:00,6.6,1012.9,0.5,91,5.2,,0.4,,3.2,270,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000SZ,2024-01-01 16:45:00,6.2,1013.1,0.7,92,5.1,,0.2,,3.2,258,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000SZ,2024-01-01 17:00:00,6,1012.8,0.3,93,4.9,,0,,1.6,257,,,0.2,0.2,0.2,0.2,,,0,,,,,,,@@@@0.2,wlkLive
000SZ,2024-01-01 17:15:00,6,1012.6,0.1,94,5.1,,2,,6.4,301,,,,,,,,,0,,,,,,,@@@@0.2,wlkLive
000SZ,2024-01-01 17:30:00,6.1,1012.6,0.1,93,4.9,,0.5,,3.2,,,,,,,,,,0.2,,,,,,,@@@@0.4,wlkLive
000SZ,2024-01-01 17:45:00,6,1012.7,0.2,93,4.9,,0.9,,4.8,278,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
000SZ,2024-01-01 18:00:00,6,1012.6,-0.2,93,4.9,,1.1,,8,300,,,0.2,0.4,0.4,0.4,,,0,,,,,,,@@@@0.4,wlkLive
000SZ,2024-01-01 18:15:00,6.1,1012.6,-0.2,92,4.9,,1.2,,4.8,317,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
000SZ,2024-01-01 18:30:00,6.2,1012.5,-0.3,92,4.9,,2.9,,8,309,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
000SZ,2024-01-01 18:45:00,6.2,1012.6,-0.2,91,4.9,,2,,9.7,299,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
000SZ,2024-01-01 19:00:00,6.1,1012.5,-0.3,91,4.8,,1.7,,6.4,299,,,0,0.4,0.4,0.4,,,0,,,,,,,@@@@0.4,wlkLive
000SZ,2024-01-01 19:15:00,6.1,1012.5,-0.3,91,4.8,,2.3,,8,304,,,,,,,,,0,,,,,,,@@@@0.4,wlkLive
