station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TA,2022-01-01 00:00:00,8.1,1031,,41,-4.4,,8.5,,14.5,256,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 00:15:00,6.8,1031,,45,-4.4,,7.9,,12.9,273,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 00:30:00,7.8,1030.9,,41,-4.6,,6.7,,9.7,264,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 00:45:00,8.1,1030.8,,40,-4.9,,8.7,,16.1,259,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 01:00:00,7.6,1030.7,,42,-4.4,,7.4,,12.9,265,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 01:15:00,7.1,1030.8,,43,-4.7,,7.2,,11.3,269,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 01:30:00,7.8,1030.9,,37,-5.9,,7.5,,12.9,263,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 01:45:00,7.6,1030.8,,43,-4.2,,6.1,,11.3,263,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 02:00:00,7.9,1030.7,,37,-5.9,,9.1,,17.7,257,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 02:15:00,8.4,1030.6,,38,-4.9,,7.9,,12.9,256,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 02:30:00,8.6,1030.5,,41,-3.8,,9.5,,16.1,254,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 02:45:00,8.2,1030.5,,40,-4.5,,9,,16.1,252,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 03:00:00,8.6,1030.3,-0.7,40,-4.4,,8,,16.1,254,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 03:15:00,8.5,1030.3,-0.7,41,-4,,9.5,,16.1,256,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 03:30:00,7.9,1030.2,-0.8,46,-3,,6,,11.3,262,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 03:45:00,7.9,1030.1,-0.9,41,-4.7,,7.6,,11.3,261,,,,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
000TA,2022-01-01 04:00:00,8.6,1030,-0.7,43,-3.4,,9.1,,16.1,254,,,0,,,,,,0,,,,,,,@@@@0@@@@,wlkLive
