station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TB,2020-08-28 21:00:00,15.6,1012.2,,86,13.2,,23.8,,43.5,28,,,0.6,,,,,,2.8,,0,0,,,63,0@@@@0.6@@@@,wlkLive
000TB,2020-08-28 21:15:00,14.9,1012,,90,13.2,,26.2,,38.6,10,,,,,,,,,4.4,,0,0,,,63,0@@@@1.8@@@@,wlkLive
000TB,2020-08-28 21:30:00,14.7,1011.6,,90,13.1,,27.2,,37,12,,,,,,,,,5.8,,0,0,,,63,0@@@@2.8@@@@,wlkLive
000TB,2020-08-28 21:45:00,14.6,1011.7,,91,13.1,,12.9,,29,11,,,,,,,,,6.8,,0,0,,,63,0@@@@4.6@@@@,wlkLive
000TB,2020-08-28 22:00:00,14.4,1011.5,,92,13.1,,6,,17.7,42,,,5.6,,,,,,3.4,,0,0,,,63,0@@@@6.2@@@@,wlkLive
000TB,2020-08-28 22:15:00,14.5,1010.7,,92,13.1,,8.4,,20.9,40,,,,,,,,,0,,0,0,,,,0@@@@6.2@@@@,wlkLive
000TB,2020-08-28 22:30:00,14.4,1011.4,,92,13.2,,6.1,,11.3,316,,,,,,,,,0,,0,0,,,,0@@@@6.2@@@@,wlkLive
000TB,2020-08-28 22:45:00,14.7,1010.9,,90,13.1,,8.2,,17.7,26,,,,,,,,,0,,0,0,,,,0@@@@6.2@@@@,wlkLive
000TB,2020-08-28 23:00:00,14.8,1011.3,,90,13.2,,8.5,,14.5,,,,0,6.2,,,,,0,,0,0,,,,0@@@@6.2@@@@,wlkLive
000TB,2020-08-28 23:15:00,14.9,1011.3,,89,13.2,,18.6,,30.6,,,,,,,,,,0.2,,0,0,,,,0@@@@6.4@@@@,wlkLive
000TB,2020-08-28 23:30:00,14.9,1011,,90,13.2,,17,,29,,,,,,,,,,6.4,,0,0,,,63,0@@@@7@@@@,wlkLive
000TB,2020-08-28 23:45:00,14.7,1010.9,,91,13.2,,12.4,,24.1,,,,,,,,,,2.2,,0,0,,,61,0@@@@7.8@@@@,wlkLive
000TB,2020-08-29 00:00:00,14.7,1010.8,,90,13.1,,12.4,,22.5,15,,,1.6,7.2,,,,,0,,0,0,,,,0@@@@7.8@@@@,wlkLive
000TB,2020-08-29 00:15:00,14.7,1010.8,,91,13.2,,13.9,,22.5,,,,,,,,,,0,,0,0,,,,0@@@@7.8@@@@,wlkLive
000TB,2020-08-29 00:30:00,14.9,1010.8,,90,13.2,,15.9,,29,,,,,,,,,,2.6,,0,0,,,63,0@@@@8.2@@@@,wlkLive
000TB,2020-08-29 00:45:00,14.7,1010.6,,90,13.1,,19.3,,30.6,21,,,,,,,,,12.4,,0,0,,,65,0@@@@9.2@@@@,wlkLive
000TB,2020-08-29 01:00:00,14.4,1011.1,,91,13.1,,14.9,,20.9,16,,,2.4,4,,,,,2.2,,0,0,,,61,0@@@@10.2@@@@,wlkLive
000TB,2020-08-29 01:15:00,14.2,1010.7,,92,12.9,,12.8,,24.1,29,,,,,,,,,1.8,,0,0,,,61,0@@@@10.8@@@@,wlkLive
