station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000TH,2022-01-01 00:00:00,12.8,1019.1,,94,11.9,,33.5,,45.1,154,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 00:15:00,12.8,1018.8,,94,11.8,,34.3,,46.7,151,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 00:30:00,12.8,1018.6,,94,11.8,,34.4,,48.3,149,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 00:45:00,12.8,1018.7,,94,11.8,,32.5,,46.7,153,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 01:00:00,12.9,1018.4,,93,11.9,,34.2,,45.1,153,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 01:15:00,12.9,1018.3,,93,11.8,,33.9,,48.3,154,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 01:30:00,12.9,1018.2,,92,11.7,,34.4,,51.5,154,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 01:45:00,12.9,1017.7,,93,11.7,,34.8,,48.3,153,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 02:00:00,12.9,1017.7,,92,11.7,,34.7,,48.3,154,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 02:15:00,12.9,1017.8,,92,11.6,,34.5,,49.9,155,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 02:30:00,12.9,1017.9,,92,11.6,,32.5,,41.8,154,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 02:45:00,12.9,1017.9,,91,11.6,,32.7,,45.1,153,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 03:00:00,13.1,1017.8,-1.3,91,11.7,,28.9,,38.6,156,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 03:15:00,12.9,1017.9,-1.2,91,11.6,,29.8,,38.6,158,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 03:30:00,13.2,1017.7,-1.4,91,11.7,,31.2,,45.1,160,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 03:45:00,13.1,1017.4,-1.7,91,11.7,,27.4,,35.4,160,,,,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
000TH,2022-01-01 04:00:00,13.2,1017.3,-1.1,91,11.7,,27,,38.6,164,,,0,,,,,,0,,0,,,,,@@@@0@@@@,wlkLive
